application,repetition,multiplier,route,operation,query_repetition,nanoseconds
deathstarbench_social_network,0,1,projected,read_user_timeline,0,5268
deathstarbench_social_network,0,1,projected,compose_post,1,4881
deathstarbench_social_network,0,1,projected,read_home_timeline,1,3431
deathstarbench_social_network,0,1,projected,read_user_timeline,1,3895
deathstarbench_social_network,0,1,projected,compose_post,2,4512
deathstarbench_social_network,0,1,projected,read_home_timeline,2,3178
deathstarbench_social_network,0,1,projected,read_user_timeline,2,3718
deathstarbench_social_network,0,1,projected,compose_post,3,4397
deathstarbench_social_network,0,1,projected,read_home_timeline,3,3163
deathstarbench_social_network,0,1,projected,read_user_timeline,3,3868
deathstarbench_social_network,0,1,projected,compose_post,4,4351
deathstarbench_social_network,0,1,projected,read_home_timeline,4,3049
deathstarbench_social_network,0,1,projected,read_user_timeline,4,3887
deathstarbench_social_network,0,1,projected,compose_post,5,4368
deathstarbench_social_network,0,1,projected,read_home_timeline,5,3045
deathstarbench_social_network,0,1,projected,read_user_timeline,5,3724
deathstarbench_social_network,0,1,projected,compose_post,6,4228
deathstarbench_social_network,0,1,projected,read_home_timeline,6,3051
deathstarbench_social_network,0,1,projected,read_user_timeline,6,3943
deathstarbench_social_network,0,1,projected,compose_post,7,4566
deathstarbench_social_network,0,1,projected,read_home_timeline,7,3194
deathstarbench_social_network,0,1,projected,read_user_timeline,7,3767
deathstarbench_social_network,0,1,projected,compose_post,8,4382
deathstarbench_social_network,0,1,projected,read_home_timeline,8,3420
deathstarbench_social_network,0,1,projected,read_user_timeline,8,3667
deathstarbench_social_network,0,1,projected,compose_post,9,4325
deathstarbench_social_network,0,1,projected,read_home_timeline,9,3086
deathstarbench_social_network,0,1,projected,read_user_timeline,9,3782
deathstarbench_social_network,0,1,projected,compose_post,10,4411
deathstarbench_social_network,0,1,projected,read_home_timeline,10,3143
deathstarbench_social_network,0,1,projected,read_user_timeline,10,4022
deathstarbench_social_network,0,1,projected,compose_post,11,4513
deathstarbench_social_network,0,1,projected,read_home_timeline,11,3136
deathstarbench_social_network,0,1,projected,read_user_timeline,11,3679
deathstarbench_social_network,0,1,projected,compose_post,12,4596
deathstarbench_social_network,0,1,projected,read_home_timeline,12,3199
deathstarbench_social_network,0,1,projected,read_user_timeline,12,3752
deathstarbench_social_network,0,1,projected,compose_post,13,4355
deathstarbench_social_network,0,1,projected,read_home_timeline,13,3022
deathstarbench_social_network,0,1,projected,read_user_timeline,13,3868
deathstarbench_social_network,0,1,projected,compose_post,14,4104
deathstarbench_social_network,0,1,projected,read_home_timeline,14,3114
deathstarbench_social_network,0,1,projected,read_user_timeline,14,3815
deathstarbench_social_network,0,1,projected,compose_post,15,4299
deathstarbench_social_network,0,1,projected,read_home_timeline,15,3032
deathstarbench_social_network,0,1,projected,read_user_timeline,15,3641
deathstarbench_social_network,0,1,projected,compose_post,16,4342
deathstarbench_social_network,0,1,projected,read_home_timeline,16,3055
deathstarbench_social_network,0,1,projected,read_user_timeline,16,3658
deathstarbench_social_network,0,1,projected,compose_post,17,4249
deathstarbench_social_network,0,1,projected,read_home_timeline,17,3152
deathstarbench_social_network,0,1,projected,read_user_timeline,17,3736
deathstarbench_social_network,0,1,projected,compose_post,18,4145
deathstarbench_social_network,0,1,projected,read_home_timeline,18,3060
deathstarbench_social_network,0,1,projected,read_user_timeline,18,3816
deathstarbench_social_network,0,1,projected,compose_post,19,4879
deathstarbench_social_network,0,1,projected,read_home_timeline,19,3026
deathstarbench_social_network,0,1,projected,read_user_timeline,19,3565
deathstarbench_social_network,0,1,projected,compose_post,20,4489
deathstarbench_social_network,0,1,projected,read_home_timeline,20,3013
deathstarbench_social_network,0,1,projected,read_user_timeline,20,3664
deathstarbench_social_network,0,1,projected,compose_post,21,4248
deathstarbench_social_network,0,1,projected,read_home_timeline,21,2966
deathstarbench_social_network,0,1,projected,read_user_timeline,21,3548
deathstarbench_social_network,0,1,projected,compose_post,22,4861
deathstarbench_social_network,0,1,projected,read_home_timeline,22,2942
deathstarbench_social_network,0,1,projected,read_user_timeline,22,3592
deathstarbench_social_network,0,1,projected,compose_post,23,4081
deathstarbench_social_network,0,1,projected,read_home_timeline,23,3249
deathstarbench_social_network,0,1,projected,read_user_timeline,23,4153
deathstarbench_social_network,0,1,projected,compose_post,24,4414
deathstarbench_social_network,0,1,projected,read_home_timeline,24,3136
deathstarbench_social_network,0,1,projected,read_user_timeline,24,3854
deathstarbench_social_network,0,1,projected,compose_post,25,18180
deathstarbench_social_network,0,1,projected,read_home_timeline,25,3050
deathstarbench_social_network,0,1,projected,read_user_timeline,25,4042
deathstarbench_social_network,0,1,projected,compose_post,26,4216
deathstarbench_social_network,0,1,projected,read_home_timeline,26,3107
deathstarbench_social_network,0,1,projected,read_user_timeline,26,4031
deathstarbench_social_network,0,1,projected,compose_post,27,4371
deathstarbench_social_network,0,1,projected,read_home_timeline,27,3169
deathstarbench_social_network,0,1,projected,read_user_timeline,27,4027
deathstarbench_social_network,0,1,projected,compose_post,28,4434
deathstarbench_social_network,0,1,projected,read_home_timeline,28,3042
deathstarbench_social_network,0,1,projected,read_user_timeline,28,3837
deathstarbench_social_network,0,1,projected,compose_post,29,4391
deathstarbench_social_network,0,1,projected,read_home_timeline,29,3023
deathstarbench_social_network,0,1,projected,read_user_timeline,29,3763
deathstarbench_social_network,0,1,projected,compose_post,30,4323
deathstarbench_social_network,0,1,projected,read_home_timeline,30,3109
deathstarbench_social_network,0,1,projected,read_user_timeline,30,3746
deathstarbench_social_network,0,1,direct,compose_post,0,12864
deathstarbench_social_network,0,1,direct,read_home_timeline,0,5997
deathstarbench_social_network,0,1,direct,read_user_timeline,0,5290
deathstarbench_social_network,0,1,direct,compose_post,1,4999
deathstarbench_social_network,0,1,direct,read_home_timeline,1,3709
deathstarbench_social_network,0,1,direct,read_user_timeline,1,4089
deathstarbench_social_network,0,1,direct,compose_post,2,4427
deathstarbench_social_network,0,1,direct,read_home_timeline,2,3268
deathstarbench_social_network,0,1,direct,read_user_timeline,2,4044
deathstarbench_social_network,0,1,direct,compose_post,3,4468
deathstarbench_social_network,0,1,direct,read_home_timeline,3,3282
deathstarbench_social_network,0,1,direct,read_user_timeline,3,3792
deathstarbench_social_network,0,1,direct,compose_post,4,4411
deathstarbench_social_network,0,1,direct,read_home_timeline,4,3141
deathstarbench_social_network,0,1,direct,read_user_timeline,4,3732
