application,repetition,multiplier,route,position,order,status,attempts,first_answer_seconds,first_cpu_seconds,first_peak_rss_mib,internal_pipeline_seconds,build_seconds,first_query_seconds,projection_seconds,read_seconds,save_seconds,whole_process_seconds,whole_process_resource,source_files_read,models
opentelemetry_demo,0,4,full,1,"[""direct"", ""full"", ""projected""]",qualified,14400,14.517958916,15.109639,1474.91015625,13.685187783000003,10.514768224999983,0.0002597440000045026,0,3.1692205589999958,0.0009082500000090477,15.252667066000015,"{""maximum_rss_bytes"": 1546555392.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.74, ""user_seconds"": 15.06, ""wall_seconds"": 15.21}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""add_to_cart"": {""categories"": 5, ""coordinates"": 11, ""samples"": 4800}, ""browse_product"": {""categories"": 5, ""coordinates"": 9, ""samples"": 4800}, ""checkout"": {""categories"": 12, ""coordinates"": 18, ""samples"": 4800}}"
opentelemetry_demo,0,4,projected,2,"[""direct"", ""full"", ""projected""]",qualified,14400,14.530900996,15.127808,1475.16015625,13.690704001,10.53133095800004,0.00015005200000928198,0.0008269189999907667,3.1579206590000126,0.000446479000004274,15.253401402000009,"{""maximum_rss_bytes"": 1546817536.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.75, ""user_seconds"": 15.06, ""wall_seconds"": 15.21}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""add_to_cart"": {""categories"": 2, ""coordinates"": 2, ""samples"": 4800}, ""browse_product"": {""categories"": 2, ""coordinates"": 2, ""samples"": 4800}, ""checkout"": {""categories"": 3, ""coordinates"": 2, ""samples"": 4800}}"
opentelemetry_demo,1,2,direct,0,"[""direct"", ""full"", ""projected""]",qualified,7200,7.043435547,7.621201,788.99609375,6.20871012500001,4.627330684999976,0.00013179499998727806,0,1.5807636500000228,0.00045691500000089036,7.431696856000002,"{""maximum_rss_bytes"": 827322368.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.42, ""user_seconds"": 7.58, ""wall_seconds"": 7.42}","[""requests.json"", ""native.json"", ""declarations.json""]","{""add_to_cart"": {""categories"": 2, ""coordinates"": 2, ""samples"": 2400}, ""browse_product"": {""categories"": 2, ""coordinates"": 2, ""samples"": 2400}, ""checkout"": {""categories"": 3, ""coordinates"": 2, ""samples"": 2400}}"
opentelemetry_demo,1,2,full,1,"[""direct"", ""full"", ""projected""]",qualified,7200,7.31536515,7.900058,789.26171875,6.485092407999986,4.882474161000005,0.0002213470000071993,0,1.6014561319999814,0.0009141790000057881,7.733809553999976,"{""maximum_rss_bytes"": 827600896.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.43, ""user_seconds"": 7.86, ""wall_seconds"": 7.7}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""add_to_cart"": {""categories"": 5, ""coordinates"": 11, ""samples"": 2400}, ""browse_product"": {""categories"": 5, ""coordinates"": 9, ""samples"": 2400}, ""checkout"": {""categories"": 12, ""coordinates"": 18, ""samples"": 2400}}"
opentelemetry_demo,1,2,projected,2,"[""direct"", ""full"", ""projected""]",qualified,7200,7.22480516,7.785392,789.31640625,6.384244742000021,4.81341670900008,0.00011826299999029288,0.0008467790000281639,1.5693897799999945,0.000445708000029299,7.6340554000000225,"{""maximum_rss_bytes"": 827658240.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.4, ""user_seconds"": 7.76, ""wall_seconds"": 7.6}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""add_to_cart"": {""categories"": 2, ""coordinates"": 2, ""samples"": 2400}, ""browse_product"": {""categories"": 2, ""coordinates"": 2, ""samples"": 2400}, ""checkout"": {""categories"": 3, ""coordinates"": 2, ""samples"": 2400}}"
opentelemetry_demo,1,4,full,0,"[""full"", ""projected"", ""direct""]",qualified,14400,14.645175987,15.234288,1474.96875,13.81590094400002,10.584787444000085,0.0002555680000000393,0,3.2299035759999697,0.0009210290000396526,15.351006491000021,"{""maximum_rss_bytes"": 1546616832.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.75, ""user_seconds"": 15.17, ""wall_seconds"": 15.34}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""add_to_cart"": {""categories"": 5, ""coordinates"": 11, ""samples"": 4800}, ""browse_product"": {""categories"": 5, ""coordinates"": 9, ""samples"": 4800}, ""checkout"": {""categories"": 12, ""coordinates"": 18, ""samples"": 4800}}"
opentelemetry_demo,1,4,projected,1,"[""full"", ""projected"", ""direct""]",qualified,14400,14.511381614,15.09964,1475.13671875,13.683394882000016,10.521187383999973,0.00012936199993873743,0.0010930930000085937,3.1604919160000122,0.00046271300004718796,15.248415547999969,"{""maximum_rss_bytes"": 1546792960.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.77, ""user_seconds"": 15.02, ""wall_seconds"": 15.2}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""add_to_cart"": {""categories"": 2, ""coordinates"": 2, ""samples"": 4800}, ""browse_product"": {""categories"": 2, ""coordinates"": 2, ""samples"": 4800}, ""checkout"": {""categories"": 3, ""coordinates"": 2, ""samples"": 4800}}"
opentelemetry_demo,1,4,direct,2,"[""full"", ""projected"", ""direct""]",qualified,14400,14.070147023,14.661313999999999,1475.125,13.235643132000007,10.050352661999966,0.00012216099997885976,0,3.184699598000009,0.00043918799997300084,14.802827591999971,"{""maximum_rss_bytes"": 1546780672.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.74, ""user_seconds"": 14.61, ""wall_seconds"": 14.76}","[""requests.json"", ""native.json"", ""declarations.json""]","{""add_to_cart"": {""categories"": 2, ""coordinates"": 2, ""samples"": 4800}, ""browse_product"": {""categories"": 2, ""coordinates"": 2, ""samples"": 4800}, ""checkout"": {""categories"": 3, ""coordinates"": 2, ""samples"": 4800}}"
opentelemetry_demo,1,1,projected,0,"[""projected"", ""direct"", ""full""]",qualified,3600,4.046466648,4.641741000000001,446.38671875,3.212728427000002,2.4180972309999333,0.00011070400006474301,0.00018616500000234737,0.7938287719999835,0.00048318300002847536,4.275316286999953,"{""maximum_rss_bytes"": 468070400.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.24, ""user_seconds"": 4.62, ""wall_seconds"": 4.27}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""add_to_cart"": {""categories"": 2, ""coordinates"": 2, ""samples"": 1200}, ""browse_product"": {""categories"": 2, ""coordinates"": 2, ""samples"": 1200}, ""checkout"": {""categories"": 3, ""coordinates"": 2, ""samples"": 1200}}"
opentelemetry_demo,1,1,direct,1,"[""projected"", ""direct"", ""full""]",qualified,3600,3.968133405,4.550407,446.48828125,3.111651794000011,2.3047449400000346,0.00012073800002099233,0,0.8063126380000085,0.0004461679999963053,4.227529050000044,"{""maximum_rss_bytes"": 468176896.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.23, ""user_seconds"": 4.54, ""wall_seconds"": 4.19}","[""requests.json"", ""native.json"", ""declarations.json""]","{""add_to_cart"": {""categories"": 2, ""coordinates"": 2, ""samples"": 1200}, ""browse_product"": {""categories"": 2, ""coordinates"": 2, ""samples"": 1200}, ""checkout"": {""categories"": 3, ""coordinates"": 2, ""samples"": 1200}}"
