application,law,repetition,period,operation,full_support,direct_support,full_reason,direct_reason,full_original_reproduced,same_R_routes_qualified,E_lower_count,E_lower_exact,E_point_attempts,E_point_fraction,E_upper_count,E_upper_exact,E_width,R_lower_count,R_lower_exact,R_minus_E_lower_count,R_minus_E_lower_exact,R_minus_E_point_attempts,R_minus_E_point_fraction,R_minus_E_upper_count,R_minus_E_upper_exact,R_minus_E_width,R_point_attempts,R_point_fraction,R_upper_count,R_upper_exact,R_width,attempts,equivalent_for_all_states,same_marginal_bounds_but_possible_difference,E_failure_excluded,E_success_excluded,R_failure_excluded,R_success_excluded,R_and_K_difference_not_determined,event_difference_undecided
deathstarbench_social_network,NC,1,calibration,compose_post,True,True,,,True,True,1091,1091/1200,1200,1.0,1091,1091/1200,0.0,1091,1091/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,1091,1091/1200,0.0,1200,1200,0,,,,,,
deathstarbench_social_network,NC,1,calibration,read_home_timeline,True,True,,,True,True,1200,1,1200,1.0,1200,1,0.0,1200,1,0,0,1200,1.0,0,0,0.0,1200,1.0,1200,1,0.0,1200,1200,0,,,,,,
deathstarbench_social_network,NC,1,calibration,read_user_timeline,True,True,,,True,True,1051,1051/1200,1200,1.0,1051,1051/1200,0.0,1051,1051/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,1051,1051/1200,0.0,1200,1200,0,,,,,,
deathstarbench_social_network,NC,1,test,compose_post,True,True,,,True,True,356,89/300,507,0.4225,1049,1049/1200,0.5775,356,89/300,0,0,507,0.4225,693,231/400,0.5775,507,0.4225,1049,1049/1200,0.5775,1200,507,693,0,0,0,0,693,693
deathstarbench_social_network,NC,1,test,read_home_timeline,True,True,,,True,True,1200,1,1200,1.0,1200,1,0.0,1200,1,0,0,1200,1.0,0,0,0.0,1200,1.0,1200,1,0.0,1200,1200,0,0,0,0,0,,
deathstarbench_social_network,NC,1,test,read_user_timeline,False,False,unexplained native parent boundary,unexplained native parent boundary,True,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,
deathstarbench_social_network,NC,2,calibration,compose_post,True,True,,,True,True,1089,363/400,1200,1.0,1089,363/400,0.0,1089,363/400,0,0,1200,1.0,0,0,0.0,1200,1.0,1089,363/400,0.0,1200,1200,0,,,,,,
deathstarbench_social_network,NC,2,calibration,read_home_timeline,True,True,,,True,True,1200,1,1200,1.0,1200,1,0.0,1200,1,0,0,1200,1.0,0,0,0.0,1200,1.0,1200,1,0.0,1200,1200,0,,,,,,
deathstarbench_social_network,NC,2,calibration,read_user_timeline,True,True,,,True,True,1047,349/400,1200,1.0,1047,349/400,0.0,1047,349/400,0,0,1200,1.0,0,0,0.0,1200,1.0,1047,349/400,0.0,1200,1200,0,,,,,,
deathstarbench_social_network,NC,2,test,compose_post,True,True,,,True,True,834,139/200,921,0.7675,1113,371/400,0.2325,834,139/200,0,0,921,0.7675,279,93/400,0.2325,921,0.7675,1113,371/400,0.2325,1200,921,279,0,0,0,0,279,279
deathstarbench_social_network,NC,2,test,read_home_timeline,True,True,,,True,True,1200,1,1200,1.0,1200,1,0.0,1200,1,0,0,1200,1.0,0,0,0.0,1200,1.0,1200,1,0.0,1200,1200,0,0,0,0,0,,
deathstarbench_social_network,NC,2,test,read_user_timeline,False,False,unexplained native parent boundary,unexplained native parent boundary,True,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,
opentelemetry_demo,N,0,calibration,add_to_cart,True,True,,,True,True,1072,67/75,1200,1.0,1072,67/75,0.0,1072,67/75,0,0,1200,1.0,0,0,0.0,1200,1.0,1072,67/75,0.0,1200,1200,0,,,,,,
opentelemetry_demo,N,0,calibration,browse_product,True,True,,,True,True,1087,1087/1200,1200,1.0,1087,1087/1200,0.0,1087,1087/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,1087,1087/1200,0.0,1200,1200,0,,,,,,
opentelemetry_demo,N,0,calibration,checkout,True,True,,,True,True,928,58/75,1200,1.0,928,58/75,0.0,928,58/75,0,0,1200,1.0,0,0,0.0,1200,1.0,928,58/75,0.0,1200,1200,0,,,,,,
opentelemetry_demo,N,0,test,add_to_cart,True,True,,,True,True,1050,7/8,1200,1.0,1050,7/8,0.0,1050,7/8,0,0,1200,1.0,0,0,0.0,1200,1.0,1050,7/8,0.0,1200,1200,0,0,0,0,0,,
opentelemetry_demo,N,0,test,browse_product,True,True,,,True,True,1061,1061/1200,1200,1.0,1061,1061/1200,0.0,1061,1061/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,1061,1061/1200,0.0,1200,1200,0,0,0,0,0,,
opentelemetry_demo,N,0,test,checkout,True,True,,,True,True,888,37/50,1200,1.0,888,37/50,0.0,888,37/50,0,0,1200,1.0,0,0,0.0,1200,1.0,888,37/50,0.0,1200,1200,0,0,0,0,0,,
opentelemetry_demo,N,1,calibration,add_to_cart,True,True,,,True,True,1091,1091/1200,1200,1.0,1091,1091/1200,0.0,1091,1091/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,1091,1091/1200,0.0,1200,1200,0,,,,,,
opentelemetry_demo,N,1,calibration,browse_product,True,True,,,True,True,1081,1081/1200,1200,1.0,1081,1081/1200,0.0,1081,1081/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,1081,1081/1200,0.0,1200,1200,0,,,,,,
opentelemetry_demo,N,1,calibration,checkout,True,True,,,True,True,913,913/1200,1200,1.0,913,913/1200,0.0,913,913/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,913,913/1200,0.0,1200,1200,0,,,,,,
opentelemetry_demo,N,1,test,add_to_cart,True,True,,,True,True,1084,271/300,1200,1.0,1084,271/300,0.0,1084,271/300,0,0,1200,1.0,0,0,0.0,1200,1.0,1084,271/300,0.0,1200,1200,0,0,0,0,0,,
