application,period,positions,full_supported,direct_supported,attempts,common_attempts,direct_attempts,common_E_lower_count,common_E_point_attempts,common_E_upper_count,common_R_lower_count,common_R_minus_E_lower_count,common_R_minus_E_point_attempts,common_R_minus_E_upper_count,common_R_point_attempts,common_R_upper_count,common_equivalent_for_all_states,common_same_marginal_bounds_but_possible_difference,direct_R_lower_count,direct_R_upper_count,direct_R_point_attempts,direct_R_success_excluded,direct_R_failure_excluded,common_E_failure_excluded,common_E_success_excluded,common_R_failure_excluded,common_R_success_excluded,common_event_difference_undecided
deathstarbench_social_network,calibration,18,18,18,21600,21600,21600,20346,21600,20346,20346,0,21600,0,21600,20346,21600,0,20346,20346,21600,,,,,,,
deathstarbench_social_network,test,18,15,15,21600,18000,18000,15811,16618,17193,15811,0,16618,1382,16618,17193,16618,1382,15811,17193,16618,0,0,0,0,0,0,1382
opentelemetry_demo,calibration,18,17,17,21600,20400,20400,14854,17976,17278,14854,0,17976,2424,17976,17278,17976,2424,14854,17278,17976,,,,,,,2424
opentelemetry_demo,test,18,18,18,21600,21600,21600,15200,18571,18229,15200,0,18573,3027,18571,18229,18573,3027,15200,18229,18571,0,0,0,0,0,0,3027
spring_petclinic_microservices,calibration,24,24,24,21600,21600,21600,20983,21600,20983,20983,0,21600,0,21600,20983,21600,0,20983,20983,21600,,,,,,,
spring_petclinic_microservices,test,24,24,24,21600,21600,21600,20925,21600,20925,20925,0,21600,0,21600,20925,21600,0,20925,20925,21600,0,0,0,0,0,0,
