application,campaign_id,evaluator_reason,evaluator_status,forecast,law,method,metrics,operation,placement,repetition
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""77/80"", ""probability"": 0.9625, ""reason"": null, ""status"": ""ok""}",N,Gstar,"{""absolute_error_pp"": 3.833333333333333, ""attempts"": 1200, ""brier"": 0.07155208333333334, ""forecast"": 0.9625, ""observed"": 0.9241666666666667, ""signed_error_pp"": 3.833333333333333, ""successes"": 1109}",compose_post,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,GID,"{""absolute_error_pp"": 7.58333333333333, ""attempts"": 1200, ""brier"": 0.07583333333333334, ""forecast"": 1.0, ""observed"": 0.9241666666666667, ""signed_error_pp"": 7.58333333333333, ""successes"": 1109}",compose_post,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""identified_lower"": 0.9991666666666666, ""identified_upper"": 1.0, ""lower_exact"": ""1199/1200"", ""probability"": null, ""reason"": ""not_point_identified_under_declared_observation_law"", ""status"": ""unsupported"", ""upper_exact"": ""1""}",N,Gselected,,compose_post,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""1199/1200"", ""probability"": 0.9991666666666666, ""reason"": null, ""status"": ""ok""}",N,G_without_deadline,"{""absolute_error_pp"": 7.499999999999996, ""attempts"": 1200, ""brier"": 0.07570763888888887, ""forecast"": 0.9991666666666666, ""observed"": 0.9241666666666667, ""signed_error_pp"": 7.499999999999996, ""successes"": 1109}",compose_post,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""77/80"", ""probability"": 0.9625, ""reason"": null, ""status"": ""ok""}",N,G_without_selection,"{""absolute_error_pp"": 3.833333333333333, ""attempts"": 1200, ""brier"": 0.07155208333333334, ""forecast"": 0.9625, ""observed"": 0.9241666666666667, ""signed_error_pp"": 3.833333333333333, ""successes"": 1109}",compose_post,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""identified_lower"": 0.9625, ""identified_upper"": 0.9633333333333334, ""lower_exact"": ""77/80"", ""probability"": null, ""reason"": ""not_point_identified_under_declared_observation_law"", ""status"": ""unsupported"", ""upper_exact"": ""289/300""}",N,G_without_completion,,compose_post,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,G0,"{""absolute_error_pp"": 7.58333333333333, ""attempts"": 1200, ""brier"": 0.07583333333333334, ""forecast"": 1.0, ""observed"": 0.9241666666666667, ""signed_error_pp"": 7.58333333333333, ""successes"": 1109}",compose_post,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""attempts"": 1200, ""exact_fraction"": ""1155/1200"", ""probability"": 0.9625, ""reason"": null, ""status"": ""ok"", ""successes"": 1155, ""timeouts"": 44}",N,B0,"{""absolute_error_pp"": 3.833333333333333, ""attempts"": 1200, ""brier"": 0.07155208333333334, ""forecast"": 0.9625, ""observed"": 0.9241666666666667, ""signed_error_pp"": 3.833333333333333, ""successes"": 1109}",compose_post,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""model_id"": ""campaign-cab5f63e4c701ae863c4--compose_post--conditional_local"", ""probability"": 0.9625, ""reason"": null, ""status"": ""ok""}",N,PMX,"{""absolute_error_pp"": 3.833333333333333, ""attempts"": 1200, ""brier"": 0.07155208333333334, ""forecast"": 0.9625, ""observed"": 0.9241666666666667, ""signed_error_pp"": 3.833333333333333, ""successes"": 1109}",compose_post,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""model_id"": ""campaign-cab5f63e4c701ae863c4--compose_post--inclusive"", ""probability"": 0.9616979166666667, ""reason"": null, ""status"": ""ok""}",N,PMX_inclusive,"{""absolute_error_pp"": 3.7531250000000016, ""attempts"": 1200, ""brier"": 0.07149123361545139, ""forecast"": 0.9616979166666667, ""observed"": 0.9241666666666667, ""signed_error_pp"": 3.7531250000000016, ""successes"": 1109}",compose_post,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,Gstar,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,GID,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,Gselected,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,G_without_deadline,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,G_without_selection,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,G_without_completion,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,G0,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""attempts"": 1200, ""exact_fraction"": ""1200/1200"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok"", ""successes"": 1200, ""timeouts"": 0}",N,B0,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""model_id"": ""campaign-cab5f63e4c701ae863c4--read_home_timeline--conditional_local"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,PMX,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""model_id"": ""campaign-cab5f63e4c701ae863c4--read_home_timeline--inclusive"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,PMX_inclusive,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""557/600"", ""probability"": 0.9283333333333333, ""reason"": null, ""status"": ""ok""}",N,Gstar,"{""absolute_error_pp"": 1.8333333333333313, ""attempts"": 1200, ""brier"": 0.08223611111111112, ""forecast"": 0.9283333333333333, ""observed"": 0.91, ""signed_error_pp"": 1.8333333333333313, ""successes"": 1092}",read_user_timeline,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,GID,"{""absolute_error_pp"": 8.999999999999996, ""attempts"": 1200, ""brier"": 0.09, ""forecast"": 1.0, ""observed"": 0.91, ""signed_error_pp"": 8.999999999999996, ""successes"": 1092}",read_user_timeline,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,Gselected,"{""absolute_error_pp"": 8.999999999999996, ""attempts"": 1200, ""brier"": 0.09, ""forecast"": 1.0, ""observed"": 0.91, ""signed_error_pp"": 8.999999999999996, ""successes"": 1092}",read_user_timeline,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,G_without_deadline,"{""absolute_error_pp"": 8.999999999999996, ""attempts"": 1200, ""brier"": 0.09, ""forecast"": 1.0, ""observed"": 0.91, ""signed_error_pp"": 8.999999999999996, ""successes"": 1092}",read_user_timeline,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""557/600"", ""probability"": 0.9283333333333333, ""reason"": null, ""status"": ""ok""}",N,G_without_selection,"{""absolute_error_pp"": 1.8333333333333313, ""attempts"": 1200, ""brier"": 0.08223611111111112, ""forecast"": 0.9283333333333333, ""observed"": 0.91, ""signed_error_pp"": 1.8333333333333313, ""successes"": 1092}",read_user_timeline,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""557/600"", ""probability"": 0.9283333333333333, ""reason"": null, ""status"": ""ok""}",N,G_without_completion,"{""absolute_error_pp"": 1.8333333333333313, ""attempts"": 1200, ""brier"": 0.08223611111111112, ""forecast"": 0.9283333333333333, ""observed"": 0.91, ""signed_error_pp"": 1.8333333333333313, ""successes"": 1092}",read_user_timeline,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,G0,"{""absolute_error_pp"": 8.999999999999996, ""attempts"": 1200, ""brier"": 0.09, ""forecast"": 1.0, ""observed"": 0.91, ""signed_error_pp"": 8.999999999999996, ""successes"": 1092}",read_user_timeline,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""attempts"": 1200, ""exact_fraction"": ""1114/1200"", ""probability"": 0.9283333333333333, ""reason"": null, ""status"": ""ok"", ""successes"": 1114, ""timeouts"": 86}",N,B0,"{""absolute_error_pp"": 1.8333333333333313, ""attempts"": 1200, ""brier"": 0.08223611111111112, ""forecast"": 0.9283333333333333, ""observed"": 0.91, ""signed_error_pp"": 1.8333333333333313, ""successes"": 1092}",read_user_timeline,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""model_id"": ""campaign-cab5f63e4c701ae863c4--read_user_timeline--conditional_local"", ""probability"": 0.9283333333333333, ""reason"": null, ""status"": ""ok""}",N,PMX,"{""absolute_error_pp"": 1.8333333333333313, ""attempts"": 1200, ""brier"": 0.08223611111111112, ""forecast"": 0.9283333333333333, ""observed"": 0.91, ""signed_error_pp"": 1.8333333333333313, ""successes"": 1092}",read_user_timeline,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/0,,qualified,"{""model_id"": ""campaign-cab5f63e4c701ae863c4--read_user_timeline--inclusive"", ""probability"": 0.9283333333333333, ""reason"": null, ""status"": ""ok""}",N,PMX_inclusive,"{""absolute_error_pp"": 1.8333333333333313, ""attempts"": 1200, ""brier"": 0.08223611111111112, ""forecast"": 0.9283333333333333, ""observed"": 0.91, ""signed_error_pp"": 1.8333333333333313, ""successes"": 1092}",read_user_timeline,colocated,0
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""exact_fraction"": ""1127/1200"", ""probability"": 0.9391666666666667, ""reason"": null, ""status"": ""ok""}",N,Gstar,"{""absolute_error_pp"": 0.8333333333333304, ""attempts"": 1200, ""brier"": 0.049813194444444445, ""forecast"": 0.9391666666666667, ""observed"": 0.9475, ""signed_error_pp"": -0.8333333333333304, ""successes"": 1137}",compose_post,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,GID,"{""absolute_error_pp"": 5.249999999999999, ""attempts"": 1200, ""brier"": 0.0525, ""forecast"": 1.0, ""observed"": 0.9475, ""signed_error_pp"": 5.249999999999999, ""successes"": 1137}",compose_post,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,Gselected,"{""absolute_error_pp"": 5.249999999999999, ""attempts"": 1200, ""brier"": 0.0525, ""forecast"": 1.0, ""observed"": 0.9475, ""signed_error_pp"": 5.249999999999999, ""successes"": 1137}",compose_post,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,G_without_deadline,"{""absolute_error_pp"": 5.249999999999999, ""attempts"": 1200, ""brier"": 0.0525, ""forecast"": 1.0, ""observed"": 0.9475, ""signed_error_pp"": 5.249999999999999, ""successes"": 1137}",compose_post,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""exact_fraction"": ""1127/1200"", ""probability"": 0.9391666666666667, ""reason"": null, ""status"": ""ok""}",N,G_without_selection,"{""absolute_error_pp"": 0.8333333333333304, ""attempts"": 1200, ""brier"": 0.049813194444444445, ""forecast"": 0.9391666666666667, ""observed"": 0.9475, ""signed_error_pp"": -0.8333333333333304, ""successes"": 1137}",compose_post,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""exact_fraction"": ""1127/1200"", ""probability"": 0.9391666666666667, ""reason"": null, ""status"": ""ok""}",N,G_without_completion,"{""absolute_error_pp"": 0.8333333333333304, ""attempts"": 1200, ""brier"": 0.049813194444444445, ""forecast"": 0.9391666666666667, ""observed"": 0.9475, ""signed_error_pp"": -0.8333333333333304, ""successes"": 1137}",compose_post,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,G0,"{""absolute_error_pp"": 5.249999999999999, ""attempts"": 1200, ""brier"": 0.0525, ""forecast"": 1.0, ""observed"": 0.9475, ""signed_error_pp"": 5.249999999999999, ""successes"": 1137}",compose_post,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""attempts"": 1200, ""exact_fraction"": ""1127/1200"", ""probability"": 0.9391666666666667, ""reason"": null, ""status"": ""ok"", ""successes"": 1127, ""timeouts"": 73}",N,B0,"{""absolute_error_pp"": 0.8333333333333304, ""attempts"": 1200, ""brier"": 0.049813194444444445, ""forecast"": 0.9391666666666667, ""observed"": 0.9475, ""signed_error_pp"": -0.8333333333333304, ""successes"": 1137}",compose_post,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""model_id"": ""campaign-9214a3a25201cb1bad3d--compose_post--conditional_local"", ""probability"": 0.9391666666666667, ""reason"": null, ""status"": ""ok""}",N,PMX,"{""absolute_error_pp"": 0.8333333333333304, ""attempts"": 1200, ""brier"": 0.049813194444444445, ""forecast"": 0.9391666666666667, ""observed"": 0.9475, ""signed_error_pp"": -0.8333333333333304, ""successes"": 1137}",compose_post,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""model_id"": ""campaign-9214a3a25201cb1bad3d--compose_post--inclusive"", ""probability"": 0.9391666666666667, ""reason"": null, ""status"": ""ok""}",N,PMX_inclusive,"{""absolute_error_pp"": 0.8333333333333304, ""attempts"": 1200, ""brier"": 0.049813194444444445, ""forecast"": 0.9391666666666667, ""observed"": 0.9475, ""signed_error_pp"": -0.8333333333333304, ""successes"": 1137}",compose_post,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,Gstar,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,GID,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,Gselected,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,G_without_deadline,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,G_without_selection,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,G_without_completion,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,G0,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""attempts"": 1200, ""exact_fraction"": ""1200/1200"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok"", ""successes"": 1200, ""timeouts"": 0}",N,B0,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""model_id"": ""campaign-9214a3a25201cb1bad3d--read_home_timeline--conditional_local"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,PMX,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""model_id"": ""campaign-9214a3a25201cb1bad3d--read_home_timeline--inclusive"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,PMX_inclusive,"{""absolute_error_pp"": 0.0, ""attempts"": 1200, ""brier"": 0.0, ""forecast"": 1.0, ""observed"": 1.0, ""signed_error_pp"": 0.0, ""successes"": 1200}",read_home_timeline,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""exact_fraction"": ""1067/1200"", ""probability"": 0.8891666666666667, ""reason"": null, ""status"": ""ok""}",N,Gstar,"{""absolute_error_pp"": 1.749999999999996, ""attempts"": 1200, ""brier"": 0.08492847222222223, ""forecast"": 0.8891666666666667, ""observed"": 0.9066666666666666, ""signed_error_pp"": -1.749999999999996, ""successes"": 1088}",read_user_timeline,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,GID,"{""absolute_error_pp"": 9.333333333333337, ""attempts"": 1200, ""brier"": 0.09333333333333334, ""forecast"": 1.0, ""observed"": 0.9066666666666666, ""signed_error_pp"": 9.333333333333337, ""successes"": 1088}",read_user_timeline,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,Gselected,"{""absolute_error_pp"": 9.333333333333337, ""attempts"": 1200, ""brier"": 0.09333333333333334, ""forecast"": 1.0, ""observed"": 0.9066666666666666, ""signed_error_pp"": 9.333333333333337, ""successes"": 1088}",read_user_timeline,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,G_without_deadline,"{""absolute_error_pp"": 9.333333333333337, ""attempts"": 1200, ""brier"": 0.09333333333333334, ""forecast"": 1.0, ""observed"": 0.9066666666666666, ""signed_error_pp"": 9.333333333333337, ""successes"": 1088}",read_user_timeline,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""exact_fraction"": ""1067/1200"", ""probability"": 0.8891666666666667, ""reason"": null, ""status"": ""ok""}",N,G_without_selection,"{""absolute_error_pp"": 1.749999999999996, ""attempts"": 1200, ""brier"": 0.08492847222222223, ""forecast"": 0.8891666666666667, ""observed"": 0.9066666666666666, ""signed_error_pp"": -1.749999999999996, ""successes"": 1088}",read_user_timeline,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""exact_fraction"": ""1067/1200"", ""probability"": 0.8891666666666667, ""reason"": null, ""status"": ""ok""}",N,G_without_completion,"{""absolute_error_pp"": 1.749999999999996, ""attempts"": 1200, ""brier"": 0.08492847222222223, ""forecast"": 0.8891666666666667, ""observed"": 0.9066666666666666, ""signed_error_pp"": -1.749999999999996, ""successes"": 1088}",read_user_timeline,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,G0,"{""absolute_error_pp"": 9.333333333333337, ""attempts"": 1200, ""brier"": 0.09333333333333334, ""forecast"": 1.0, ""observed"": 0.9066666666666666, ""signed_error_pp"": 9.333333333333337, ""successes"": 1088}",read_user_timeline,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""attempts"": 1200, ""exact_fraction"": ""1067/1200"", ""probability"": 0.8891666666666667, ""reason"": null, ""status"": ""ok"", ""successes"": 1067, ""timeouts"": 133}",N,B0,"{""absolute_error_pp"": 1.749999999999996, ""attempts"": 1200, ""brier"": 0.08492847222222223, ""forecast"": 0.8891666666666667, ""observed"": 0.9066666666666666, ""signed_error_pp"": -1.749999999999996, ""successes"": 1088}",read_user_timeline,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""model_id"": ""campaign-9214a3a25201cb1bad3d--read_user_timeline--conditional_local"", ""probability"": 0.8891666666666667, ""reason"": null, ""status"": ""ok""}",N,PMX,"{""absolute_error_pp"": 1.749999999999996, ""attempts"": 1200, ""brier"": 0.08492847222222223, ""forecast"": 0.8891666666666667, ""observed"": 0.9066666666666666, ""signed_error_pp"": -1.749999999999996, ""successes"": 1088}",read_user_timeline,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/1,,qualified,"{""model_id"": ""campaign-9214a3a25201cb1bad3d--read_user_timeline--inclusive"", ""probability"": 0.8891666666666667, ""reason"": null, ""status"": ""ok""}",N,PMX_inclusive,"{""absolute_error_pp"": 1.749999999999996, ""attempts"": 1200, ""brier"": 0.08492847222222223, ""forecast"": 0.8891666666666667, ""observed"": 0.9066666666666666, ""signed_error_pp"": -1.749999999999996, ""successes"": 1088}",read_user_timeline,colocated,1
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/2,,qualified,"{""exact_fraction"": ""47/50"", ""probability"": 0.94, ""reason"": null, ""status"": ""ok""}",N,Gstar,"{""absolute_error_pp"": 0.8333333333333304, ""attempts"": 1200, ""brier"": 0.06373333333333334, ""forecast"": 0.94, ""observed"": 0.9316666666666666, ""signed_error_pp"": 0.8333333333333304, ""successes"": 1118}",compose_post,colocated,2
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/2,,qualified,"{""exact_fraction"": ""1"", ""probability"": 1.0, ""reason"": null, ""status"": ""ok""}",N,GID,"{""absolute_error_pp"": 6.833333333333336, ""attempts"": 1200, ""brier"": 0.06833333333333333, ""forecast"": 1.0, ""observed"": 0.9316666666666666, ""signed_error_pp"": 6.833333333333336, ""successes"": 1118}",compose_post,colocated,2
deathstarbench_social_network,v3-main-771601/deathstarbench_social_network/colocated/N/2,,qualified,"{""identified_lower"": 0.9991666666666666, ""identified_upper"": 1.0, ""lower_exact"": ""1199/1200"", ""probability"": null, ""reason"": ""not_point_identified_under_declared_observation_law"", ""status"": ""unsupported"", ""upper_exact"": ""1""}",N,Gselected,,compose_post,colocated,2
