median_seconds,method,observations,p90_seconds,stage,sum_seconds
0.006039232500011593,B0,240,0.006293867699993428,identification,1.3730630680002989
0.00019875199998864446,G0,761,0.0006016470000034246,identification,0.21116087000008577
8.903500000201348e-05,G0,761,0.00012443899999681207,solve,0.06678237800075237
8.875,PMX_shared_variants,240,12.599,derived_binary_build,2253.82
23.483105355,PMX_shared_variants,800,29.0208705896,independent_pmx_extraction_process,20168.163845984
11.343565282,PMX_shared_variants,240,21.451287528199998,input_and_projection_process_total,3196.822336277
2.4378044089999946,PMX_shared_variants,800,6.9559995247000135,native_projection,2996.722371871
2081.690049929,shared_acquisition,240,2120.3921753171,acquisition_and_export_process_total,500541.159243936
0.20048422100001062,shared_graph_family,761,0.75107560699999,extraction,286.0561720250004
0.003148128999995947,shared_graph_family,761,0.006245040999999674,identification,3.0760484559998034
0.0010907289999977365,shared_graph_family,761,0.0036240029999987655,solve,1.2858098109996234
3.3059922490001554,shared_native_pool,240,9.333308921400066,native_parse,1077.6671491149964
