artifact_id,artifact_name,scope,measurement_present,wall_seconds,user_seconds,system_seconds,maximum_rss_bytes
10165228275,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--ND--r1-34465226083,timed extraction command/children; not total deployment resources,True,83.86,52.66,2.58,2411307008.0
10165215024,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--ND--r2-34465226083,timed extraction command/children; not total deployment resources,True,84.53,57.14,2.93,2070663168.0
10165217820,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--ND--r3-34465226083,timed extraction command/children; not total deployment resources,True,86.15,64.6,3.09,2476937216.0
10165235094,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--ND--r4-34465226083,timed extraction command/children; not total deployment resources,True,91.24,74.77,3.12,1818734592.0
10165222858,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--ND--r5-34465226083,timed extraction command/children; not total deployment resources,True,82.28,51.2,2.02,1144459264.0
10165229812,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--ND--r6-34465226083,timed extraction command/children; not total deployment resources,True,88.6,70.03,3.03,1706590208.0
10165230637,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--ND--r7-34465226083,timed extraction command/children; not total deployment resources,True,88.33,67.76,2.91,1934155776.0
10165224807,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--ND--r8-34465226083,timed extraction command/children; not total deployment resources,True,82.43,50.64,2.53,2089373696.0
10165228803,v3-comparison-pmx-extraction-deathstarbench_social_network--colocated--ND--r9-34465226083,timed extraction command/children; not total deployment resources,True,89.15,72.54,3.7,2589818880.0
10165300286,v3-comparison-pmx-extraction-deathstarbench_social_network--split--N--r0-34465226083,timed extraction command/children; not total deployment resources,True,87.91,68.12,2.78,2064830464.0
10165308646,v3-comparison-pmx-extraction-deathstarbench_social_network--split--N--r1-34465226083,timed extraction command/children; not total deployment resources,True,90.56,72.55,2.89,1831145472.0
10165302219,v3-comparison-pmx-extraction-deathstarbench_social_network--split--N--r2-34465226083,timed extraction command/children; not total deployment resources,True,86.27,65.35,2.73,1903235072.0
10165311484,v3-comparison-pmx-extraction-deathstarbench_social_network--split--N--r3-34465226083,timed extraction command/children; not total deployment resources,True,86.49,66.07,2.8,1888731136.0
10165313125,v3-comparison-pmx-extraction-deathstarbench_social_network--split--N--r4-34465226083,timed extraction command/children; not total deployment resources,True,87.97,64.43,3.24,2275524608.0
10165306719,v3-comparison-pmx-extraction-deathstarbench_social_network--split--N--r5-34465226083,timed extraction command/children; not total deployment resources,True,81.41,51.39,2.56,2161664000.0
10165310238,v3-comparison-pmx-extraction-deathstarbench_social_network--split--N--r6-34465226083,timed extraction command/children; not total deployment resources,True,81.74,51.78,1.92,1077796864.0
10165315545,v3-comparison-pmx-extraction-deathstarbench_social_network--split--N--r7-34465226083,timed extraction command/children; not total deployment resources,True,84.41,61.2,2.17,1420255232.0
10165311077,v3-comparison-pmx-extraction-deathstarbench_social_network--split--N--r8-34465226083,timed extraction command/children; not total deployment resources,True,81.59,50.91,2.53,2268270592.0
10165317385,v3-comparison-pmx-extraction-deathstarbench_social_network--split--N--r9-34465226083,timed extraction command/children; not total deployment resources,True,87.97,66.5,2.7,2159460352.0
10165323930,v3-comparison-pmx-extraction-deathstarbench_social_network--split--NC--r0-34465226083,timed extraction command/children; not total deployment resources,True,88.3,67.46,2.71,2013114368.0
10165314874,v3-comparison-pmx-extraction-deathstarbench_social_network--split--NC--r1-34465226083,timed extraction command/children; not total deployment resources,True,88.55,67.92,2.91,1888739328.0
10165316583,v3-comparison-pmx-extraction-deathstarbench_social_network--split--NC--r2-34465226083,timed extraction command/children; not total deployment resources,True,81.58,51.03,2.59,2201837568.0
10165313823,v3-comparison-pmx-extraction-deathstarbench_social_network--split--NC--r3-34465226083,timed extraction command/children; not total deployment resources,True,86.25,65.79,2.71,1842479104.0
10165319350,v3-comparison-pmx-extraction-deathstarbench_social_network--split--NC--r4-34465226083,timed extraction command/children; not total deployment resources,True,83.87,51.26,1.98,1242202112.0
10165323277,v3-comparison-pmx-extraction-deathstarbench_social_network--split--NC--r5-34465226083,timed extraction command/children; not total deployment resources,True,86.56,65.27,2.71,1959829504.0
10165314697,v3-comparison-pmx-extraction-deathstarbench_social_network--split--NC--r6-34465226083,timed extraction command/children; not total deployment resources,True,85.02,64.14,2.77,1946587136.0
10165319741,v3-comparison-pmx-extraction-deathstarbench_social_network--split--NC--r7-34465226083,timed extraction command/children; not total deployment resources,True,78.97,41.92,2.08,2420441088.0
10165322808,v3-comparison-pmx-extraction-deathstarbench_social_network--split--NC--r8-34465226083,timed extraction command/children; not total deployment resources,True,79.5,42.39,2.09,2211934208.0
10165327261,v3-comparison-pmx-extraction-deathstarbench_social_network--split--NC--r9-34465226083,timed extraction command/children; not total deployment resources,True,83.44,58.11,1.95,1314226176.0
10165403319,v3-comparison-pmx-extraction-deathstarbench_social_network--split--NCD--r0-34465226083,timed extraction command/children; not total deployment resources,True,87.46000000000001,66.66,2.73,2132746240.0
10165393509,v3-comparison-pmx-extraction-deathstarbench_social_network--split--NCD--r1-34465226083,timed extraction command/children; not total deployment resources,True,79.74,49.15,2.5,2471256064.0
10165411503,v3-comparison-pmx-extraction-deathstarbench_social_network--split--NCD--r2-34465226083,timed extraction command/children; not total deployment resources,True,83.65,50.04,2.54,2156474368.0
