application,placement,law,repetition,namespace,data_role,protocol_sha256,operation,gstar_exact,b0_exact,exactly_equal,probability_difference,frozen_candidates_sha256
opentelemetry_demo,split,N,1,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,browse_product,1081/1200,1081/1200,True,0.0,fd7aecc5498f25ff8cf22149f1681459b378e26f30572d76980eb712d3b3b5e6
opentelemetry_demo,split,N,1,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,checkout,913/1200,913/1200,True,0.0,fd7aecc5498f25ff8cf22149f1681459b378e26f30572d76980eb712d3b3b5e6
opentelemetry_demo,split,N,2,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,add_to_cart,363/400,1089/1200,True,0.0,91984248e9bed6daf087bb7a4e55ce975361b341a6065ea2a4c6edfa696bb6c4
opentelemetry_demo,split,N,2,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,browse_product,1091/1200,1091/1200,True,0.0,91984248e9bed6daf087bb7a4e55ce975361b341a6065ea2a4c6edfa696bb6c4
opentelemetry_demo,split,N,2,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,checkout,323/400,969/1200,True,0.0,91984248e9bed6daf087bb7a4e55ce975361b341a6065ea2a4c6edfa696bb6c4
opentelemetry_demo,split,NC,0,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,add_to_cart,7/8,1050/1200,True,0.0,ac6beec402f9cdfb6bb357b1e050912c0102497fcae08ef9c7048e304e723f30
opentelemetry_demo,split,NC,0,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,browse_product,1061/1200,1061/1200,True,0.0,ac6beec402f9cdfb6bb357b1e050912c0102497fcae08ef9c7048e304e723f30
opentelemetry_demo,split,NC,0,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,checkout,89/120,890/1200,True,0.0,ac6beec402f9cdfb6bb357b1e050912c0102497fcae08ef9c7048e304e723f30
spring_petclinic_microservices,split,N,0,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,create_visit,173/180,865/900,True,0.0,39b3ecb83f4c3c2c87277cb976b055eddb61acacbd2799dc790b592a96bfaed0
spring_petclinic_microservices,split,N,0,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,list_owners,1,900/900,True,0.0,39b3ecb83f4c3c2c87277cb976b055eddb61acacbd2799dc790b592a96bfaed0
spring_petclinic_microservices,split,N,0,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,list_vets,1,900/900,True,0.0,39b3ecb83f4c3c2c87277cb976b055eddb61acacbd2799dc790b592a96bfaed0
spring_petclinic_microservices,split,N,0,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,owner_details_with_visits,433/450,866/900,True,0.0,39b3ecb83f4c3c2c87277cb976b055eddb61acacbd2799dc790b592a96bfaed0
spring_petclinic_microservices,split,N,1,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,create_visit,44/45,880/900,True,0.0,03d77842e78bcd6917e85b426434258d2d06ccbbfa4c2ff47a30a762e62b1d7a
spring_petclinic_microservices,split,N,1,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,list_owners,1,900/900,True,0.0,03d77842e78bcd6917e85b426434258d2d06ccbbfa4c2ff47a30a762e62b1d7a
spring_petclinic_microservices,split,N,1,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,list_vets,1,900/900,True,0.0,03d77842e78bcd6917e85b426434258d2d06ccbbfa4c2ff47a30a762e62b1d7a
spring_petclinic_microservices,split,N,1,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,owner_details_with_visits,73/75,876/900,True,0.0,03d77842e78bcd6917e85b426434258d2d06ccbbfa4c2ff47a30a762e62b1d7a
spring_petclinic_microservices,split,N,2,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,create_visit,433/450,866/900,True,0.0,102c785eb075a7231197c02f0ac3669871420973bac8e8f03021657b14f18972
spring_petclinic_microservices,split,N,2,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,list_owners,1,900/900,True,0.0,102c785eb075a7231197c02f0ac3669871420973bac8e8f03021657b14f18972
spring_petclinic_microservices,split,N,2,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,list_vets,1,900/900,True,0.0,102c785eb075a7231197c02f0ac3669871420973bac8e8f03021657b14f18972
spring_petclinic_microservices,split,N,2,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,owner_details_with_visits,871/900,871/900,True,0.0,102c785eb075a7231197c02f0ac3669871420973bac8e8f03021657b14f18972
spring_petclinic_microservices,split,NC,0,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,create_visit,847/900,847/900,True,0.0,5f3994cbd778bd40f9934fb62586e01f6e8dfc97ad2ff6bf1d7448d995e0209d
spring_petclinic_microservices,split,NC,0,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,list_owners,1,900/900,True,0.0,5f3994cbd778bd40f9934fb62586e01f6e8dfc97ad2ff6bf1d7448d995e0209d
spring_petclinic_microservices,split,NC,0,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,list_vets,1,900/900,True,0.0,5f3994cbd778bd40f9934fb62586e01f6e8dfc97ad2ff6bf1d7448d995e0209d
spring_petclinic_microservices,split,NC,0,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,owner_details_with_visits,839/900,839/900,True,0.0,5f3994cbd778bd40f9934fb62586e01f6e8dfc97ad2ff6bf1d7448d995e0209d
spring_petclinic_microservices,split,NC,1,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,create_visit,203/225,812/900,True,0.0,db8a8891fbbb94fcab41b3ff9f0116ba1b4a0bbdebe6bd2a5b2967b53b074fa2
spring_petclinic_microservices,split,NC,1,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,list_owners,1,900/900,True,0.0,db8a8891fbbb94fcab41b3ff9f0116ba1b4a0bbdebe6bd2a5b2967b53b074fa2
spring_petclinic_microservices,split,NC,1,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,list_vets,1,900/900,True,0.0,db8a8891fbbb94fcab41b3ff9f0116ba1b4a0bbdebe6bd2a5b2967b53b074fa2
spring_petclinic_microservices,split,NC,1,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,owner_details_with_visits,823/900,823/900,True,0.0,db8a8891fbbb94fcab41b3ff9f0116ba1b4a0bbdebe6bd2a5b2967b53b074fa2
spring_petclinic_microservices,split,NC,2,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,create_visit,137/150,822/900,True,0.0,9d0b72a3ac09d52cd72e25f9677b86466e95cb745111b9d20b88e3ce95efe430
spring_petclinic_microservices,split,NC,2,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,list_owners,1,900/900,True,0.0,9d0b72a3ac09d52cd72e25f9677b86466e95cb745111b9d20b88e3ce95efe430
spring_petclinic_microservices,split,NC,2,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,list_vets,1,900/900,True,0.0,9d0b72a3ac09d52cd72e25f9677b86466e95cb745111b9d20b88e3ce95efe430
spring_petclinic_microservices,split,NC,2,v4-confirmation-771621,prospective_main,4de2d4e3858020f56af48f1469d414e3adc6962bd6acee9da4c62442a70a44fb,owner_details_with_visits,68/75,816/900,True,0.0,9d0b72a3ac09d52cd72e25f9677b86466e95cb745111b9d20b88e3ce95efe430
