level,profile,scope,mode,view,comparator,operation,expected_operation_cells,common_operation_cells,expected_campaigns,paired_campaigns,proposed_issued_cells,comparator_issued_cells,absolute_error_pp_difference,absolute_error_pp_difference_lower95,absolute_error_pp_difference_upper95,brier_score_difference,brier_score_difference_lower95,brier_score_difference_upper95,signed_error_pp_difference,signed_error_pp_difference_lower95,signed_error_pp_difference_upper95,represented_strata,minimum_pairs_per_stratum
operation,deathstarbench_social_network,current,full,all_sequence,B0,compose_post,80,65,80,65,65,80,1.5076389359520526,0.9972037395489433,2.0056314140359905,0.001095169455082803,0.0007279617394914998,0.0014706832642550113,3.2156309457106005,2.853195027118983,3.593896576320828,8,3
operation,deathstarbench_social_network,current,full,all_sequence,B0,read_home_timeline,80,80,80,80,80,80,0.5756519772617485,0.5756519772617485,0.5756519772617485,3.793062544842086e-05,3.7930625448420856e-05,3.7930625448420856e-05,-0.5756519772617485,-0.5756519772617485,-0.5756519772617485,8,10
operation,deathstarbench_social_network,current,full,all_sequence,B0,read_user_timeline,80,65,80,65,65,80,4.810600539501489,4.299560099046839,5.287570447699323,0.004427167276109484,0.003804283512810951,0.005054559658297995,6.4440294033451115,6.162796117338117,6.7239211004558115,8,3
operation,deathstarbench_social_network,current,full,all_sequence,B1,compose_post,80,65,80,65,65,65,-0.20960175377017082,-0.3549614627868389,-0.05599394624581045,-0.00041144322978699385,-0.0006216982135512448,-0.00019150138741983656,-0.1532799294675186,-0.30700971685963635,-0.0004302813412799351,8,3
operation,deathstarbench_social_network,current,full,all_sequence,B1,read_home_timeline,80,80,80,80,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10
operation,deathstarbench_social_network,current,full,all_sequence,B1,read_user_timeline,80,65,80,65,65,65,-0.15327992946751867,-0.3071840305213398,0.003959976598954274,-0.0003337334718667731,-0.0005568042975025166,-0.00010623664421399171,-0.15327992946751867,-0.3052779581878377,0.004858316725256541,8,3
operation,deathstarbench_social_network,current,full,all_sequence,B2,compose_post,80,65,80,65,65,65,0.8090143115439318,0.5080902396638844,1.0713075355716706,0.0006327785573184397,0.00041077945422539005,0.0008464008324975994,1.2637360397924011,1.1281553851131567,1.3994679886597288,8,3
operation,deathstarbench_social_network,current,full,all_sequence,B2,read_home_timeline,80,80,80,80,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10
operation,deathstarbench_social_network,current,full,all_sequence,B2,read_user_timeline,80,65,80,65,65,65,1.2241006381125115,1.0733996398747285,1.378667686809934,0.001374220512216963,0.00119212441675169,0.0015676093341539501,1.2637360397924011,1.1278708771479213,1.4013075449166428,8,3
operation,deathstarbench_social_network,current,full,all_sequence,B3,compose_post,80,65,80,65,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3
operation,deathstarbench_social_network,current,full,all_sequence,B3,read_home_timeline,80,80,80,80,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10
operation,deathstarbench_social_network,current,full,all_sequence,B3,read_user_timeline,80,65,80,65,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3
operation,deathstarbench_social_network,current,full,all_sequence,B4,compose_post,80,65,80,65,65,65,0.48444660977381515,-0.1271236228878881,1.0869941121347972,0.00031622316977112736,-0.00023101875821833481,0.0008326392643426083,1.7971993265883066,1.2353850236464352,2.3998462629888353,8,3
operation,deathstarbench_social_network,current,full,all_sequence,B4,read_home_timeline,80,80,80,80,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10
operation,deathstarbench_social_network,current,full,all_sequence,B4,read_user_timeline,80,65,80,65,65,65,1.3285815680767947,0.8753751732714039,1.8195670494134817,0.0014086222390125914,0.0008148847276670377,0.0020576597326742493,1.7971993265883066,1.233104398483351,2.4134313799755884,8,3
operation,deathstarbench_social_network,current,full,stable,B0,compose_post,80,65,80,65,65,80,-1.7062449986308184,-2.3342718265575244,-1.0731740986361629,-0.0013727866131821634,-0.0018826285153616563,-0.00086302091548944,3.215630945710601,2.852774790893101,3.590884005090506,8,3
operation,deathstarbench_social_network,current,full,stable,B0,read_home_timeline,80,80,80,80,80,80,0.5756519772617485,0.5756519772617485,0.5756519772617485,3.793062544842086e-05,3.7930625448420856e-05,3.7930625448420856e-05,-0.5756519772617485,-0.5756519772617485,-0.5756519772617485,8,10
operation,deathstarbench_social_network,current,full,stable,B0,read_user_timeline,80,65,80,65,65,80,0.1842029389727033,-0.6049272950652937,0.9839608323091701,-6.647480136053103e-05,-0.0007136694272133868,0.0005701375796875603,6.444029403345112,6.165172148336808,6.731095145731898,8,3
operation,deathstarbench_social_network,current,full,stable,B1,compose_post,80,65,80,65,65,65,-0.6099418228916256,-0.8985479066426527,-0.3094289952676097,-0.0004890724438555302,-0.0007126461277903663,-0.00026318102742216325,-0.15327992946751862,-0.306469229262138,0.0018689407558789466,8,3
operation,deathstarbench_social_network,current,full,stable,B1,read_home_timeline,80,80,80,80,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10
