campaign_id,profile,placement,failure_law,repetition,source_run_id,operation,all_sequence_requests,all_sequence_successes,all_sequence_availability,stable_requests,stable_successes,stable_availability
deathstarbench_social_network--colocated--NC--r3,deathstarbench_social_network,colocated,NC,3,33990678586,read_user_timeline,1200,1035,0.8625,867,787,0.9077277970011534
deathstarbench_social_network--colocated--NC--r4,deathstarbench_social_network,colocated,NC,4,33990678586,compose_post,1200,1106,0.9216666666666666,883,853,0.9660249150622876
deathstarbench_social_network--colocated--NC--r4,deathstarbench_social_network,colocated,NC,4,33990678586,read_home_timeline,1200,1200,1.0,898,898,1.0
deathstarbench_social_network--colocated--NC--r4,deathstarbench_social_network,colocated,NC,4,33990678586,read_user_timeline,1200,1059,0.8825,882,816,0.9251700680272109
deathstarbench_social_network--colocated--NC--r5,deathstarbench_social_network,colocated,NC,5,33990678586,compose_post,1200,1051,0.8758333333333334,873,807,0.9243986254295533
deathstarbench_social_network--colocated--NC--r5,deathstarbench_social_network,colocated,NC,5,33990678586,read_home_timeline,1200,1200,1.0,873,873,1.0
deathstarbench_social_network--colocated--NC--r5,deathstarbench_social_network,colocated,NC,5,33990678586,read_user_timeline,1200,1036,0.8633333333333333,895,799,0.8927374301675978
deathstarbench_social_network--colocated--NC--r6,deathstarbench_social_network,colocated,NC,6,33990678586,compose_post,1200,1093,0.9108333333333334,864,817,0.9456018518518519
deathstarbench_social_network--colocated--NC--r6,deathstarbench_social_network,colocated,NC,6,33990678586,read_home_timeline,1200,1200,1.0,851,851,1.0
deathstarbench_social_network--colocated--NC--r6,deathstarbench_social_network,colocated,NC,6,33990678586,read_user_timeline,1200,1057,0.8808333333333334,855,787,0.92046783625731
deathstarbench_social_network--colocated--NC--r7,deathstarbench_social_network,colocated,NC,7,33990678586,compose_post,1200,1068,0.89,885,829,0.9367231638418079
deathstarbench_social_network--colocated--NC--r7,deathstarbench_social_network,colocated,NC,7,33990678586,read_home_timeline,1200,1200,1.0,914,914,1.0
deathstarbench_social_network--colocated--NC--r7,deathstarbench_social_network,colocated,NC,7,33990678586,read_user_timeline,1200,1022,0.8516666666666667,877,789,0.8996579247434435
deathstarbench_social_network--colocated--NC--r8,deathstarbench_social_network,colocated,NC,8,33990678586,compose_post,1200,1065,0.8875,904,831,0.9192477876106194
deathstarbench_social_network--colocated--NC--r8,deathstarbench_social_network,colocated,NC,8,33990678586,read_home_timeline,1200,1200,1.0,882,882,1.0
deathstarbench_social_network--colocated--NC--r8,deathstarbench_social_network,colocated,NC,8,33990678586,read_user_timeline,1200,1044,0.87,895,819,0.9150837988826815
deathstarbench_social_network--colocated--NC--r9,deathstarbench_social_network,colocated,NC,9,33990678586,compose_post,1200,1071,0.8925,862,810,0.9396751740139211
deathstarbench_social_network--colocated--NC--r9,deathstarbench_social_network,colocated,NC,9,33990678586,read_home_timeline,1200,1200,1.0,875,875,1.0
deathstarbench_social_network--colocated--NC--r9,deathstarbench_social_network,colocated,NC,9,33990678586,read_user_timeline,1200,1062,0.885,880,811,0.9215909090909091
deathstarbench_social_network--colocated--ND--r0,deathstarbench_social_network,colocated,ND,0,33990678586,compose_post,1200,1039,0.8658333333333333,954,863,0.9046121593291404
deathstarbench_social_network--colocated--ND--r0,deathstarbench_social_network,colocated,ND,0,33990678586,read_home_timeline,1200,1200,1.0,974,974,1.0
deathstarbench_social_network--colocated--ND--r0,deathstarbench_social_network,colocated,ND,0,33990678586,read_user_timeline,1200,1013,0.8441666666666666,969,845,0.8720330237358102
deathstarbench_social_network--colocated--ND--r1,deathstarbench_social_network,colocated,ND,1,33990678586,compose_post,1200,1051,0.8758333333333334,898,819,0.9120267260579065
deathstarbench_social_network--colocated--ND--r1,deathstarbench_social_network,colocated,ND,1,33990678586,read_home_timeline,1200,1200,1.0,919,919,1.0
deathstarbench_social_network--colocated--ND--r1,deathstarbench_social_network,colocated,ND,1,33990678586,read_user_timeline,1200,1017,0.8475,930,815,0.8763440860215054
deathstarbench_social_network--colocated--ND--r2,deathstarbench_social_network,colocated,ND,2,33990678586,compose_post,1200,1063,0.8858333333333334,939,864,0.9201277955271565
deathstarbench_social_network--colocated--ND--r2,deathstarbench_social_network,colocated,ND,2,33990678586,read_home_timeline,1200,1200,1.0,960,960,1.0
deathstarbench_social_network--colocated--ND--r2,deathstarbench_social_network,colocated,ND,2,33990678586,read_user_timeline,1200,1020,0.85,965,848,0.8787564766839379
deathstarbench_social_network--colocated--ND--r3,deathstarbench_social_network,colocated,ND,3,33990678586,compose_post,1200,1067,0.8891666666666667,980,900,0.9183673469387755
deathstarbench_social_network--colocated--ND--r3,deathstarbench_social_network,colocated,ND,3,33990678586,read_home_timeline,1200,1200,1.0,964,964,1.0
deathstarbench_social_network--colocated--ND--r3,deathstarbench_social_network,colocated,ND,3,33990678586,read_user_timeline,1200,1030,0.8583333333333333,946,841,0.8890063424947146
deathstarbench_social_network--colocated--ND--r4,deathstarbench_social_network,colocated,ND,4,33990678586,compose_post,1200,1046,0.8716666666666667,957,855,0.8934169278996865
deathstarbench_social_network--colocated--ND--r4,deathstarbench_social_network,colocated,ND,4,33990678586,read_home_timeline,1200,1200,1.0,958,958,1.0
deathstarbench_social_network--colocated--ND--r4,deathstarbench_social_network,colocated,ND,4,33990678586,read_user_timeline,1200,1023,0.8525,960,847,0.8822916666666667
deathstarbench_social_network--colocated--ND--r5,deathstarbench_social_network,colocated,ND,5,33990678586,compose_post,1200,1016,0.8466666666666667,948,824,0.869198312236287
deathstarbench_social_network--colocated--ND--r5,deathstarbench_social_network,colocated,ND,5,33990678586,read_home_timeline,1200,1200,1.0,937,937,1.0
deathstarbench_social_network--colocated--ND--r5,deathstarbench_social_network,colocated,ND,5,33990678586,read_user_timeline,1200,1026,0.855,977,869,0.8894575230296827
deathstarbench_social_network--colocated--ND--r6,deathstarbench_social_network,colocated,ND,6,33990678586,compose_post,1200,1048,0.8733333333333333,955,866,0.9068062827225131
deathstarbench_social_network--colocated--ND--r6,deathstarbench_social_network,colocated,ND,6,33990678586,read_home_timeline,1200,1200,1.0,942,942,1.0
deathstarbench_social_network--colocated--ND--r6,deathstarbench_social_network,colocated,ND,6,33990678586,read_user_timeline,1200,1022,0.8516666666666667,934,820,0.8779443254817987
deathstarbench_social_network--colocated--ND--r7,deathstarbench_social_network,colocated,ND,7,33990678586,compose_post,1200,1009,0.8408333333333333,931,800,0.8592910848549946
deathstarbench_social_network--colocated--ND--r7,deathstarbench_social_network,colocated,ND,7,33990678586,read_home_timeline,1200,1200,1.0,921,921,1.0
deathstarbench_social_network--colocated--ND--r7,deathstarbench_social_network,colocated,ND,7,33990678586,read_user_timeline,1200,978,0.815,954,804,0.8427672955974843
deathstarbench_social_network--colocated--ND--r8,deathstarbench_social_network,colocated,ND,8,33990678586,compose_post,1200,1033,0.8608333333333333,978,872,0.8916155419222904
deathstarbench_social_network--colocated--ND--r8,deathstarbench_social_network,colocated,ND,8,33990678586,read_home_timeline,1200,1200,1.0,965,965,1.0
deathstarbench_social_network--colocated--ND--r8,deathstarbench_social_network,colocated,ND,8,33990678586,read_user_timeline,1200,1018,0.8483333333333334,962,841,0.8742203742203742
deathstarbench_social_network--colocated--ND--r9,deathstarbench_social_network,colocated,ND,9,33990678586,compose_post,1200,1035,0.8625,953,857,0.8992654774396642
deathstarbench_social_network--colocated--ND--r9,deathstarbench_social_network,colocated,ND,9,33990678586,read_home_timeline,1200,1200,1.0,974,974,1.0
deathstarbench_social_network--colocated--ND--r9,deathstarbench_social_network,colocated,ND,9,33990678586,read_user_timeline,1200,1014,0.845,969,841,0.8679050567595459
deathstarbench_social_network--colocated--NCD--r0,deathstarbench_social_network,colocated,NCD,0,33990678586,compose_post,1200,995,0.8291666666666667,833,712,0.8547418967587035
deathstarbench_social_network--colocated--NCD--r0,deathstarbench_social_network,colocated,NCD,0,33990678586,read_home_timeline,1200,1200,1.0,848,848,1.0
deathstarbench_social_network--colocated--NCD--r0,deathstarbench_social_network,colocated,NCD,0,33990678586,read_user_timeline,1200,943,0.7858333333333334,854,695,0.8138173302107728
deathstarbench_social_network--colocated--NCD--r1,deathstarbench_social_network,colocated,NCD,1,33990678586,compose_post,1200,982,0.8183333333333334,839,722,0.8605482717520858
deathstarbench_social_network--colocated--NCD--r1,deathstarbench_social_network,colocated,NCD,1,33990678586,read_home_timeline,1200,1200,1.0,868,868,1.0
deathstarbench_social_network--colocated--NCD--r1,deathstarbench_social_network,colocated,NCD,1,33990678586,read_user_timeline,1200,936,0.78,851,696,0.81786133960047
deathstarbench_social_network--colocated--NCD--r2,deathstarbench_social_network,colocated,NCD,2,33990678586,compose_post,1200,997,0.8308333333333333,861,746,0.8664343786295006
deathstarbench_social_network--colocated--NCD--r2,deathstarbench_social_network,colocated,NCD,2,33990678586,read_home_timeline,1200,1200,1.0,859,859,1.0
deathstarbench_social_network--colocated--NCD--r2,deathstarbench_social_network,colocated,NCD,2,33990678586,read_user_timeline,1200,970,0.8083333333333333,869,738,0.8492520138089759
deathstarbench_social_network--colocated--NCD--r3,deathstarbench_social_network,colocated,NCD,3,33990678586,compose_post,1200,1011,0.8425,831,733,0.8820697954271961
deathstarbench_social_network--colocated--NCD--r3,deathstarbench_social_network,colocated,NCD,3,33990678586,read_home_timeline,1200,1200,1.0,861,861,1.0
deathstarbench_social_network--colocated--NCD--r3,deathstarbench_social_network,colocated,NCD,3,33990678586,read_user_timeline,1200,952,0.7933333333333333,857,710,0.8284714119019837
deathstarbench_social_network--colocated--NCD--r4,deathstarbench_social_network,colocated,NCD,4,33990678586,compose_post,1200,975,0.8125,833,695,0.8343337334933973
deathstarbench_social_network--colocated--NCD--r4,deathstarbench_social_network,colocated,NCD,4,33990678586,read_home_timeline,1200,1200,1.0,828,828,1.0
deathstarbench_social_network--colocated--NCD--r4,deathstarbench_social_network,colocated,NCD,4,33990678586,read_user_timeline,1200,952,0.7933333333333333,820,670,0.8170731707317073
deathstarbench_social_network--colocated--NCD--r5,deathstarbench_social_network,colocated,NCD,5,33990678586,compose_post,1200,936,0.78,847,689,0.8134592680047226
deathstarbench_social_network--colocated--NCD--r5,deathstarbench_social_network,colocated,NCD,5,33990678586,read_home_timeline,1200,1200,1.0,824,824,1.0
deathstarbench_social_network--colocated--NCD--r5,deathstarbench_social_network,colocated,NCD,5,33990678586,read_user_timeline,1200,917,0.7641666666666667,828,663,0.8007246376811594
deathstarbench_social_network--colocated--NCD--r6,deathstarbench_social_network,colocated,NCD,6,33990678586,compose_post,1200,1022,0.8516666666666667,889,777,0.8740157480314961
deathstarbench_social_network--colocated--NCD--r6,deathstarbench_social_network,colocated,NCD,6,33990678586,read_home_timeline,1200,1200,1.0,872,872,1.0
deathstarbench_social_network--colocated--NCD--r6,deathstarbench_social_network,colocated,NCD,6,33990678586,read_user_timeline,1200,978,0.815,864,738,0.8541666666666666
deathstarbench_social_network--colocated--NCD--r7,deathstarbench_social_network,colocated,NCD,7,33990678586,compose_post,1200,936,0.78,855,699,0.8175438596491228
deathstarbench_social_network--colocated--NCD--r7,deathstarbench_social_network,colocated,NCD,7,33990678586,read_home_timeline,1200,1200,1.0,846,846,1.0
deathstarbench_social_network--colocated--NCD--r7,deathstarbench_social_network,colocated,NCD,7,33990678586,read_user_timeline,1200,937,0.7808333333333334,856,703,0.8212616822429907
deathstarbench_social_network--colocated--NCD--r8,deathstarbench_social_network,colocated,NCD,8,33990678586,compose_post,1200,967,0.8058333333333333,836,701,0.8385167464114832
deathstarbench_social_network--colocated--NCD--r8,deathstarbench_social_network,colocated,NCD,8,33990678586,read_home_timeline,1200,1200,1.0,811,811,1.0
deathstarbench_social_network--colocated--NCD--r8,deathstarbench_social_network,colocated,NCD,8,33990678586,read_user_timeline,1200,962,0.8016666666666666,854,712,0.8337236533957846
deathstarbench_social_network--colocated--NCD--r9,deathstarbench_social_network,colocated,NCD,9,33990678586,compose_post,1200,1011,0.8425,834,713,0.854916067146283
deathstarbench_social_network--colocated--NCD--r9,deathstarbench_social_network,colocated,NCD,9,33990678586,read_home_timeline,1200,1200,1.0,835,835,1.0
deathstarbench_social_network--colocated--NCD--r9,deathstarbench_social_network,colocated,NCD,9,33990678586,read_user_timeline,1200,948,0.79,838,680,0.8114558472553699
deathstarbench_social_network--split--N--r0,deathstarbench_social_network,split,N,0,33990678586,compose_post,1200,1114,0.9283333333333333,946,902,0.9534883720930233
deathstarbench_social_network--split--N--r0,deathstarbench_social_network,split,N,0,33990678586,read_home_timeline,1200,1200,1.0,923,923,1.0
deathstarbench_social_network--split--N--r0,deathstarbench_social_network,split,N,0,33990678586,read_user_timeline,1200,1083,0.9025,939,881,0.9382321618743344
deathstarbench_social_network--split--N--r1,deathstarbench_social_network,split,N,1,33990678586,compose_post,1200,1119,0.9325,949,923,0.9726027397260274
deathstarbench_social_network--split--N--r1,deathstarbench_social_network,split,N,1,33990678586,read_home_timeline,1200,1200,1.0,967,967,1.0
deathstarbench_social_network--split--N--r1,deathstarbench_social_network,split,N,1,33990678586,read_user_timeline,1200,1078,0.8983333333333333,953,887,0.9307450157397692
deathstarbench_social_network--split--N--r2,deathstarbench_social_network,split,N,2,33990678586,compose_post,1200,1143,0.9525,979,956,0.9765066394279878
deathstarbench_social_network--split--N--r2,deathstarbench_social_network,split,N,2,33990678586,read_home_timeline,1200,1200,1.0,970,970,1.0
deathstarbench_social_network--split--N--r2,deathstarbench_social_network,split,N,2,33990678586,read_user_timeline,1200,1097,0.9141666666666667,970,911,0.9391752577319588
