profile,scope,mode,view,method,operation,source_placement,target_placement,failure_law,expected_campaigns,issued_campaigns,coverage,all_test_requests,issued_test_requests,observed_all,observed_issued,prediction,signed_error_pp,signed_error_pp_lower95,signed_error_pp_upper95,absolute_error_pp,absolute_error_pp_lower95,absolute_error_pp_upper95,brier_score,brier_score_lower95,brier_score_upper95,represented_strata,minimum_issued_campaigns_per_stratum,absolute_error_median_pp,absolute_error_p90_pp,absence_reasons
deathstarbench_social_network,current,full,all_sequence,B0,compose_post,colocated,colocated,N,10,10,1.0,12000,12000,0.9514166666666666,0.9514166666666666,0.9468776019983347,-0.4539064668331938,-1.5282717527060794,0.6288655287260649,1.6491049125728587,1.209436060227592,2.0796006799889004,0.046474238555482605,0.04156395097479828,0.050760040923085885,1,10,1.7533305578684433,2.6353663613655343,{}
deathstarbench_social_network,current,full,all_sequence,B0,compose_post,colocated,colocated,NC,10,10,1.0,12000,12000,0.89875,0.89875,0.8963363863447128,-0.241361365528725,-1.4244802941992778,1.0081697543713588,1.5408479045240076,0.8344351928948084,2.347506591729113,0.09119020981913721,0.08401082175945986,0.09789262691743372,1,10,1.241222592284208,3.3641895642520145,{}
deathstarbench_social_network,current,full,all_sequence,B0,compose_post,colocated,colocated,NCD,10,10,1.0,12000,12000,0.8193333333333334,0.8193333333333334,0.821482098251457,0.2148764918123792,-1.6500036427976688,1.9809511171246175,2.6906050513460995,1.9273863794060495,3.4271270469053556,0.14832696374540322,0.13938961703437533,0.15790054071013077,1,10,2.7639120177629763,4.041638912017762,{}
deathstarbench_social_network,current,full,all_sequence,B0,compose_post,colocated,colocated,ND,10,10,1.0,12000,12000,0.86725,0.86725,0.8660283097418817,-0.12216902581182354,-1.4132807729669732,1.1521062309186754,1.923681654177073,1.429088606716624,2.368891548709409,0.11534125450088659,0.10885015702984122,0.12195319412447256,1,10,2.12281432139883,2.446662503469329,{}
deathstarbench_social_network,current,full,all_sequence,B0,compose_post,split,split,N,10,10,1.0,12000,12000,0.9428333333333333,0.9428333333333333,0.9547876769358867,1.1954343602553419,0.5708987302248112,1.795385963086317,1.3102830974188173,0.8149871634748823,1.8360468706633375,0.05405321855711415,0.049018804309042124,0.059247713245715525,1,10,1.2536081043574787,2.2873508187621447,{}
deathstarbench_social_network,current,full,all_sequence,B0,compose_post,split,split,NC,10,10,1.0,12000,12000,0.884,0.884,0.8982514571190674,1.4251457119067434,0.5590962392450703,2.2996322509020275,1.6650430197058008,1.047115424646131,2.3910569317235644,0.10276987790958733,0.09662189522019189,0.1091427476218472,1,10,1.3742714404662792,2.790154038301407,{}
deathstarbench_social_network,current,full,all_sequence,B0,compose_post,split,split,NCD,10,10,1.0,12000,12000,0.8634166666666667,0.8634166666666667,0.8489592006661116,-1.445746600055512,-3.303512871218434,0.6869789064668298,3.393401332223148,2.7374387663058553,4.048895018040524,0.1189333738213807,0.11241530247425414,0.1268294178046419,1,10,3.3315639744657233,4.7273452678323675,{}
deathstarbench_social_network,current,full,all_sequence,B0,compose_post,split,split,ND,10,10,1.0,12000,12000,0.9059166666666666,0.9059166666666666,0.9099916736053288,0.40750069386622056,-1.075183701082432,1.8152692200943628,1.943928670552315,1.1554508395781256,2.7685470441298885,0.08556634169924546,0.07821049575499463,0.09291270833318889,1,10,1.4659658617818483,3.6667846239245048,{}
deathstarbench_social_network,current,full,all_sequence,B0,read_home_timeline,colocated,colocated,N,10,10,1.0,12000,12000,1.0,1.0,0.9995836802664446,-0.04163197335553814,-0.04163197335553814,-0.04163197335553814,0.04163197335553814,0.04163197335553814,0.04163197335553814,1.733221205476238e-07,1.733221205476238e-07,1.733221205476238e-07,1,10,0.04163197335553814,0.04163197335553814,{}
deathstarbench_social_network,current,full,all_sequence,B0,read_home_timeline,colocated,colocated,NC,10,10,1.0,12000,12000,1.0,1.0,0.9995836802664446,-0.04163197335553814,-0.04163197335553814,-0.04163197335553814,0.04163197335553814,0.04163197335553814,0.04163197335553814,1.733221205476238e-07,1.733221205476238e-07,1.733221205476238e-07,1,10,0.04163197335553814,0.04163197335553814,{}
deathstarbench_social_network,current,full,all_sequence,B0,read_home_timeline,colocated,colocated,NCD,10,10,1.0,12000,12000,1.0,1.0,0.9995836802664446,-0.04163197335553814,-0.04163197335553814,-0.04163197335553814,0.04163197335553814,0.04163197335553814,0.04163197335553814,1.733221205476238e-07,1.733221205476238e-07,1.733221205476238e-07,1,10,0.04163197335553814,0.04163197335553814,{}
deathstarbench_social_network,current,full,all_sequence,B0,read_home_timeline,colocated,colocated,ND,10,10,1.0,12000,12000,1.0,1.0,0.9995836802664446,-0.04163197335553814,-0.04163197335553814,-0.04163197335553814,0.04163197335553814,0.04163197335553814,0.04163197335553814,1.733221205476238e-07,1.733221205476238e-07,1.733221205476238e-07,1,10,0.04163197335553814,0.04163197335553814,{}
deathstarbench_social_network,current,full,all_sequence,B0,read_home_timeline,split,split,N,10,10,1.0,12000,12000,1.0,1.0,0.9995836802664446,-0.04163197335553814,-0.04163197335553814,-0.04163197335553814,0.04163197335553814,0.04163197335553814,0.04163197335553814,1.733221205476238e-07,1.733221205476238e-07,1.733221205476238e-07,1,10,0.04163197335553814,0.04163197335553814,{}
deathstarbench_social_network,current,full,all_sequence,B0,read_home_timeline,split,split,NC,10,10,1.0,12000,12000,1.0,1.0,0.9995836802664446,-0.04163197335553814,-0.04163197335553814,-0.04163197335553814,0.04163197335553814,0.04163197335553814,0.04163197335553814,1.733221205476238e-07,1.733221205476238e-07,1.733221205476238e-07,1,10,0.04163197335553814,0.04163197335553814,{}
deathstarbench_social_network,current,full,all_sequence,B0,read_home_timeline,split,split,NCD,10,10,1.0,12000,12000,1.0,1.0,0.9995836802664446,-0.04163197335553814,-0.04163197335553814,-0.04163197335553814,0.04163197335553814,0.04163197335553814,0.04163197335553814,1.733221205476238e-07,1.733221205476238e-07,1.733221205476238e-07,1,10,0.04163197335553814,0.04163197335553814,{}
deathstarbench_social_network,current,full,all_sequence,B0,read_home_timeline,split,split,ND,10,10,1.0,12000,12000,1.0,1.0,0.9995836802664446,-0.04163197335553814,-0.04163197335553814,-0.04163197335553814,0.04163197335553814,0.04163197335553814,0.04163197335553814,1.733221205476238e-07,1.733221205476238e-07,1.733221205476238e-07,1,10,0.04163197335553814,0.04163197335553814,{}
