profile,case_id,phase,functional,lower_exact,upper_exact,status
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,metadata,without_selection_minus_execution,0,1/2918,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,execution,77/80,77/80,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,reachability_minus_execution,3/80,3/80,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,selected,1199/1200,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,selected_minus_execution,11/300,3/80,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,without_completion,77/80,289/300,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,without_completion_minus_execution,0,1/1200,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,without_deadline,1199/1200,1199/1200,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,without_deadline_minus_execution,11/300,11/300,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,without_selection,77/80,77/80,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,execution,77/80,77/80,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,reachability_minus_execution,3/80,3/80,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,selected,1199/1200,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,selected_minus_execution,11/300,3/80,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,without_completion,77/80,289/300,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,without_completion_minus_execution,0,1/1200,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,without_deadline,1199/1200,1199/1200,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,without_deadline_minus_execution,11/300,11/300,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,without_selection,77/80,77/80,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,reachability_minus_execution,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,selected,2917/2918,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,selected_minus_execution,2917/2918,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,without_completion,2853/2918,1427/1459,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,without_completion_minus_execution,2853/2918,1427/1459,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,without_deadline,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,without_deadline_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,without_selection,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,execution,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,reachability_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,selected,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,selected_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,without_completion,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,without_completion_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,without_deadline,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,without_deadline_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,without_selection,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,execution,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,reachability_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,selected,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,selected_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,without_completion,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,without_completion_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,without_deadline,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,without_deadline_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,without_selection,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,execution,0,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,reachability_minus_execution,0,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,selected,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,selected_minus_execution,0,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,without_completion,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,without_completion_minus_execution,0,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,without_deadline,0,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,without_deadline_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,without_selection,0,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,execution,0,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,reachability_minus_execution,0,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,selected,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,selected_minus_execution,0,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,without_completion,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,without_completion_minus_execution,0,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,without_deadline,0,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,without_deadline_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,without_selection,0,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,execution,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,reachability_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,selected,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,selected_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,without_completion,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,without_completion_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,without_deadline,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,without_deadline_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,without_selection,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,execution,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,reachability_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,selected,1,1,singleton_given_empirical_observation_law
