profile,case_id,method,round,returncode,timed_out,wall_seconds,cpu_seconds,peak_rss_mib
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,agrum_lazy,0,0,False,0.15,0.15,47.41015625
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,storm_exact,0,0,False,0.24,0.23,93.265625
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,prepared_specialized,0,0,False,0.12,0.11,35.95703125
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,cudd_controls_first,0,0,False,0.26,0.25,77.01171875
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,cudd_sift_once,0,0,False,0.26,0.25,76.92578125
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_user_timeline,storm_exact,0,0,False,0.24,0.22999999999999998,94.47265625
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_user_timeline,prepared_specialized,0,0,False,0.12,0.12000000000000001,35.99609375
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_user_timeline,cudd_controls_first,0,0,False,0.26,0.26,76.921875
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_user_timeline,cudd_sift_once,0,0,False,0.26,0.25,77.03515625
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_user_timeline,agrum_lazy,0,0,False,0.25,0.25,47.85546875
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--compose_post,prepared_specialized,0,0,False,0.13,0.12000000000000001,36.01171875
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--compose_post,cudd_controls_first,0,0,False,0.27,0.26,77.1875
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--compose_post,cudd_sift_once,0,0,False,0.26,0.26,79.35546875
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--compose_post,agrum_lazy,0,0,False,0.26,0.26,48.2890625
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--compose_post,storm_exact,0,0,False,0.25,0.25,94.93359375
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_home_timeline,cudd_controls_first,0,0,False,0.26,0.25,76.6875
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_home_timeline,cudd_sift_once,0,0,False,0.26,0.26,76.73046875
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_home_timeline,agrum_lazy,0,0,False,0.15,0.15,47.21875
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_home_timeline,storm_exact,0,0,False,0.24,0.23,93.36328125
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_home_timeline,prepared_specialized,0,0,False,0.12,0.11,36.0234375
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_user_timeline,cudd_sift_once,0,0,False,0.27,0.27,76.984375
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_user_timeline,agrum_lazy,0,0,False,0.22,0.22,47.84765625
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_user_timeline,storm_exact,0,0,False,0.24,0.24,95.0390625
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_user_timeline,prepared_specialized,0,0,False,0.12,0.11,35.94921875
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_user_timeline,cudd_controls_first,0,0,False,0.26,0.25,77.0078125
