profile,phase,method,planned,qualified,failed,total_median_ms,cpu_median_ms,key_check_median_ms,construction_median_ms,data_update_median_ms,inference_median_ms,reconstructed_records,fully_paired_cases,other_over_prepared_median
opentelemetry_demo,initial,cudd_controls_first,72,72,0,6.3114105,6.319015,0.0695905,5.006995,0.0,1.2921885,72,24,2.360220921012705
opentelemetry_demo,initial,cudd_sift_once,72,72,0,7.4689835,7.484351,0.06963050000000001,6.1855905,0.0,1.252524,72,24,2.772006227865326
opentelemetry_demo,initial,agrum_lazy,72,72,0,50.935504,50.942082,0.0974435,10.8518535,0.0088665,39.6963675,72,24,18.99645083688886
opentelemetry_demo,initial,storm_exact,72,72,0,8.1444285,8.1495475,0.070698,4.3450645,0.0039975,3.724147,72,24,3.0384176102650073
opentelemetry_demo,repeat,prepared_specialized,72,72,0,1.0908105000000001,1.074928,0.04494,0.0,0.0,1.017858,0,0,
opentelemetry_demo,repeat,cudd_controls_first,72,72,0,1.152431,1.1549420000000001,0.061646,0.0,0.0,1.0899685,0,24,1.0991121094002512
opentelemetry_demo,repeat,cudd_sift_once,72,72,0,1.1721125,1.1744335,0.054357,0.0,0.0,1.10956,0,24,1.1017649476254423
opentelemetry_demo,repeat,agrum_lazy,72,72,0,39.3603315,39.3638915,0.0547275,0.0,0.0129045,39.274721,0,24,36.580567316178076
opentelemetry_demo,repeat,storm_exact,72,72,0,3.436356,3.4389114999999997,0.0540065,0.0,0.003667,3.3731925,0,24,3.2991886109730286
opentelemetry_demo,counts,prepared_specialized,72,72,0,1.0814270000000001,1.083514,0.0416525,0.0,0.0,1.0306009999999999,0,0,
opentelemetry_demo,counts,cudd_controls_first,72,72,0,1.1358445000000001,1.138385,0.043046,0.0,0.0,1.078792,0,24,1.0847128763413654
opentelemetry_demo,counts,cudd_sift_once,72,72,0,1.131116,1.1335115,0.043427,0.0,0.0,1.0765685,0,24,1.0785767833496214
opentelemetry_demo,counts,agrum_lazy,72,72,0,39.3343595,39.3375165,0.0509405,0.0,0.2439885,39.0257145,0,24,36.64353909008035
opentelemetry_demo,counts,storm_exact,72,72,0,3.7100635000000004,3.7125375,0.047824500000000006,0.0,0.19203550000000003,3.476985,0,24,3.647236239171308
opentelemetry_demo,masks,prepared_specialized,72,72,0,1.069039,1.0711255,0.044909500000000005,0.0,0.0,1.0153780000000001,0,0,
opentelemetry_demo,masks,cudd_controls_first,72,72,0,1.200307,1.2023854999999999,0.046968499999999996,0.0,0.0,1.146275,0,24,1.1549667792267917
opentelemetry_demo,masks,cudd_sift_once,72,72,0,1.1958175,1.1983825000000001,0.046868,0.0,0.0,1.1341225,0,24,1.1205293737457378
opentelemetry_demo,masks,agrum_lazy,72,72,0,44.0369525,44.0400635,0.0508405,0.0,5.318030500000001,38.698155,0,24,41.01670583761446
opentelemetry_demo,masks,storm_exact,72,72,0,7.234113000000001,7.2366535,0.046246499999999996,0.0,3.830846,3.327048,0,24,7.7747203491046175
