profile,case_id,method,round,phase,status,total_ms,cpu_ms,key_check_ms,construction_ms,data_update_ms,inference_and_validation_ms,reconstructed,error
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,storm_exact,0,metadata,qualified,2.252915,2.255274,0.061926,0.0,0.001993,2.187684,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,storm_exact,0,structure,qualified,4.37735,4.379713,0.066253,2.290336,0.002024,2.016823,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,storm_exact,0,restore,qualified,4.692841,4.695213,0.06964,2.354445,0.002284,2.264528,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,cudd_controls_first,0,initial,qualified,5.16298,5.168869,0.051286,4.902502,0.0,0.207448,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,cudd_controls_first,0,repeat,qualified,0.182361,0.184585,0.033553,0.0,0.0,0.147656,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,cudd_controls_first,0,counts,qualified,0.16609,0.168114,0.030036,0.0,0.0,0.135073,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,cudd_controls_first,0,masks,qualified,0.236313,0.238516,0.031999,0.0,0.0,0.20325,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,cudd_controls_first,0,metadata,qualified,0.20296,0.205153,0.027872,0.0,0.0,0.173916,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,cudd_controls_first,0,structure,qualified,4.965701,4.968143,0.028884,4.790784,0.0,0.144521,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,cudd_controls_first,0,restore,qualified,4.626417,4.628609,0.029274,4.458041,0.0,0.137608,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,cudd_sift_once,0,initial,qualified,6.298855,6.306484,0.073176,6.00153,0.0,0.222066,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,cudd_sift_once,0,repeat,qualified,0.193281,0.195315,0.036849,0.0,0.0,0.15519,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,cudd_sift_once,0,counts,qualified,0.169979,0.171981,0.030166,0.0,0.0,0.13877,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,cudd_sift_once,0,masks,qualified,0.288129,0.290483,0.033583,0.0,0.0,0.253324,False,
