profile,placement,failure_law,repetition,method,actual_shared_learner_request_file_bytes,actual_health_input_bytes,minimal_endpoint_request_projection_bytes,learner_request_rows,health_ticks,trace_input_bytes_for_model,shared_parse_seconds_measured,shared_stability_episode_age_construction_seconds,method_fit_or_estimation_seconds,deployment_routing_knowledge_required,shared_acquisition_cost_recorded_separately,isolated_endpoint_io_time_measured
opentelemetry_demo,colocated,N,5,learner_state_only,937006,165692,,3840,901,0,0.0685563349999967,0.18732187499999498,0.056273723000003883,True,True,False
opentelemetry_demo,colocated,N,5,temporal_logit_lower,937006,165692,,3840,901,0,0.0685563349999967,0.18732187499999498,0.1873497210000039,True,True,False
opentelemetry_demo,colocated,N,5,temporal_logit_midpoint,937006,165692,,3840,901,0,0.0685563349999967,0.18732187499999498,0.17122898499999906,True,True,False
opentelemetry_demo,colocated,N,5,temporal_logit_upper,937006,165692,,3840,901,0,0.0685563349999967,0.18732187499999498,0.23165072999999836,True,True,False
opentelemetry_demo,colocated,N,5,source_500ms_failover,937006,165692,,3840,901,0,0.0685563349999967,0.18732187499999498,0.00016188399999350622,True,True,False
opentelemetry_demo,colocated,N,5,matched_stable_endpoint,937006,165692,,3840,901,0,0.0685563349999967,0.18732187499999498,3.36210000000392e-05,False,True,False
opentelemetry_demo,colocated,N,5,all_calibration_endpoint,937006,0,31465,1200,0,0,0.0685563349999967,0,0.0006144370000100707,False,True,False
opentelemetry_demo,colocated,N,6,learner_state_only,937013,165062,,3840,900,0,0.10210561299999199,0.186170410999992,0.06746615000000133,True,True,False
opentelemetry_demo,colocated,N,6,temporal_logit_lower,937013,165062,,3840,900,0,0.10210561299999199,0.186170410999992,0.309691763999993,True,True,False
opentelemetry_demo,colocated,N,6,temporal_logit_midpoint,937013,165062,,3840,900,0,0.10210561299999199,0.186170410999992,0.28148484199999757,True,True,False
opentelemetry_demo,colocated,N,6,temporal_logit_upper,937013,165062,,3840,900,0,0.10210561299999199,0.186170410999992,0.37218844199999523,True,True,False
opentelemetry_demo,colocated,N,6,source_500ms_failover,937013,165062,,3840,900,0,0.10210561299999199,0.186170410999992,0.0001812529999938306,True,True,False
opentelemetry_demo,colocated,N,6,matched_stable_endpoint,937013,165062,,3840,900,0,0.10210561299999199,0.186170410999992,3.420199999482065e-05,False,True,False
opentelemetry_demo,colocated,N,6,all_calibration_endpoint,937013,0,31559,1200,0,0,0.10210561299999199,0,0.000618684000002645,False,True,False
opentelemetry_demo,colocated,N,7,learner_state_only,937013,165171,,3840,900,0,0.07258926000000088,0.19323398999999597,0.062166873999998984,True,True,False
opentelemetry_demo,colocated,N,7,temporal_logit_lower,937013,165171,,3840,900,0,0.07258926000000088,0.19323398999999597,0.23084516000000121,True,True,False
opentelemetry_demo,colocated,N,7,temporal_logit_midpoint,937013,165171,,3840,900,0,0.07258926000000088,0.19323398999999597,0.21580457599999647,True,True,False
opentelemetry_demo,colocated,N,7,temporal_logit_upper,937013,165171,,3840,900,0,0.07258926000000088,0.19323398999999597,0.19527046599999665,True,True,False
opentelemetry_demo,colocated,N,7,source_500ms_failover,937013,165171,,3840,900,0,0.07258926000000088,0.19323398999999597,0.00017049699999915902,True,True,False
opentelemetry_demo,colocated,N,7,matched_stable_endpoint,937013,165171,,3840,900,0,0.07258926000000088,0.19323398999999597,5.185899999560206e-05,False,True,False
opentelemetry_demo,colocated,N,7,all_calibration_endpoint,937013,0,31489,1200,0,0,0.07258926000000088,0,0.000593926999997052,False,True,False
opentelemetry_demo,colocated,N,8,learner_state_only,937013,165288,,3840,900,0,0.07294870600000536,0.19645846999999605,0.07296382999999196,True,True,False
opentelemetry_demo,colocated,N,8,temporal_logit_lower,937013,165288,,3840,900,0,0.07294870600000536,0.19645846999999605,0.2231192129999897,True,True,False
opentelemetry_demo,colocated,N,8,temporal_logit_midpoint,937013,165288,,3840,900,0,0.07294870600000536,0.19645846999999605,0.23638625300000626,True,True,False
