campaign_id,job_role,attempt_id,case_id,qualified,elapsed_seconds,startup_seconds,internal_watchdog_seconds,exit_code,started_at,finished_at,jar_sha256
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,pmx,1,campaign-130530d3914626352e55--compose_post,True,27.74391222300001,20,1800,0,2026-09-10T10:03:54.388226+00:00,2026-09-10T10:04:22.132138+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,pmx,1,campaign-130530d3914626352e55--read_home_timeline,True,22.833454835999987,20,1800,0,2026-09-10T10:04:22.419101+00:00,2026-09-10T10:04:45.252556+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-preflight-771605/deathstarbench_social_network/colocated/NCD/0,pmx,1,campaign-130530d3914626352e55--read_user_timeline,True,22.481335828,20,1800,0,2026-09-10T10:04:45.410681+00:00,2026-09-10T10:05:07.892018+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,pmx,1,campaign-333deda1819d98533f77--compose_post,True,26.694124957000014,20,1800,0,2026-09-10T10:04:36.573467+00:00,2026-09-10T10:05:03.267591+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,pmx,1,campaign-333deda1819d98533f77--read_home_timeline,True,22.882096523,20,1800,0,2026-09-10T10:05:03.604020+00:00,2026-09-10T10:05:26.486116+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-preflight-771605/deathstarbench_social_network/split/NCD/0,pmx,1,campaign-333deda1819d98533f77--read_user_timeline,True,22.931657763999993,20,1800,0,2026-09-10T10:05:26.669115+00:00,2026-09-10T10:05:49.600773+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,pmx,1,campaign-c51bfb8bf19fd99bb061--add_to_cart,True,27.30720109500001,20,1800,0,2026-09-10T10:04:14.382507+00:00,2026-09-10T10:04:41.689706+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,pmx,1,campaign-c51bfb8bf19fd99bb061--browse_product,True,23.738744114,20,1800,0,2026-09-10T10:04:42.053095+00:00,2026-09-10T10:05:05.791839+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-preflight-771605/opentelemetry_demo/colocated/NCD/0,pmx,1,campaign-c51bfb8bf19fd99bb061--checkout,True,35.28636578000001,20,1800,0,2026-09-10T10:05:06.070320+00:00,2026-09-10T10:05:41.356686+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-preflight-771605/opentelemetry_demo/split/NCD/0,pmx,1,campaign-359ffa201dfd7057d942--add_to_cart,True,26.04603610700002,20,1800,0,2026-09-10T10:04:11.984063+00:00,2026-09-10T10:04:38.030099+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-preflight-771605/opentelemetry_demo/split/NCD/0,pmx,1,campaign-359ffa201dfd7057d942--browse_product,True,23.38447144600002,20,1800,0,2026-09-10T10:04:38.275728+00:00,2026-09-10T10:05:01.660200+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-preflight-771605/opentelemetry_demo/split/NCD/0,pmx,1,campaign-359ffa201dfd7057d942--checkout,True,32.06608924599999,20,1800,0,2026-09-10T10:05:01.927085+00:00,2026-09-10T10:05:33.993174+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-preflight-771605/spring_petclinic_microservices/colocated/NCD/0,pmx,1,campaign-7739060435df49e7c2f2--create_visit,True,23.276474506,20,1800,0,2026-09-10T10:03:53.035125+00:00,2026-09-10T10:04:16.311599+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-preflight-771605/spring_petclinic_microservices/colocated/NCD/0,pmx,1,campaign-7739060435df49e7c2f2--list_owners,True,25.296467921,20,1800,0,2026-09-10T10:04:16.490543+00:00,2026-09-10T10:04:41.787011+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-preflight-771605/spring_petclinic_microservices/colocated/NCD/0,pmx,1,campaign-7739060435df49e7c2f2--list_vets,True,22.47854600699999,20,1800,0,2026-09-10T10:04:42.021806+00:00,2026-09-10T10:05:04.500352+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-preflight-771605/spring_petclinic_microservices/colocated/NCD/0,pmx,1,campaign-7739060435df49e7c2f2--owner_details_with_visits,True,22.93319617999998,20,1800,0,2026-09-10T10:05:04.636997+00:00,2026-09-10T10:05:27.570194+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-preflight-771605/spring_petclinic_microservices/split/NCD/0,pmx,1,campaign-001054cf3308a797b3e3--create_visit,True,23.431215551000008,20,1800,0,2026-09-10T10:03:59.251805+00:00,2026-09-10T10:04:22.683020+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-preflight-771605/spring_petclinic_microservices/split/NCD/0,pmx,1,campaign-001054cf3308a797b3e3--list_owners,True,25.59736239,20,1800,0,2026-09-10T10:04:22.860606+00:00,2026-09-10T10:04:48.457969+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-preflight-771605/spring_petclinic_microservices/split/NCD/0,pmx,1,campaign-001054cf3308a797b3e3--list_vets,True,22.628762918000007,20,1800,0,2026-09-10T10:04:48.695383+00:00,2026-09-10T10:05:11.324147+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-preflight-771605/spring_petclinic_microservices/split/NCD/0,pmx,1,campaign-001054cf3308a797b3e3--owner_details_with_visits,True,23.132564099999996,20,1800,0,2026-09-10T10:05:11.459540+00:00,2026-09-10T10:05:34.592105+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
