application,placement,law,repetition,operation,affected_attempts,ambiguities_resolved,ambiguous_attempts,attempts,compatible_fraction,failure_excluded,fully_observed_states,hidden_native_coordinates,identified_lower,identified_upper,information,known_native_coordinates,lower_count,mechanism,missing_fraction_requested,partially_masked_attempts,point_identified_attempts,point_identified_fraction,revealed_attempts,revealed_native_coordinates,success_excluded,successes,upper_count,whole_attempt_boundary_partial_row,width
deathstarbench_social_network,split,N,0,compose_post,1199,0,1139,1200,1.0,0,0,13444,0.0,0.9491666666666667,entry_result,17926,0,uniform_coordinates,0.75,1187,61,0.050833333333333335,905,905,0,1139,1139,False,0.9491666666666667
deathstarbench_social_network,split,N,0,compose_post,1199,4,1135,1200,1.0,0,0,13444,0.0033333333333333335,0.9491666666666667,required_completions,17926,4,uniform_coordinates,0.75,1187,65,0.05416666666666667,1199,9865,0,1139,1139,False,0.9458333333333333
deathstarbench_social_network,split,N,0,compose_post,1199,1139,0,1200,1.0,0,0,13444,0.9491666666666667,0.9491666666666667,all_native,17926,1139,uniform_coordinates,0.75,1187,1200,1.0,1199,13444,0,1139,1139,False,0.0
deathstarbench_social_network,split,N,0,compose_post,1200,0,1140,1200,1.0,0,0,17926,0.0,0.95,none,17926,0,uniform_coordinates,1,0,60,0.05,0,0,0,1139,1140,False,0.95
deathstarbench_social_network,split,N,0,compose_post,1200,0,1140,1200,1.0,0,0,17926,0.0,0.95,selection_and_admission,17926,0,uniform_coordinates,1,0,60,0.05,1199,3537,0,1139,1140,False,0.95
deathstarbench_social_network,split,N,0,compose_post,1200,1,1139,1200,1.0,0,0,17926,0.0,0.9491666666666667,entry_result,17926,0,uniform_coordinates,1,0,61,0.050833333333333335,1200,1200,0,1139,1139,False,0.9491666666666667
deathstarbench_social_network,split,N,0,compose_post,1200,0,1140,1200,1.0,0,0,17926,0.0,0.95,required_completions,17926,0,uniform_coordinates,1,0,60,0.05,1199,13189,0,1139,1140,False,0.95
deathstarbench_social_network,split,N,0,compose_post,1200,1140,0,1200,1.0,0,0,17926,0.9491666666666667,0.9491666666666667,all_native,17926,1139,uniform_coordinates,1,0,1200,1.0,1200,17926,0,1139,1139,False,0.0
deathstarbench_social_network,split,N,0,compose_post,0,0,0,1200,1.0,0,0,0,0.9491666666666667,0.9491666666666667,none,17926,1139,failure_associated_coordinates,0,0,1200,1.0,0,0,0,1139,1139,False,0.0
deathstarbench_social_network,split,N,0,compose_post,0,0,0,1200,1.0,0,0,0,0.9491666666666667,0.9491666666666667,selection_and_admission,17926,1139,failure_associated_coordinates,0,0,1200,1.0,0,0,0,1139,1139,False,0.0
deathstarbench_social_network,split,N,0,compose_post,0,0,0,1200,1.0,0,0,0,0.9491666666666667,0.9491666666666667,entry_result,17926,1139,failure_associated_coordinates,0,0,1200,1.0,0,0,0,1139,1139,False,0.0
deathstarbench_social_network,split,N,0,compose_post,0,0,0,1200,1.0,0,0,0,0.9491666666666667,0.9491666666666667,required_completions,17926,1139,failure_associated_coordinates,0,0,1200,1.0,0,0,0,1139,1139,False,0.0
deathstarbench_social_network,split,N,0,compose_post,0,0,0,1200,1.0,0,0,0,0.9491666666666667,0.9491666666666667,all_native,17926,1139,failure_associated_coordinates,0,0,1200,1.0,0,0,0,1139,1139,False,0.0
deathstarbench_social_network,split,N,0,compose_post,905,0,846,1200,1.0,0,0,1792,0.24416666666666667,0.9491666666666667,none,17926,293,failure_associated_coordinates,0.1,905,354,0.295,0,0,0,1139,1139,False,0.705
deathstarbench_social_network,split,N,0,compose_post,905,98,748,1200,1.0,0,0,1792,0.3258333333333333,0.9491666666666667,selection_and_admission,17926,391,failure_associated_coordinates,0.1,905,452,0.37666666666666665,320,355,0,1139,1139,False,0.6233333333333333
deathstarbench_social_network,split,N,0,compose_post,905,27,819,1200,1.0,0,0,1792,0.26666666666666666,0.9491666666666667,entry_result,17926,320,failure_associated_coordinates,0.1,905,381,0.3175,109,109,0,1139,1139,False,0.6825
deathstarbench_social_network,split,N,0,compose_post,905,497,349,1200,1.0,0,0,1792,0.6583333333333333,0.9491666666666667,required_completions,17926,790,failure_associated_coordinates,0.1,905,851,0.7091666666666666,772,1328,0,1139,1139,False,0.29083333333333333
deathstarbench_social_network,split,N,0,compose_post,905,846,0,1200,1.0,0,0,1792,0.9491666666666667,0.9491666666666667,all_native,17926,1139,failure_associated_coordinates,0.1,905,1200,1.0,905,1792,0,1139,1139,False,0.0
