application,mechanism,missing_fraction_requested,information,operation_cases,attempts,successes,lower_count,upper_count,ambiguous_attempts,point_identified_attempts,success_excluded,failure_excluded,fully_observed_states,known_native_coordinates,hidden_native_coordinates,affected_attempts,revealed_native_coordinates,revealed_attempts,ambiguities_resolved,identified_lower,identified_upper,width,point_identified_fraction,compatible_fraction
deathstarbench_social_network,failure_associated_coordinates,0.75,selection_and_admission,15,18000,17193,185,17214,17029,971,0,0,118,143444,107580,17881,20287,9074,66,0.010277777777777778,0.9563333333333334,0.9460555555555555,0.05394444444444445,1.0
deathstarbench_social_network,failure_associated_coordinates,0.75,entry_result,15,18000,17193,464,17193,16729,1271,0,0,462,143444,107580,17881,13703,13703,366,0.025777777777777778,0.9551666666666667,0.9293888888888889,0.07061111111111111,1.0
deathstarbench_social_network,failure_associated_coordinates,0.75,required_completions,15,18000,17193,1775,17214,15439,2561,0,0,1738,143444,107580,17881,73590,17196,1656,0.09861111111111111,0.9563333333333334,0.8577222222222223,0.14227777777777778,1.0
deathstarbench_social_network,failure_associated_coordinates,0.75,all_native,15,18000,17193,15811,17193,1382,16618,0,0,7200,143444,107580,17881,107580,17881,15713,0.8783888888888889,0.9551666666666667,0.07677777777777778,0.9232222222222223,1.0
deathstarbench_social_network,failure_associated_coordinates,1,none,15,18000,17193,0,17214,17214,786,0,0,0,143444,143444,18000,0,0,0,0.0,0.9563333333333334,0.9563333333333334,0.043666666666666666,1.0
deathstarbench_social_network,failure_associated_coordinates,1,selection_and_admission,15,18000,17193,0,17214,17214,786,0,0,0,143444,143444,18000,27090,9237,0,0.0,0.9563333333333334,0.9563333333333334,0.043666666666666666,1.0
deathstarbench_social_network,failure_associated_coordinates,1,entry_result,15,18000,17193,0,17193,17193,807,0,0,0,143444,143444,18000,18000,18000,21,0.0,0.9551666666666667,0.9551666666666667,0.044833333333333336,1.0
deathstarbench_social_network,failure_associated_coordinates,1,required_completions,15,18000,17193,0,17214,17214,786,0,0,0,143444,143444,18000,98354,17915,0,0.0,0.9563333333333334,0.9563333333333334,0.043666666666666666,1.0
deathstarbench_social_network,failure_associated_coordinates,1,all_native,15,18000,17193,15811,17193,1382,16618,0,0,7200,143444,143444,18000,143444,18000,15832,0.8783888888888889,0.9551666666666667,0.07677777777777778,0.9232222222222223,1.0
deathstarbench_social_network,whole_native_attempt,0,none,15,18000,17193,15811,17193,1382,16618,0,0,7200,143444,0,0,0,0,0,0.8783888888888889,0.9551666666666667,0.07677777777777778,0.9232222222222223,1.0
deathstarbench_social_network,whole_native_attempt,0,selection_and_admission,15,18000,17193,15811,17193,1382,16618,0,0,7200,143444,0,0,0,0,0,0.8783888888888889,0.9551666666666667,0.07677777777777778,0.9232222222222223,1.0
deathstarbench_social_network,whole_native_attempt,0,entry_result,15,18000,17193,15811,17193,1382,16618,0,0,7200,143444,0,0,0,0,0,0.8783888888888889,0.9551666666666667,0.07677777777777778,0.9232222222222223,1.0
deathstarbench_social_network,whole_native_attempt,0,required_completions,15,18000,17193,15811,17193,1382,16618,0,0,7200,143444,0,0,0,0,0,0.8783888888888889,0.9551666666666667,0.07677777777777778,0.9232222222222223,1.0
deathstarbench_social_network,whole_native_attempt,0,all_native,15,18000,17193,15811,17193,1382,16618,0,0,7200,143444,0,0,0,0,0,0.8783888888888889,0.9551666666666667,0.07677777777777778,0.9232222222222223,1.0
deathstarbench_social_network,whole_native_attempt,0.1,none,15,18000,17193,14219,17194,2975,15025,0,0,6480,143444,14339,1802,0,0,0,0.7899444444444444,0.9552222222222222,0.16527777777777777,0.8347222222222223,1.0
deathstarbench_social_network,whole_native_attempt,0.1,selection_and_admission,15,18000,17193,14219,17194,2975,15025,0,0,6480,143444,14339,1802,2717,926,0,0.7899444444444444,0.9552222222222222,0.16527777777777777,0.8347222222222223,1.0
deathstarbench_social_network,whole_native_attempt,0.1,entry_result,15,18000,17193,14219,17193,2974,15026,0,0,6480,143444,14339,1802,1797,1797,1,0.7899444444444444,0.9551666666666667,0.16522222222222221,0.8347777777777777,1.0
deathstarbench_social_network,whole_native_attempt,0.1,required_completions,15,18000,17193,14219,17194,2975,15025,0,0,6480,143444,14339,1802,9825,1793,0,0.7899444444444444,0.9552222222222222,0.16527777777777777,0.8347222222222223,1.0
deathstarbench_social_network,whole_native_attempt,0.1,all_native,15,18000,17193,15811,17193,1382,16618,0,0,7200,143444,14339,1802,14339,1802,1593,0.8783888888888889,0.9551666666666667,0.07677777777777778,0.9232222222222223,1.0
deathstarbench_social_network,whole_native_attempt,0.25,none,15,18000,17193,11854,17196,5342,12658,0,0,5400,143444,35857,4503,0,0,0,0.6585555555555556,0.9553333333333334,0.29677777777777775,0.7032222222222222,1.0
deathstarbench_social_network,whole_native_attempt,0.25,selection_and_admission,15,18000,17193,11854,17196,5342,12658,0,0,5400,143444,35857,4503,6781,2315,0,0.6585555555555556,0.9553333333333334,0.29677777777777775,0.7032222222222222,1.0
deathstarbench_social_network,whole_native_attempt,0.25,entry_result,15,18000,17193,11854,17193,5339,12661,0,0,5400,143444,35857,4503,4501,4501,3,0.6585555555555556,0.9551666666666667,0.2966111111111111,0.7033888888888888,1.0
deathstarbench_social_network,whole_native_attempt,0.25,required_completions,15,18000,17193,11855,17196,5341,12659,0,0,5400,143444,35857,4503,24575,4481,1,0.6586111111111111,0.9553333333333334,0.2967222222222222,0.7032777777777778,1.0
deathstarbench_social_network,whole_native_attempt,0.25,all_native,15,18000,17193,15811,17193,1382,16618,0,0,7200,143444,35857,4503,35857,4503,3960,0.8783888888888889,0.9551666666666667,0.07677777777777778,0.9232222222222223,1.0
deathstarbench_social_network,whole_native_attempt,0.5,none,15,18000,17193,7919,17200,9281,8719,0,0,3600,143444,71720,9008,0,0,0,0.43994444444444447,0.9555555555555556,0.5156111111111111,0.48438888888888887,1.0
