application,status,reason,cells
deathstarbench_social_network,ok,,186
deathstarbench_social_network,unsupported,not_point_identified_under_declared_observation_law,15
deathstarbench_social_network,unsupported,unexplained native parent boundary,39
opentelemetry_demo,ok,,135
opentelemetry_demo,unsupported,not_point_identified_under_declared_observation_law,105
spring_petclinic_microservices,ok,,320
