application,repetition,multiplier,route,target,status,position,order,attempts,native_span_records,first_answer_seconds,first_cpu_seconds,first_peak_rss_mib,internal_pipeline_seconds,first_query_seconds,frequency_identification_seconds,interpretation_seconds,projection_seconds,read_seconds,representation_seconds,save_seconds,startup_dispatch_seconds,source_files_read,models,whole_process_seconds,whole_process_resource
spring_petclinic_microservices,1,2,full_r,R,qualified,3,"[""projected_r"", ""direct_r"", ""full_e"", ""full_r""]",7200,69928,3.386385139,3.980562,373.17578125,2.5227508330000035,0.00016439600000239807,0.017839376000011953,1.6214703429977249,0.0,0.5768906530000208,0.2989955810022309,0.0007565589999956046,0.8702682310000136,"[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""create_visit"": {""categories"": 6, ""coordinates"": 8, ""samples"": 1800}, ""list_owners"": {""categories"": 1, ""coordinates"": 4, ""samples"": 1800}, ""list_vets"": {""categories"": 1, ""coordinates"": 3, ""samples"": 1800}, ""owner_details_with_visits"": {""categories"": 5, ""coordinates"": 10, ""samples"": 1800}}",3.572386709,"{""maximum_rss_bytes"": 391303168.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.19, ""user_seconds"": 3.96, ""wall_seconds"": 3.55}"
spring_petclinic_microservices,1,4,direct_r,R,qualified,0,"[""direct_r"", ""full_e"", ""full_r"", ""projected_r""]",14400,139856,5.494230082,6.120029,643.19921875,4.641033442000008,0.00013561299999764742,0.02513842799999111,2.9625959779929474,0.0,1.1707640070000025,0.47836913500708533,0.0004967160000148851,0.8567302049999608,"[""requests.json"", ""native.json"", ""declarations.json""]","{""create_visit"": {""categories"": 3, ""coordinates"": 2, ""samples"": 3600}, ""list_owners"": {""categories"": 1, ""coordinates"": 2, ""samples"": 3600}, ""list_vets"": {""categories"": 1, ""coordinates"": 2, ""samples"": 3600}, ""owner_details_with_visits"": {""categories"": 3, ""coordinates"": 2, ""samples"": 3600}}",5.777558121000027,"{""maximum_rss_bytes"": 674443264.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.31, ""user_seconds"": 6.07, ""wall_seconds"": 5.76}"
spring_petclinic_microservices,1,4,full_e,E,qualified,1,"[""direct_r"", ""full_e"", ""full_r"", ""projected_r""]",14400,139856,6.179392296,6.806516,643.27734375,5.327262565000012,0.0018736219999482273,0.03632871900001078,3.461015705005593,0.0,1.16654852100001,0.6462575719944255,0.000815821000003325,0.8665523360000087,"[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""create_visit"": {""categories"": 6, ""coordinates"": 8, ""samples"": 3600}, ""list_owners"": {""categories"": 1, ""coordinates"": 4, ""samples"": 3600}, ""list_vets"": {""categories"": 1, ""coordinates"": 3, ""samples"": 3600}, ""owner_details_with_visits"": {""categories"": 5, ""coordinates"": 10, ""samples"": 3600}}",6.5299732720000065,"{""maximum_rss_bytes"": 674525184.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.3, ""user_seconds"": 6.82, ""wall_seconds"": 6.5}"
spring_petclinic_microservices,1,4,full_r,R,qualified,2,"[""direct_r"", ""full_e"", ""full_r"", ""projected_r""]",14400,139856,6.194694781,6.815831,643.21875,5.342632407999986,0.00018665799996142596,0.03619064199995137,3.482030699003616,0.0,1.1582338300000004,0.6514023429963913,0.0007786509999903046,0.8658719580000893,"[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""create_visit"": {""categories"": 6, ""coordinates"": 8, ""samples"": 3600}, ""list_owners"": {""categories"": 1, ""coordinates"": 4, ""samples"": 3600}, ""list_vets"": {""categories"": 1, ""coordinates"": 3, ""samples"": 3600}, ""owner_details_with_visits"": {""categories"": 5, ""coordinates"": 10, ""samples"": 3600}}",6.479495935000017,"{""maximum_rss_bytes"": 674463744.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.29, ""user_seconds"": 6.78, ""wall_seconds"": 6.46}"
spring_petclinic_microservices,1,4,projected_r,R,qualified,3,"[""direct_r"", ""full_e"", ""full_r"", ""projected_r""]",14400,139856,6.222751396,6.852774999999999,643.0703125,5.359413553999985,0.00012598500001104185,0.03474020099997688,3.5023444989986956,0.0001940909999689211,1.1580079480000052,0.6488355150013376,0.00047519499997861203,0.8780279620000258,"[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""create_visit"": {""categories"": 3, ""coordinates"": 2, ""samples"": 3600}, ""list_owners"": {""categories"": 1, ""coordinates"": 2, ""samples"": 3600}, ""list_vets"": {""categories"": 1, ""coordinates"": 2, ""samples"": 3600}, ""owner_details_with_visits"": {""categories"": 3, ""coordinates"": 2, ""samples"": 3600}}",6.528900953000004,"{""maximum_rss_bytes"": 674308096.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.31, ""user_seconds"": 6.81, ""wall_seconds"": 6.5}"
spring_petclinic_microservices,1,1,full_r,R,qualified,0,"[""full_r"", ""projected_r"", ""direct_r"", ""full_e""]",3600,34964,2.032956788,2.6453889999999998,238.77734375,1.1691708840000103,0.00015735200000221994,0.009318952999961994,0.7339492289994496,0.0,0.2841141929999935,0.1377665140005888,0.0007848920000128601,0.8668656549999909,"[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""create_visit"": {""categories"": 6, ""coordinates"": 8, ""samples"": 900}, ""list_owners"": {""categories"": 1, ""coordinates"": 4, ""samples"": 900}, ""list_vets"": {""categories"": 1, ""coordinates"": 3, ""samples"": 900}, ""owner_details_with_visits"": {""categories"": 5, ""coordinates"": 10, ""samples"": 900}}",2.1687250439999843,"{""maximum_rss_bytes"": 250376192.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.14, ""user_seconds"": 2.62, ""wall_seconds"": 2.15}"
spring_petclinic_microservices,1,1,projected_r,R,qualified,1,"[""full_r"", ""projected_r"", ""direct_r"", ""full_e""]",3600,34964,2.026203733,2.65868,238.48828125,1.1725877469999944,0.0001067690000127186,0.009215490000002546,0.7454520360003869,0.0001460130000339177,0.27975560900000573,0.13457192899963388,0.00044520999998098887,0.8565106769999433,"[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""create_visit"": {""categories"": 3, ""coordinates"": 2, ""samples"": 900}, ""list_owners"": {""categories"": 1, ""coordinates"": 2, ""samples"": 900}, ""list_vets"": {""categories"": 1, ""coordinates"": 2, ""samples"": 900}, ""owner_details_with_visits"": {""categories"": 3, ""coordinates"": 2, ""samples"": 900}}",2.168885042999989,"{""maximum_rss_bytes"": 250073088.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.13, ""user_seconds"": 2.64, ""wall_seconds"": 2.14}"
spring_petclinic_microservices,1,1,direct_r,R,qualified,2,"[""full_r"", ""projected_r"", ""direct_r"", ""full_e""]",3600,34964,1.908090477,2.541214,238.421875,1.0560884090000116,0.00010996399998930428,0.006323643999991191,0.7015711179990376,0.0,0.2807410080000068,0.06634195900090845,0.00043330700000865363,0.852569477000058,"[""requests.json"", ""native.json"", ""declarations.json""]","{""create_visit"": {""categories"": 3, ""coordinates"": 2, ""samples"": 900}, ""list_owners"": {""categories"": 1, ""coordinates"": 2, ""samples"": 900}, ""list_vets"": {""categories"": 1, ""coordinates"": 2, ""samples"": 900}, ""owner_details_with_visits"": {""categories"": 3, ""coordinates"": 2, ""samples"": 900}}",2.069532195999983,"{""maximum_rss_bytes"": 250003456.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.12, ""user_seconds"": 2.54, ""wall_seconds"": 2.03}"
spring_petclinic_microservices,1,1,full_e,E,qualified,3,"[""full_r"", ""projected_r"", ""direct_r"", ""full_e""]",3600,34964,2.034610227,2.654111,238.52734375,1.1849331679999864,0.0018129070000156844,0.009497640999995838,0.7491963879992056,0.0,0.2828800890000025,0.13793231700077513,0.0007283369999981915,0.852562548000007,"[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""create_visit"": {""categories"": 6, ""coordinates"": 8, ""samples"": 900}, ""list_owners"": {""categories"": 1, ""coordinates"": 4, ""samples"": 900}, ""list_vets"": {""categories"": 1, ""coordinates"": 3, ""samples"": 900}, ""owner_details_with_visits"": {""categories"": 5, ""coordinates"": 10, ""samples"": 900}}",2.219415390999984,"{""maximum_rss_bytes"": 250114048.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.12, ""user_seconds"": 2.69, ""wall_seconds"": 2.2}"
spring_petclinic_microservices,2,4,full_e,E,qualified,0,"[""full_e"", ""full_r"", ""projected_r"", ""direct_r""]",14400,139856,6.168007015,6.751987,642.80859375,5.301381913,0.00193109800000002,0.03562776600000461,3.460044775995925,0.0,1.1567585310000084,0.6317828450040395,0.0008069739999996273,0.8810550250000224,"[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""create_visit"": {""categories"": 6, ""coordinates"": 8, ""samples"": 3600}, ""list_owners"": {""categories"": 1, ""coordinates"": 4, ""samples"": 3600}, ""list_vets"": {""categories"": 1, ""coordinates"": 3, ""samples"": 3600}, ""owner_details_with_visits"": {""categories"": 5, ""coordinates"": 10, ""samples"": 3600}}",6.52790619000001,"{""maximum_rss_bytes"": 674033664.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.31, ""user_seconds"": 6.76, ""wall_seconds"": 6.49}"
