application,repetition,multiplier,route,target,calls,first_query_seconds,frequency_identification_seconds,interpretation_seconds,operation,projection_seconds,representation_seconds,total_identification_seconds,categories,coordinates,samples
deathstarbench_social_network,0,2,direct_r,R,"{""logical_completion"": 26400, ""reduced_category_identification"": 1, ""request_evidence"": 2400}",4.037499991227378e-05,0.006760847000009562,0.9985608689991068,compose_post,0.0,0.21252256100092382,1.2178442770000402,3,2,2400
deathstarbench_social_network,0,2,direct_r,R,"{""logical_completion"": 4800, ""reduced_category_identification"": 1, ""request_evidence"": 2400}",3.2169000064641295e-05,0.0038738169999987804,0.35775939199231743,read_home_timeline,0.0,0.033445110007619405,0.3950783189999356,1,2,2400
deathstarbench_social_network,0,2,direct_r,R,"{""logical_completion"": 4800, ""reduced_category_identification"": 1, ""request_evidence"": 2400}",3.074000005653943e-05,0.0038718800000197007,0.2245863550027707,read_user_timeline,0.0,0.03365412599725914,0.26211236100004953,2,2,2400
deathstarbench_social_network,0,2,full_e,E,"{""align_probe"": 2400, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 26400, ""native_admissions"": 2400, ""request_evidence"": 2400, ""timestamp_ns"": 1800}",0.0013137199999846416,0.009524398999928962,1.040437843994141,compose_post,0.0,0.2625187980058854,1.3124810409999554,5,17,2400
deathstarbench_social_network,0,2,full_e,E,"{""align_probe"": 2400, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 4800, ""request_evidence"": 2400, ""timestamp_ns"": 1800}",7.600799995088892e-05,0.004529393999973763,0.37099852299422764,read_home_timeline,0.0,0.04911872000582207,0.4246466370000235,1,4,2400
deathstarbench_social_network,0,2,full_e,E,"{""align_probe"": 2400, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 4800, ""native_admissions"": 2400, ""request_evidence"": 2400, ""timestamp_ns"": 1800}",0.0002370629999859375,0.006089781000014227,0.2739154540004165,read_user_timeline,0.0,0.06273416799956522,0.34273940299999595,4,8,2400
deathstarbench_social_network,0,4,projected_r,R,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 52800, ""native_admissions"": 4800, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",4.7067000082279264e-05,0.018423812000037287,2.345860912003559,compose_post,0.00027830599992739735,0.5545190249963525,2.9188037489999488,3,2,4800
deathstarbench_social_network,0,4,projected_r,R,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 9600, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",2.9119000032551412e-05,0.00888332099998479,0.4648878079893848,read_home_timeline,4.050999996252358e-05,0.09950612201055264,0.5732772509999222,1,2,4800
deathstarbench_social_network,0,4,projected_r,R,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 9600, ""native_admissions"": 4800, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",2.5398000047971436e-05,0.011811968999950295,0.8256864929988978,read_user_timeline,5.428600002232997e-05,0.1273851110012174,0.9648835730000656,2,2,4800
deathstarbench_social_network,0,4,direct_r,R,"{""logical_completion"": 52800, ""reduced_category_identification"": 1, ""request_evidence"": 4800}",4.253700001299876e-05,0.013604073999999855,2.2719931900177244,compose_post,0.0,0.45360265598230853,2.7391999200000328,3,2,4800
deathstarbench_social_network,0,4,direct_r,R,"{""logical_completion"": 9600, ""reduced_category_identification"": 1, ""request_evidence"": 4800}",3.3537000035721576e-05,0.0077578110000331435,0.44238510399929964,read_home_timeline,0.0,0.07080983900073079,0.5209527540000636,1,2,4800
deathstarbench_social_network,0,4,direct_r,R,"{""logical_completion"": 9600, ""reduced_category_identification"": 1, ""request_evidence"": 4800}",3.4916999993583886e-05,0.007532471999979862,0.45965815200133875,read_user_timeline,0.0,0.07001750899871695,0.5372081330000356,2,2,4800
deathstarbench_social_network,0,4,full_e,E,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 52800, ""native_admissions"": 4800, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",0.001293283999984851,0.018740356000080283,2.36304411998492,compose_post,0.0,0.5493884480150655,2.931172924000066,5,17,4800
deathstarbench_social_network,0,4,full_e,E,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 9600, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",7.931400000416033e-05,0.008892366000054608,0.4622163879906793,read_home_timeline,0.0,0.09772152500920583,0.5688302789999398,1,4,4800
deathstarbench_social_network,0,4,full_e,E,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 9600, ""native_admissions"": 4800, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",0.0002649629999496028,0.011927281999987827,0.8138754269891706,read_user_timeline,0.0,0.1267478820108181,0.9525505909999765,4,8,4800
deathstarbench_social_network,0,4,full_r,R,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 52800, ""native_admissions"": 4800, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",8.171000001766515e-05,0.01832814400006555,2.3681796309880383,compose_post,0.0,0.5527109810119555,2.9392187560000593,5,17,4800
deathstarbench_social_network,0,4,full_r,R,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 9600, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",4.4617999947149656e-05,0.009132705000070018,0.462618606996557,read_home_timeline,0.0,0.09876855500340298,0.57051986700003,1,4,4800
deathstarbench_social_network,0,4,full_r,R,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 9600, ""native_admissions"": 4800, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",4.875299998730043e-05,0.011780344000044352,0.8231319560040902,read_user_timeline,0.0,0.1287481929958858,0.9636604930000203,4,8,4800
deathstarbench_social_network,1,2,projected_r,R,"{""align_probe"": 2400, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 26400, ""native_admissions"": 2400, ""request_evidence"": 2400, ""timestamp_ns"": 1800}",4.338400003689458e-05,0.009301024000023972,1.0421990849968097,compose_post,7.172499999796855e-05,0.2618097780032258,1.3133098870000595,3,2,2400
deathstarbench_social_network,1,2,projected_r,R,"{""align_probe"": 2400, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 4800, ""request_evidence"": 2400, ""timestamp_ns"": 1800}",2.8274999976929394e-05,0.004357118000029914,0.23067178600433635,read_home_timeline,3.59030000254279e-05,0.18414873599556358,0.41917763999992985,1,2,2400
deathstarbench_social_network,1,2,projected_r,R,"{""align_probe"": 2400, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 4800, ""native_admissions"": 2400, ""request_evidence"": 2400, ""timestamp_ns"": 1800}",2.7006999971490586e-05,0.007793894999963413,0.27299522400232945,read_user_timeline,4.285900001832488e-05,0.06245490399771825,0.3432440230000111,2,2,2400
deathstarbench_social_network,1,2,direct_r,R,"{""logical_completion"": 26400, ""reduced_category_identification"": 1, ""request_evidence"": 2400}",4.6716999918317015e-05,0.00693280199993751,0.9843309669951168,compose_post,0.0,0.21278584000492629,1.2040496089999806,3,2,2400
deathstarbench_social_network,1,2,direct_r,R,"{""logical_completion"": 4800, ""reduced_category_identification"": 1, ""request_evidence"": 2400}",3.281800002241653e-05,0.003862036999976226,0.3506868680116213,read_home_timeline,0.0,0.03333954598838318,0.3878884509999807,1,2,2400
deathstarbench_social_network,1,2,direct_r,R,"{""logical_completion"": 4800, ""reduced_category_identification"": 1, ""request_evidence"": 2400}",3.235500003029301e-05,0.003803979000053914,0.22460055000146895,read_user_timeline,0.0,0.033559013998456066,0.2619635429999789,2,2,2400
deathstarbench_social_network,1,2,full_e,E,"{""align_probe"": 2400, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 26400, ""native_admissions"": 2400, ""request_evidence"": 2400, ""timestamp_ns"": 1800}",0.0012994530000014493,0.009420109000075172,1.044937722007603,compose_post,0.0,0.2529200059923369,1.307277837000015,5,17,2400
deathstarbench_social_network,1,2,full_e,E,"{""align_probe"": 2400, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 4800, ""request_evidence"": 2400, ""timestamp_ns"": 1800}",7.876199993006594e-05,0.004572743000039736,0.23001489500416028,read_home_timeline,0.0,0.18881539699589212,0.42340303500009213,1,4,2400
deathstarbench_social_network,1,2,full_e,E,"{""align_probe"": 2400, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 4800, ""native_admissions"": 2400, ""request_evidence"": 2400, ""timestamp_ns"": 1800}",0.0002329879999933837,0.007443010999963917,0.27237321799498204,read_user_timeline,0.0,0.06217285500508751,0.34198908400003347,4,8,2400
deathstarbench_social_network,1,2,full_r,R,"{""align_probe"": 2400, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 26400, ""native_admissions"": 2400, ""request_evidence"": 2400, ""timestamp_ns"": 1800}",7.569399997464643e-05,0.009531280999908631,1.0374401689942943,compose_post,0.0,0.2620551000057958,1.3090265499999987,5,17,2400
deathstarbench_social_network,1,2,full_r,R,"{""align_probe"": 2400, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 4800, ""request_evidence"": 2400, ""timestamp_ns"": 1800}",4.113900001811999e-05,0.004608556999983193,0.22893895500806138,read_home_timeline,0.0,0.18475825699192683,0.4183057689999714,1,4,2400
deathstarbench_social_network,1,2,full_r,R,"{""align_probe"": 2400, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 4800, ""native_admissions"": 2400, ""request_evidence"": 2400, ""timestamp_ns"": 1800}",4.57510000160255e-05,0.007514251999964472,0.27284642000518033,read_user_timeline,0.0,0.06239510399484516,0.34275577599998996,4,8,2400
deathstarbench_social_network,1,4,direct_r,R,"{""logical_completion"": 52800, ""reduced_category_identification"": 1, ""request_evidence"": 4800}",4.208900008961791e-05,0.013750851000054354,2.2436359460134554,compose_post,0.0,0.44996461198638826,2.707351408999898,3,2,4800
