application,multiplier,route,operation,queries,median_ns,min_ns,max_ns
spring_petclinic_microservices,1,full_r,create_visit,93,12984,12232,44323
spring_petclinic_microservices,1,full_r,list_owners,93,5640,5170,24957
spring_petclinic_microservices,1,full_r,list_vets,93,5299,4980,7674
spring_petclinic_microservices,1,full_r,owner_details_with_visits,93,13135,12483,28543
spring_petclinic_microservices,1,projected_r,create_visit,93,5821,5471,18264
spring_petclinic_microservices,1,projected_r,list_owners,93,4207,3927,8125
spring_petclinic_microservices,1,projected_r,list_vets,93,4127,3907,7103
spring_petclinic_microservices,1,projected_r,owner_details_with_visits,93,5911,5600,26699
spring_petclinic_microservices,2,direct_r,create_visit,93,5751,5370,20999
spring_petclinic_microservices,2,direct_r,list_owners,93,4218,3948,22532
spring_petclinic_microservices,2,direct_r,list_vets,93,4098,3888,6001
spring_petclinic_microservices,2,direct_r,owner_details_with_visits,93,5951,5571,26379
spring_petclinic_microservices,2,full_e,create_visit,93,698712,675349,1062951
spring_petclinic_microservices,2,full_e,list_owners,93,23604,22823,37661
spring_petclinic_microservices,2,full_e,list_vets,93,20388,19797,46617
spring_petclinic_microservices,2,full_e,owner_details_with_visits,93,792988,767882,1184628
spring_petclinic_microservices,2,full_r,create_visit,93,12604,11872,48600
spring_petclinic_microservices,2,full_r,list_owners,93,5470,5180,10359
spring_petclinic_microservices,2,full_r,list_vets,93,5169,4950,7474
spring_petclinic_microservices,2,full_r,owner_details_with_visits,93,12884,12323,33773
spring_petclinic_microservices,2,projected_r,create_visit,93,5760,5500,18234
spring_petclinic_microservices,2,projected_r,list_owners,93,4187,3967,8115
spring_petclinic_microservices,2,projected_r,list_vets,93,4108,3907,24425
spring_petclinic_microservices,2,projected_r,owner_details_with_visits,93,5891,5520,11532
spring_petclinic_microservices,4,direct_r,create_visit,93,5711,5450,37359
spring_petclinic_microservices,4,direct_r,list_owners,93,4158,3938,28774
spring_petclinic_microservices,4,direct_r,list_vets,93,4077,3907,9537
spring_petclinic_microservices,4,direct_r,owner_details_with_visits,93,5871,5601,12293
spring_petclinic_microservices,4,full_e,create_visit,93,711787,685458,800832
spring_petclinic_microservices,4,full_e,list_owners,93,23864,22592,37650
spring_petclinic_microservices,4,full_e,list_vets,93,20939,20168,37009
spring_petclinic_microservices,4,full_e,owner_details_with_visits,93,807384,775015,864702
spring_petclinic_microservices,4,full_r,create_visit,93,12694,12063,33212
spring_petclinic_microservices,4,full_r,list_owners,93,5540,5060,43201
spring_petclinic_microservices,4,full_r,list_vets,93,5239,4919,11491
spring_petclinic_microservices,4,full_r,owner_details_with_visits,93,12905,12212,20899
spring_petclinic_microservices,4,projected_r,create_visit,93,5771,5350,18405
spring_petclinic_microservices,4,projected_r,list_owners,93,4198,3887,42579
spring_petclinic_microservices,4,projected_r,list_vets,93,4087,3877,27260
spring_petclinic_microservices,4,projected_r,owner_details_with_visits,93,5861,5500,8877
