application,method,status,planned_cells,scored_cells,attempts,absolute_error_pp,signed_error_pp,brier,median_absolute_error_pp,p90_absolute_error_pp,forecast_status_counts,absence_reasons
deathstarbench_social_network,Gstar,not_estimable,240,0,0,,,,,,"{""missing"": 240}","{""acquisition_or_evaluator_unavailable"": 240}"
deathstarbench_social_network,GID,not_estimable,240,0,0,,,,,,"{""missing"": 240}","{""acquisition_or_evaluator_unavailable"": 240}"
deathstarbench_social_network,Gselected,not_estimable,240,0,0,,,,,,"{""missing"": 240}","{""acquisition_or_evaluator_unavailable"": 240}"
deathstarbench_social_network,G_without_deadline,not_estimable,240,0,0,,,,,,"{""missing"": 240}","{""acquisition_or_evaluator_unavailable"": 240}"
deathstarbench_social_network,G_without_selection,not_estimable,240,0,0,,,,,,"{""missing"": 240}","{""acquisition_or_evaluator_unavailable"": 240}"
deathstarbench_social_network,G_without_completion,not_estimable,240,0,0,,,,,,"{""missing"": 240}","{""acquisition_or_evaluator_unavailable"": 240}"
deathstarbench_social_network,G0,not_estimable,240,0,0,,,,,,"{""missing"": 240}","{""acquisition_or_evaluator_unavailable"": 240}"
deathstarbench_social_network,B0,not_estimable,240,0,0,,,,,,"{""missing"": 240}","{""acquisition_or_evaluator_unavailable"": 240}"
deathstarbench_social_network,PMX,not_estimable,240,0,0,,,,,,"{""missing"": 240}","{""acquisition_or_evaluator_unavailable"": 240}"
deathstarbench_social_network,PMX_inclusive,not_estimable,240,0,0,,,,,,"{""missing"": 240}","{""acquisition_or_evaluator_unavailable"": 240}"
opentelemetry_demo,Gstar,not_estimable,240,0,0,,,,,,"{""missing"": 240}","{""acquisition_or_evaluator_unavailable"": 240}"
opentelemetry_demo,GID,not_estimable,240,0,0,,,,,,"{""missing"": 240}","{""acquisition_or_evaluator_unavailable"": 240}"
opentelemetry_demo,Gselected,not_estimable,240,0,0,,,,,,"{""missing"": 240}","{""acquisition_or_evaluator_unavailable"": 240}"
opentelemetry_demo,G_without_deadline,not_estimable,240,0,0,,,,,,"{""missing"": 240}","{""acquisition_or_evaluator_unavailable"": 240}"
opentelemetry_demo,G_without_selection,not_estimable,240,0,0,,,,,,"{""missing"": 240}","{""acquisition_or_evaluator_unavailable"": 240}"
opentelemetry_demo,G_without_completion,not_estimable,240,0,0,,,,,,"{""missing"": 240}","{""acquisition_or_evaluator_unavailable"": 240}"
opentelemetry_demo,G0,not_estimable,240,0,0,,,,,,"{""missing"": 240}","{""acquisition_or_evaluator_unavailable"": 240}"
opentelemetry_demo,B0,not_estimable,240,0,0,,,,,,"{""missing"": 240}","{""acquisition_or_evaluator_unavailable"": 240}"
opentelemetry_demo,PMX,not_estimable,240,0,0,,,,,,"{""missing"": 240}","{""acquisition_or_evaluator_unavailable"": 240}"
opentelemetry_demo,PMX_inclusive,not_estimable,240,0,0,,,,,,"{""missing"": 240}","{""acquisition_or_evaluator_unavailable"": 240}"
spring_petclinic_microservices,Gstar,not_estimable,320,0,0,,,,,,"{""missing"": 320}","{""acquisition_or_evaluator_unavailable"": 320}"
spring_petclinic_microservices,GID,not_estimable,320,0,0,,,,,,"{""missing"": 320}","{""acquisition_or_evaluator_unavailable"": 320}"
spring_petclinic_microservices,Gselected,not_estimable,320,0,0,,,,,,"{""missing"": 320}","{""acquisition_or_evaluator_unavailable"": 320}"
spring_petclinic_microservices,G_without_deadline,not_estimable,320,0,0,,,,,,"{""missing"": 320}","{""acquisition_or_evaluator_unavailable"": 320}"
spring_petclinic_microservices,G_without_selection,not_estimable,320,0,0,,,,,,"{""missing"": 320}","{""acquisition_or_evaluator_unavailable"": 320}"
spring_petclinic_microservices,G_without_completion,not_estimable,320,0,0,,,,,,"{""missing"": 320}","{""acquisition_or_evaluator_unavailable"": 320}"
spring_petclinic_microservices,G0,not_estimable,320,0,0,,,,,,"{""missing"": 320}","{""acquisition_or_evaluator_unavailable"": 320}"
spring_petclinic_microservices,B0,not_estimable,320,0,0,,,,,,"{""missing"": 320}","{""acquisition_or_evaluator_unavailable"": 320}"
spring_petclinic_microservices,PMX,not_estimable,320,0,0,,,,,,"{""missing"": 320}","{""acquisition_or_evaluator_unavailable"": 320}"
spring_petclinic_microservices,PMX_inclusive,not_estimable,320,0,0,,,,,,"{""missing"": 320}","{""acquisition_or_evaluator_unavailable"": 320}"
