application,left,right,estimate_pp,interval_pp,status,common_cells,complete_common_campaigns,planned_cells,planned_conditions,retained_conditions,confidence_level,bootstrap_draws,bootstrap_seed,complete_support_is_conditioned_on_not_imputed,coverage_uncertainty_included,finite_sample_family_coverage_guaranteed
deathstarbench_social_network,Gstar,G0,,,not_estimable_no_complete_common_campaign,0,0,240,8,0,0.9916666666666667,10000,771602,True,False,False
deathstarbench_social_network,Gstar,PMX,,,not_estimable_no_complete_common_campaign,0,0,240,8,0,0.9916666666666667,10000,771603,True,False,False
opentelemetry_demo,Gstar,G0,,,not_estimable_no_complete_common_campaign,0,0,240,8,0,0.9916666666666667,10000,771604,True,False,False
opentelemetry_demo,Gstar,PMX,,,not_estimable_no_complete_common_campaign,0,0,240,8,0,0.9916666666666667,10000,771605,True,False,False
spring_petclinic_microservices,Gstar,G0,,,not_estimable_no_complete_common_campaign,0,0,320,8,0,0.9916666666666667,10000,771606,True,False,False
spring_petclinic_microservices,Gstar,PMX,,,not_estimable_no_complete_common_campaign,0,0,320,8,0,0.9916666666666667,10000,771607,True,False,False
