profile,case_id,functional,lower_exact,upper_exact,status,model_sha256
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,selected_minus_execution,43/600,43/600,singleton_given_empirical_observation_law,55e9b8df530fe250089273f28d14834da0cb7a1fcdd761e36aae4eacc23fc282
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,without_completion,557/600,557/600,singleton_given_empirical_observation_law,55e9b8df530fe250089273f28d14834da0cb7a1fcdd761e36aae4eacc23fc282
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,without_completion_minus_execution,0,0,singleton_given_empirical_observation_law,55e9b8df530fe250089273f28d14834da0cb7a1fcdd761e36aae4eacc23fc282
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,without_deadline,1,1,singleton_given_empirical_observation_law,55e9b8df530fe250089273f28d14834da0cb7a1fcdd761e36aae4eacc23fc282
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,without_deadline_minus_execution,43/600,43/600,singleton_given_empirical_observation_law,55e9b8df530fe250089273f28d14834da0cb7a1fcdd761e36aae4eacc23fc282
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,without_selection,557/600,557/600,singleton_given_empirical_observation_law,55e9b8df530fe250089273f28d14834da0cb7a1fcdd761e36aae4eacc23fc282
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law,55e9b8df530fe250089273f28d14834da0cb7a1fcdd761e36aae4eacc23fc282
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--compose_post,execution,1127/1200,1127/1200,singleton_given_empirical_observation_law,5e3150a7d724d176385db0bd5c7976ccf8f1b61f276cdc46ee01037fb0e611ac
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--compose_post,reachability,1,1,singleton_given_empirical_observation_law,5e3150a7d724d176385db0bd5c7976ccf8f1b61f276cdc46ee01037fb0e611ac
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--compose_post,reachability_minus_execution,73/1200,73/1200,singleton_given_empirical_observation_law,5e3150a7d724d176385db0bd5c7976ccf8f1b61f276cdc46ee01037fb0e611ac
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--compose_post,selected,1,1,singleton_given_empirical_observation_law,5e3150a7d724d176385db0bd5c7976ccf8f1b61f276cdc46ee01037fb0e611ac
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--compose_post,selected_minus_execution,73/1200,73/1200,singleton_given_empirical_observation_law,5e3150a7d724d176385db0bd5c7976ccf8f1b61f276cdc46ee01037fb0e611ac
