profile,case_id,method,execution_status,cold_ratio_specialized_over_bdd_median,cold_ratio_min,cold_ratio_max,warm_ratio_specialized_over_bdd_median,warm_ratio_min,warm_ratio_max,specialized_cold_median_ms,bdd_cold_median_ms,specialized_warm_median_ms,bdd_warm_median_ms
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,controls_first,singleton_given_empirical_observation_law,0.19972363617023003,0.18919444259045795,0.20133273824633827,1.4695544724377017,1.4252703589921463,1.482147906129245,1.156583,5.790917,0.920501,0.63662
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structural,singleton_given_empirical_observation_law,0.19516993559016807,0.18782692108600565,0.19807901972221947,1.472464802138507,1.428650582401465,1.5002559878906598,1.156583,5.838998,0.920501,0.628936
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,sift_once,singleton_given_empirical_observation_law,0.16485810890459257,0.16001492307781548,0.16664702816906865,1.426774883085036,1.4264543852770852,1.5086684499759364,1.156583,7.015627,0.920501,0.645127
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,controls_first,singleton_given_empirical_observation_law,0.03985270287083338,0.038099828026909345,0.04133948090835621,1.2057727368064406,1.1182409591490257,1.3332855949397302,0.18226,4.61537,0.14947,0.125685
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structural,singleton_given_empirical_observation_law,0.0401224131361332,0.0393560859591638,0.0515749225781915,1.2149069332683085,1.2045379144043178,1.3350914233358562,0.18226,4.630059,0.14947,0.123581
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,sift_once,singleton_given_empirical_observation_law,0.032002580986440515,0.03194845056325227,0.033368305312901865,1.2141174559337178,1.1877757829642928,1.2719475354090446,0.18226,5.704815,0.14947,0.125325
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,controls_first,singleton_given_empirical_observation_law,0.10742323688895088,0.10182527532522839,0.10871578031618477,1.4196563263039477,1.4085371760026895,1.4449039958785086,0.510705,4.809403,0.495947,0.349343
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,structural,singleton_given_empirical_observation_law,0.106029699217702,0.10549371181756743,0.11809256590642961,1.4699241810820758,1.3492297406088392,1.4867675538261376,0.510705,4.782304,0.495947,0.339625
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,sift_once,singleton_given_empirical_observation_law,0.08529571117254317,0.08398749967121046,0.08589280164117877,1.4435822129336666,1.4369478928901414,1.466289618928706,0.510705,6.006882,0.495947,0.343553
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--compose_post,controls_first,singleton_given_empirical_observation_law,0.12461269491161335,0.11901311969411141,0.13256815915107398,1.6162673145665774,1.5296372470604878,1.6341700703895403,0.606204,4.965144,0.578753,0.362838
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--compose_post,structural,singleton_given_empirical_observation_law,0.1288979831466406,0.1223712214226109,0.13942390844357763,1.5759451982610986,1.5510843463905148,1.5840430647574268,0.606204,4.952823,0.578753,0.373128
