profile,case_id,method,round,status,execution_status,cold_ms,cold_cpu_ms,warm_1_ms,warm_2_ms,warm_3_ms,warm_median_ms,warm_cpu_median_ms,build_ms,reorder_ms,evaluated_states,cudd_execution_nodes,cudd_manager_bytes,witnesses_verified_first_query,category_extrema_sha256,exact_estimates_sha256
spring_petclinic_microservices,spring_petclinic_microservices--split--NCD--r7--list_owners,specialized,0,qualified,singleton_given_empirical_observation_law,0.211034,0.215302,0.17652,0.158546,0.152635,0.158546,0.160129,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--NCD--r7--list_vets,specialized,0,qualified,singleton_given_empirical_observation_law,0.199673,0.204102,0.150391,0.160149,0.143148,0.150391,0.151984,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--NCD--r7--owner_details_with_visits,specialized,0,qualified,singleton_given_empirical_observation_law,2.458989,2.463583,2.38531,2.337732,2.335668,2.337732,2.339891,0.0,0.0,48,,,40,4b6165487478c5284b1f3a50a41f9f54a9d1fa0ad2c35864aebe7f1660a9bfd6,f84dc6e9d952b1a13b04c1e63a5e96a68f7b83b40ce109ba819fb954d379d775
spring_petclinic_microservices,spring_petclinic_microservices--split--NCD--r8--create_visit,specialized,0,qualified,singleton_given_empirical_observation_law,2.39066,2.395696,2.341359,2.325439,2.307304,2.325439,2.328039,0.0,0.0,50,,,40,de3937e862a587ef7528b3d033af6c86adbdfb3dd4d505285cb13ec63679338e,6fd8616647c7f6b4eb9cd8e3d736585ec64bf7e308eb237360c0b7e63b451ea4
spring_petclinic_microservices,spring_petclinic_microservices--split--NCD--r8--list_owners,specialized,0,qualified,singleton_given_empirical_observation_law,0.204583,0.20865,0.156803,0.148147,0.165139,0.156803,0.158487,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--NCD--r8--list_vets,specialized,0,qualified,singleton_given_empirical_observation_law,0.200204,0.204251,0.151162,0.146965,0.143107,0.146965,0.148538,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--NCD--r8--owner_details_with_visits,specialized,0,qualified,singleton_given_empirical_observation_law,2.462004,2.466177,2.376244,2.451294,2.341148,2.376244,2.378684,0.0,0.0,48,,,40,4b6165487478c5284b1f3a50a41f9f54a9d1fa0ad2c35864aebe7f1660a9bfd6,b692737a95b8300c26c6a5fece119413f0653eab2c0dd79e6dd26dae99852d7b
spring_petclinic_microservices,spring_petclinic_microservices--split--NCD--r9--create_visit,specialized,0,qualified,singleton_given_empirical_observation_law,2.754311,2.758854,2.78052,2.672638,2.661127,2.672638,2.674887,0.0,0.0,56,,,40,f55cdd0615555f45c18fef24f23b773381025c5ec71a289300e1c6a696c48b44,a391f74eb9c475da9e11860f21d13318a6c23bf26495d02b09ead3eafaf23e74
spring_petclinic_microservices,spring_petclinic_microservices--split--NCD--r9--list_owners,specialized,0,qualified,singleton_given_empirical_observation_law,0.218418,0.222846,0.159128,0.147025,0.163556,0.159128,0.16097,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--NCD--r9--list_vets,specialized,0,qualified,singleton_given_empirical_observation_law,0.194043,0.19825,0.166732,0.149169,0.141034,0.149169,0.150882,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--NCD--r9--owner_details_with_visits,specialized,0,qualified,singleton_given_empirical_observation_law,2.443169,2.446861,2.401822,2.367858,2.353181,2.367858,2.370108,0.0,0.0,48,,,40,4b6165487478c5284b1f3a50a41f9f54a9d1fa0ad2c35864aebe7f1660a9bfd6,97de889bc4df928e083d63a5a8e2ca711a7ec760c42ee1142fa8b040a2c4866a
spring_petclinic_microservices,spring_petclinic_microservices--split--ND--r0--create_visit,specialized,0,qualified,singleton_given_empirical_observation_law,2.068599,2.072913,2.004739,1.962069,1.959846,1.962069,1.964209,0.0,0.0,40,,,32,8e0b92150eb25bbfb6c0eca6e03211f664a9950e41a4ea658ae321047be6a712,e0679749e8bb66b5d2d86dd4450caf9912147c22dcf911b99958e2989e97d944
spring_petclinic_microservices,spring_petclinic_microservices--split--ND--r0--list_owners,specialized,0,qualified,singleton_given_empirical_observation_law,0.206386,0.210443,0.154589,0.146925,0.143127,0.146925,0.148488,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--ND--r0--list_vets,specialized,0,qualified,singleton_given_empirical_observation_law,0.178313,0.18207,0.148668,0.141545,0.141394,0.141545,0.143158,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--ND--r0--owner_details_with_visits,specialized,0,qualified,singleton_given_empirical_observation_law,1.942624,1.945865,1.93548,1.927875,1.911785,1.927875,1.930115,0.0,0.0,32,,,24,95399442395cf3a9c701442ede684103158aae7ac0ae3802ab6f20dd09e39e25,10643500f4714ec9559e2ce8dba0a11ba6d4ce3500178e93c0ad87be62711e50
spring_petclinic_microservices,spring_petclinic_microservices--split--ND--r1--create_visit,specialized,0,qualified,singleton_given_empirical_observation_law,2.284232,2.288565,2.25675,2.212528,2.202469,2.212528,2.214727,0.0,0.0,44,,,32,e5bd5fc40873f9ee879468741ebf9be2c30b9055625d450905a754718ce0645b,ee89be935b1e5f34b1e18da6e825b0d81b61f41b6191d7f04bf3755178c84413
spring_petclinic_microservices,spring_petclinic_microservices--split--ND--r1--list_owners,specialized,0,qualified,singleton_given_empirical_observation_law,0.215693,0.21952,0.154729,0.147024,0.143127,0.147024,0.148607,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--ND--r1--list_vets,specialized,0,qualified,singleton_given_empirical_observation_law,0.192811,0.195866,0.151263,0.142175,0.13891,0.142175,0.143709,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
