profile,group,method,cases,cold_median_ms,warm_median_ms,cold_cpu_median_ms,warm_cpu_median_ms,build_median_ms,reorder_median_ms,total_cold_median_seconds,total_warm_median_seconds,paired_cold_ratio_median,paired_warm_ratio_median,bdd_cold_faster_cases,batch_peak_rss_median_mib,batch_wall_median_seconds,batch_cpu_median_seconds
spring_petclinic_microservices,singleton_given_empirical_observation_law,structural,320,5.3835795,0.5987035,5.389063,0.6009325,4.532875999984753,0.0,1.813830948,0.318562119,0.14786639171809396,1.2064745279744273,0,77.51171875,8.9,9.22
spring_petclinic_microservices,singleton_given_empirical_observation_law,sift_once,320,6.6910855,0.609104,6.6860955,0.611292,5.657823499994663,1.1497695000031172,2.168775425,0.321436557,0.1224144555443417,1.2032423505098486,0,77.4140625,9.3,9.620000000000001
synthetic,all,specialized,27,1.315979,1.237964,1.320289,1.239979,0.0,0.0,0.175773398,0.172976376,,,,56.6875,1.47,1.76
synthetic,all,controls_first,27,4.538803,0.83747,4.543629,0.839605,3.545561999999336,0.0,0.238618034,0.130530895,0.2773485293417356,1.2733013907003001,2,71.90234375,1.45,1.75
synthetic,all,structural,27,4.815489,0.843115,4.795212,0.844973,3.70760599999187,0.0,0.239858384,0.132223972,0.27141096557026323,1.250728639990385,2,71.84765625,1.47,1.76
synthetic,all,sift_once,27,6.019534,0.847937,6.022862,0.850041,5.0187150000056135,1.4132649999964997,0.27518295,0.133034425,0.2200205946583227,1.247297156762828,2,71.85546875,1.51,1.8
synthetic,singleton_given_empirical_observation_law,specialized,3,1.562404,1.488705,1.565102,1.490951,0.0,0.0,0.005134524,0.00495598,,,,56.6875,1.47,1.76
synthetic,singleton_given_empirical_observation_law,controls_first,3,4.55027,0.956314,4.553463,0.95739,3.5242599999989466,0.0,0.014473846,0.002917122,0.3442648452817284,1.5698964984304318,0,71.90234375,1.45,1.75
synthetic,singleton_given_empirical_observation_law,structural,3,4.718235,0.945712,4.721202,0.947536,3.6734760000030064,0.0,0.014962914,0.002911777,0.331141623933526,1.5765517806268554,0,71.84765625,1.47,1.76
synthetic,singleton_given_empirical_observation_law,sift_once,3,5.852557,0.942016,5.855985,0.943619,4.799165000001437,1.238456000002941,0.018296315,0.00294243,0.2666505557168357,1.5727163869828114,0,71.85546875,1.51,1.8
synthetic,ambiguous,specialized,24,1.308438,1.2351095,1.310939,1.2369745,0.0,0.0,0.170156108,0.168071491,,,,56.6875,1.47,1.76
synthetic,ambiguous,controls_first,24,4.5276715,0.8158285,4.5320565,0.817838,3.5476904999995895,0.0,0.224144188,0.1275855,0.27555334559565825,1.2482413091913647,2,71.90234375,1.45,1.75
synthetic,ambiguous,structural,24,4.8155665,0.8268975,4.807375,0.828499,3.7092414999975176,0.0,0.22489547,0.129336716,0.2693870902282347,1.2162735459386709,2,71.84765625,1.47,1.76
synthetic,ambiguous,sift_once,24,6.0328585,0.816285,6.036272,0.8182285,5.022360999998199,1.4492255000000398,0.256886635,0.130034778,0.2112265555237558,1.2074625172899809,2,71.85546875,1.51,1.8
