campaign_id,job_role,attempt_id,model_id,variant,extraction_status,status,repetition,load_solve_elapsed_nanoseconds,evaluated_physical_states,total_physical_states
v3-main-771601/deathstarbench_social_network/colocated/N/2,pmx,1,campaign-d318662e2636c1ac40be--read_home_timeline--inclusive,inclusive,prepared,solved,1,34667285,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/2,pmx,1,campaign-d318662e2636c1ac40be--read_user_timeline--conditional_local,conditional_local,prepared,solved,0,58275891,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/2,pmx,1,campaign-d318662e2636c1ac40be--read_user_timeline--conditional_local,conditional_local,prepared,solved,1,52075446,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/2,pmx,1,campaign-d318662e2636c1ac40be--read_user_timeline--inclusive,inclusive,prepared,solved,0,49978374,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/2,pmx,1,campaign-d318662e2636c1ac40be--read_user_timeline--inclusive,inclusive,prepared,solved,1,52797495,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/3,pmx,1,campaign-7db9fff20d332d62c246--compose_post--conditional_local,conditional_local,prepared,solved,0,172075061,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/3,pmx,1,campaign-7db9fff20d332d62c246--compose_post--conditional_local,conditional_local,prepared,solved,1,174504048,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/3,pmx,1,campaign-7db9fff20d332d62c246--compose_post--inclusive,inclusive,prepared,solved,0,164378156,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/3,pmx,1,campaign-7db9fff20d332d62c246--compose_post--inclusive,inclusive,prepared,solved,1,156609646,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/3,pmx,1,campaign-7db9fff20d332d62c246--read_home_timeline--conditional_local,conditional_local,prepared,solved,0,36043362,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/3,pmx,1,campaign-7db9fff20d332d62c246--read_home_timeline--conditional_local,conditional_local,prepared,solved,1,32139128,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/3,pmx,1,campaign-7db9fff20d332d62c246--read_home_timeline--inclusive,inclusive,prepared,solved,0,39352772,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/3,pmx,1,campaign-7db9fff20d332d62c246--read_home_timeline--inclusive,inclusive,prepared,solved,1,31959973,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/3,pmx,1,campaign-7db9fff20d332d62c246--read_user_timeline--conditional_local,conditional_local,prepared,solved,0,54244704,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/3,pmx,1,campaign-7db9fff20d332d62c246--read_user_timeline--conditional_local,conditional_local,prepared,solved,1,49576376,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/3,pmx,1,campaign-7db9fff20d332d62c246--read_user_timeline--inclusive,inclusive,prepared,solved,0,50688673,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/3,pmx,1,campaign-7db9fff20d332d62c246--read_user_timeline--inclusive,inclusive,prepared,solved,1,49435493,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/4,pmx,1,campaign-4d043088db75ca1e0c7b--compose_post--conditional_local,conditional_local,prepared,solved,0,163877058,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/4,pmx,1,campaign-4d043088db75ca1e0c7b--compose_post--conditional_local,conditional_local,prepared,solved,1,156840465,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/4,pmx,1,campaign-4d043088db75ca1e0c7b--compose_post--inclusive,inclusive,prepared,solved,0,161201477,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/4,pmx,1,campaign-4d043088db75ca1e0c7b--compose_post--inclusive,inclusive,prepared,solved,1,157439985,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/4,pmx,1,campaign-4d043088db75ca1e0c7b--read_home_timeline--conditional_local,conditional_local,prepared,solved,0,36221448,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/4,pmx,1,campaign-4d043088db75ca1e0c7b--read_home_timeline--conditional_local,conditional_local,prepared,solved,1,32008603,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/4,pmx,1,campaign-4d043088db75ca1e0c7b--read_home_timeline--inclusive,inclusive,prepared,solved,0,35713449,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/4,pmx,1,campaign-4d043088db75ca1e0c7b--read_home_timeline--inclusive,inclusive,prepared,solved,1,33331966,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/4,pmx,1,campaign-4d043088db75ca1e0c7b--read_user_timeline--conditional_local,conditional_local,prepared,solved,0,52355583,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/4,pmx,1,campaign-4d043088db75ca1e0c7b--read_user_timeline--conditional_local,conditional_local,prepared,solved,1,50325420,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/4,pmx,1,campaign-4d043088db75ca1e0c7b--read_user_timeline--inclusive,inclusive,prepared,solved,0,63061403,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/4,pmx,1,campaign-4d043088db75ca1e0c7b--read_user_timeline--inclusive,inclusive,prepared,solved,1,50177093,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/5,pmx,1,campaign-94fc6c95d8dce2bb4cf4--compose_post--conditional_local,conditional_local,prepared,solved,0,157700827,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/5,pmx,1,campaign-94fc6c95d8dce2bb4cf4--compose_post--conditional_local,conditional_local,prepared,solved,1,169708559,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/5,pmx,1,campaign-94fc6c95d8dce2bb4cf4--compose_post--inclusive,inclusive,prepared,solved,0,157935375,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/5,pmx,1,campaign-94fc6c95d8dce2bb4cf4--compose_post--inclusive,inclusive,prepared,solved,1,159245180,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/5,pmx,1,campaign-94fc6c95d8dce2bb4cf4--read_home_timeline--conditional_local,conditional_local,prepared,solved,0,34818661,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/5,pmx,1,campaign-94fc6c95d8dce2bb4cf4--read_home_timeline--conditional_local,conditional_local,prepared,solved,1,34302328,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/5,pmx,1,campaign-94fc6c95d8dce2bb4cf4--read_home_timeline--inclusive,inclusive,prepared,solved,0,34643854,1,1
