campaign_id,job_role,attempt_id,method,overlaps_native_parse,seconds,stage,operation,overlaps_native_projection,compiler,derived_jar_sha256,once_per_campaign_shared_across_operations_and_variants,resource_record
v3-main-771601/deathstarbench_social_network/colocated/N/1,graph,1,shared_graph_family,,0.14864669900003946,extraction,read_user_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/1,graph,1,shared_graph_family,,0.003959207000036713,identification,read_user_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/1,graph,1,shared_graph_family,,0.0005527319999600877,solve,read_user_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/1,graph,1,G0,,0.00017427500000621876,identification,read_user_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/1,graph,1,G0,,7.499999998117346e-05,solve,read_user_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,PMX_shared_variants,,6.542219236999983,native_projection,compose_post,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,PMX_shared_variants,,2.082211928999982,native_projection,read_home_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,PMX_shared_variants,,2.0890105129999768,native_projection,read_user_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,PMX_shared_variants,,11.306266969000006,input_and_projection_process_total,,True,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,PMX_shared_variants,,7.85,derived_binary_build,,,javac 11.0.32,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6,True,"{""maximum_rss_bytes"": 227627008.0, ""path"": ""build-resource-usage.txt"", ""system_seconds"": 0.28, ""user_seconds"": 6.81, ""wall_seconds"": 7.85}"
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,PMX_shared_variants,,26.752323853000007,independent_pmx_extraction_process,compose_post,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,PMX_shared_variants,,22.88082189100001,independent_pmx_extraction_process,read_home_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/1,pmx,1,PMX_shared_variants,,22.930861748000012,independent_pmx_extraction_process,read_user_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,acquisition,1,shared_acquisition,True,2058.731148095,acquisition_and_export_process_total,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,acquisition,1,shared_native_pool,,1.8644931720000386,native_parse,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,graph,1,B0,,0.0059777349999876606,identification,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,graph,1,shared_graph_family,,0.7154227260000425,extraction,compose_post,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,graph,1,shared_graph_family,,0.005993314000079408,identification,compose_post,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,graph,1,shared_graph_family,,0.001072825999926863,solve,compose_post,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,graph,1,G0,,0.0005595459999767627,identification,compose_post,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,graph,1,G0,,9.486800001923257e-05,solve,compose_post,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,graph,1,shared_graph_family,,0.13979299800007539,extraction,read_home_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,graph,1,shared_graph_family,,0.0027843950000487894,identification,read_home_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,graph,1,shared_graph_family,,0.00019881200000781973,solve,read_home_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,graph,1,G0,,0.00018108799997662572,identification,read_home_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,graph,1,G0,,5.739700009144144e-05,solve,read_home_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,graph,1,shared_graph_family,,0.15156409300004725,extraction,read_user_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,graph,1,shared_graph_family,,0.004649281000070005,identification,read_user_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,graph,1,shared_graph_family,,0.0004994330000727132,solve,read_user_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,graph,1,G0,,0.00016722300006222213,identification,read_user_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,graph,1,G0,,5.935100000442617e-05,solve,read_user_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,pmx,1,PMX_shared_variants,,6.220291331999988,native_projection,compose_post,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,pmx,1,PMX_shared_variants,,1.9757323469999903,native_projection,read_home_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,pmx,1,PMX_shared_variants,,1.9800406479999992,native_projection,read_user_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,pmx,1,PMX_shared_variants,,10.758525694000014,input_and_projection_process_total,,True,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,pmx,1,PMX_shared_variants,,10.68,derived_binary_build,,,javac 11.0.32,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6,True,"{""maximum_rss_bytes"": 227610624.0, ""path"": ""build-resource-usage.txt"", ""system_seconds"": 0.29, ""user_seconds"": 6.73, ""wall_seconds"": 10.68}"
v3-main-771601/deathstarbench_social_network/colocated/N/2,pmx,1,PMX_shared_variants,,27.546706178000022,independent_pmx_extraction_process,compose_post,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,pmx,1,PMX_shared_variants,,22.982169021000004,independent_pmx_extraction_process,read_home_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/2,pmx,1,PMX_shared_variants,,22.981414169999994,independent_pmx_extraction_process,read_user_timeline,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/3,acquisition,1,shared_acquisition,True,2059.4815317009998,acquisition_and_export_process_total,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/3,acquisition,1,shared_native_pool,,2.0431385379997664,native_parse,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/3,graph,1,B0,,0.006043787000002965,identification,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/3,graph,1,shared_graph_family,,0.6899786910000003,extraction,compose_post,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/3,graph,1,shared_graph_family,,0.005987341999997398,identification,compose_post,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/3,graph,1,shared_graph_family,,0.0010978409999964356,solve,compose_post,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/3,graph,1,G0,,0.0005816620000018702,identification,compose_post,,,,,
v3-main-771601/deathstarbench_social_network/colocated/N/3,graph,1,G0,,0.00010098799999980201,solve,compose_post,,,,,
