campaign_id,job_role,attempt_id,case_id,qualified,elapsed_seconds,startup_seconds,internal_watchdog_seconds,exit_code,started_at,finished_at,jar_sha256
v3-main-771601/deathstarbench_social_network/split/N/8,pmx,1,campaign-e418fc9c27143f0bc2ce--read_user_timeline,True,22.22570202,20,1800,0,2026-09-10T17:41:58.435167+00:00,2026-09-10T17:42:20.660869+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/split/N/9,pmx,1,campaign-8ae690136a12cbf8c29c--compose_post,True,27.79891683400001,20,1800,0,2026-09-10T17:41:16.543195+00:00,2026-09-10T17:41:44.342110+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/split/N/9,pmx,1,campaign-8ae690136a12cbf8c29c--read_home_timeline,True,22.931115126999998,20,1800,0,2026-09-10T17:41:44.674865+00:00,2026-09-10T17:42:07.605980+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/split/N/9,pmx,1,campaign-8ae690136a12cbf8c29c--read_user_timeline,True,22.929110785000034,20,1800,0,2026-09-10T17:42:07.788894+00:00,2026-09-10T17:42:30.718005+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/split/NC/0,pmx,1,campaign-dd9a8fa083d4f68d830b--compose_post,True,27.947353177999958,20,1800,0,2026-09-10T17:41:25.580609+00:00,2026-09-10T17:41:53.527959+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/split/NC/0,pmx,1,campaign-dd9a8fa083d4f68d830b--read_home_timeline,True,23.039781034000043,20,1800,0,2026-09-10T17:41:53.868187+00:00,2026-09-10T17:42:16.907968+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/split/NC/0,pmx,1,campaign-dd9a8fa083d4f68d830b--read_user_timeline,True,23.03411194399996,20,1800,0,2026-09-10T17:42:17.095398+00:00,2026-09-10T17:42:40.129509+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/split/NC/1,pmx,1,campaign-3a8b5bdde23528b322d8--compose_post,True,28.35303982299999,20,1800,0,2026-09-10T17:41:11.978019+00:00,2026-09-10T17:41:40.331059+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/split/NC/1,pmx,1,campaign-3a8b5bdde23528b322d8--read_home_timeline,True,22.979007206000006,20,1800,0,2026-09-10T17:41:40.709349+00:00,2026-09-10T17:42:03.688356+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/split/NC/1,pmx,1,campaign-3a8b5bdde23528b322d8--read_user_timeline,True,23.082401750000002,20,1800,0,2026-09-10T17:42:03.885504+00:00,2026-09-10T17:42:26.967905+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/split/NC/2,pmx,1,campaign-227e94e3d9f13b5e82c0--compose_post,True,25.293613943000025,20,1800,0,2026-09-10T17:41:18.838911+00:00,2026-09-10T17:41:44.132525+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/split/NC/2,pmx,1,campaign-227e94e3d9f13b5e82c0--read_home_timeline,True,22.331856637999977,20,1800,0,2026-09-10T17:41:44.400933+00:00,2026-09-10T17:42:06.732790+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/split/NC/2,pmx,1,campaign-227e94e3d9f13b5e82c0--read_user_timeline,True,22.27627337499996,20,1800,0,2026-09-10T17:42:06.870364+00:00,2026-09-10T17:42:29.146638+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/split/NC/3,pmx,1,campaign-032a7fd66d77d01992ad--compose_post,True,27.24595369100001,20,1800,0,2026-09-10T17:41:11.663104+00:00,2026-09-10T17:41:38.909057+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/split/NC/3,pmx,1,campaign-032a7fd66d77d01992ad--read_home_timeline,True,22.984209722999992,20,1800,0,2026-09-10T17:41:39.249218+00:00,2026-09-10T17:42:02.233427+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v3-main-771601/deathstarbench_social_network/split/NC/3,pmx,1,campaign-032a7fd66d77d01992ad--read_user_timeline,True,22.980881329,20,1800,0,2026-09-10T17:42:02.419466+00:00,2026-09-10T17:42:25.400347+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
