campaign_id,job_role,attempt_id,input_bytes,native_bytes,ordinary_role_bytes,pmx_role_bytes,input_loading_seconds,combined_process_seconds,acquisition_process_seconds,shared_native_extraction_seconds,manual_integration_seconds,manual_reason,update_seconds,update_reason
v3-main-771601/deathstarbench_social_network/colocated/NC/3,acquisition,1,,58163671,35404029,35161446,,,2059.047076538,1.9937147949999598,,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/3,graph,1,35403513,,,,0.4198399699999982,0.7748102600000095,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/NC/3,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/4,acquisition,1,,59004037,36606782,36364187,,,2059.388939887,1.939522807999765,,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/4,graph,1,36606266,,,,0.4349324600000273,1.5150349809999852,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/NC/4,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/5,acquisition,1,,58984169,36580151,36337902,,,2060.0661368859996,2.116018721999808,,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/5,graph,1,36579635,,,,0.4102494809999371,1.3363207609999108,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/NC/5,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/6,acquisition,1,,55757525,35912160,35669612,,,2059.413076524,1.7711125910000192,,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/6,graph,1,35911644,,,,0.42938618400000195,1.3769362009999995,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/NC/6,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/7,acquisition,1,,55768303,36082213,35839660,,,2059.246408469,1.9420385580001494,,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/7,graph,1,36081697,,,,0.4177875689999837,1.2934022399999776,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/NC/7,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/8,acquisition,1,,56976793,36291703,36049207,,,2059.1073611479997,1.85779862399977,,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/8,graph,1,36291187,,,,0.4324530429999953,1.1461353379999935,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/NC/8,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/9,acquisition,1,,54447836,34089427,33846857,,,2059.279792284,2.0987818759999755,,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/9,graph,1,34088911,,,,0.408526492,1.3113857969999998,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/NC/9,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/ND/0,acquisition,1,,59151942,36788602,36546841,,,2059.5819851899996,2.0724398199999996,,,,
v3-main-771601/deathstarbench_social_network/colocated/ND/0,graph,1,36788086,,,,0.4364906200000007,1.4884179610000032,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/ND/0,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/ND/1,acquisition,1,,59137013,36777025,36535176,,,2057.65561253,1.4597475880000275,,,,
v3-main-771601/deathstarbench_social_network/colocated/ND/1,graph,1,36776509,,,,0.444999131000003,1.4989396640000052,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/ND/1,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/ND/2,acquisition,1,,59062940,36684193,36441972,,,2057.2386947450004,1.4174501269999382,,,,
v3-main-771601/deathstarbench_social_network/colocated/ND/2,graph,1,36683677,,,,0.43693942400000196,1.4949082859999976,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/ND/2,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/ND/3,acquisition,1,,59127123,36769274,36527728,,,2060.15726739,2.1140393979999317,,,,
v3-main-771601/deathstarbench_social_network/colocated/ND/3,graph,1,36768758,,,,0.43979072299999444,1.4784670669999969,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/ND/3,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/ND/4,acquisition,1,,59164563,36810223,36568748,,,2060.375811816,2.1801818700000695,,,,
v3-main-771601/deathstarbench_social_network/colocated/ND/4,graph,1,36809707,,,,0.2999636179999925,0.9005288529999973,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/ND/4,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/ND/5,acquisition,1,,59121976,36797734,36556243,,,2057.325355468,1.4276992100003554,,,,
v3-main-771601/deathstarbench_social_network/colocated/ND/5,graph,1,36797218,,,,0.4344687130000011,1.4105748019999993,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/ND/5,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/ND/6,acquisition,1,,59110180,36765746,36523995,,,2057.4803361649997,1.4873606520000067,,,,
v3-main-771601/deathstarbench_social_network/colocated/ND/6,graph,1,36765230,,,,0.4261313869999981,1.4246100799999795,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/ND/6,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/ND/7,acquisition,1,,59155361,36806882,36565477,,,2057.78650719,1.5795596200000546,,,,
v3-main-771601/deathstarbench_social_network/colocated/ND/7,graph,1,36806366,,,,0.42753904500000317,1.4317357560000232,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/ND/7,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/ND/8,acquisition,1,,59145457,36780440,36539191,,,2059.169925006,1.9849330140000347,,,,
