campaign_id,job_role,attempt_id,scope,rss_scope,maximum_rss_bytes,path,system_seconds,user_seconds,wall_seconds,profile,run_id,shared_once_across_this_application
v3-main-771601/deathstarbench_social_network/colocated/N/3,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",221847552.0,build-resource-usage.txt,0.15,3.14,3.25,,,
v3-main-771601/deathstarbench_social_network/colocated/N/3,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",109670400.0,replay-resource-usage.txt,0.08,1.42,0.95,,,
v3-main-771601/deathstarbench_social_network/colocated/N/4,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",626397184.0,acquisition-resource-usage.txt,75.41,162.44,2072.05,,,
v3-main-771601/deathstarbench_social_network/colocated/N/4,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51920896.0,logs/compose-down.log.resource-usage.txt,0.02,0.08,12.36,,,
v3-main-771601/deathstarbench_social_network/colocated/N/4,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52297728.0,logs/services.log.resource-usage.txt,0.04,0.08,0.1,,,
v3-main-771601/deathstarbench_social_network/colocated/N/4,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51822592.0,pull-resource-usage.txt,0.06,0.1,35.08,,,
v3-main-771601/deathstarbench_social_network/colocated/N/4,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",55046144.0,start-resource-usage.txt,0.03,0.12,9.1,,,
v3-main-771601/deathstarbench_social_network/colocated/N/4,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",219320320.0,build-resource-usage.txt,0.16,3.2,3.92,,,
v3-main-771601/deathstarbench_social_network/colocated/N/4,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",109412352.0,replay-resource-usage.txt,0.08,1.44,0.94,,,
v3-main-771601/deathstarbench_social_network/colocated/N/5,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",628469760.0,acquisition-resource-usage.txt,91.24,224.37,2071.94,,,
v3-main-771601/deathstarbench_social_network/colocated/N/5,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52387840.0,logs/compose-down.log.resource-usage.txt,0.03,0.1,10.97,,,
v3-main-771601/deathstarbench_social_network/colocated/N/5,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52240384.0,logs/services.log.resource-usage.txt,0.05,0.11,0.13,,,
v3-main-771601/deathstarbench_social_network/colocated/N/5,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51412992.0,pull-resource-usage.txt,0.06,0.15,20.09,,,
