profile,case_id,method,representation,round,phase,status,total_ms,kernel_ms,cpu_ms,conversion_ms,key_check_ms,construction_ms,update_ms,query_including_update_ms,inference_ms,reconstructed,error
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_prepared,completion_projected,0,masks,qualified,0.869428,0.542483,0.871676,0.326945,0.102583,0.0,0.0,0.438495,0.438495,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_prepared,completion_projected,0,metadata,qualified,0.772575,0.462842,0.774646,0.309733,0.056496,0.0,0.0,0.405053,0.405053,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_prepared,completion_projected,0,structure,qualified,1.876644,1.551001,1.878746,0.325643,0.077907,1.085704,0.0,0.385977,0.385977,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,ours_prepared,completion_projected,0,restore,qualified,1.881493,1.520222,1.883575,0.361271,0.059722,1.068522,0.0,0.390275,0.390275,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_fixed,original,0,initial,qualified,3.944798,3.943666,3.950762,0.001132,0.089468,3.291659,0.0,0.560545,0.560545,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_fixed,original,0,repeat,qualified,0.545237,0.539165,0.547392,0.006072,0.069251,0.0,0.0,0.468572,0.468572,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_fixed,original,0,counts,qualified,0.522825,0.517595,0.524589,0.00523,0.061917,0.0,0.0,0.454476,0.454476,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_fixed,original,0,masks,qualified,0.556499,0.555638,0.558312,0.000861,0.059782,0.0,0.0,0.494752,0.494752,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_fixed,original,0,metadata,qualified,0.549274,0.548382,0.551329,0.000892,0.068689,0.0,0.0,0.478401,0.478401,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_fixed,original,0,structure,qualified,0.62688,0.626118,0.628853,0.000762,0.065704,0.083767,0.0,0.475295,0.475295,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_fixed,original,0,restore,qualified,0.590903,0.590032,0.592807,0.000871,0.06413,0.075853,0.0,0.448766,0.448766,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_fixed,completion_projected,0,initial,qualified,4.232641,3.811548,4.239081,0.421093,0.084088,3.211268,0.0,0.513998,0.513998,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_fixed,completion_projected,0,repeat,qualified,0.835042,0.513547,0.837413,0.321495,0.065383,0.0,0.0,0.446712,0.446712,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_fixed,completion_projected,0,counts,qualified,0.805307,0.483611,0.807587,0.321696,0.065764,0.0,0.0,0.415702,0.415702,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_fixed,completion_projected,0,masks,qualified,0.817329,0.482398,0.819589,0.334931,0.05801,0.0,0.0,0.423096,0.423096,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_fixed,completion_projected,0,metadata,qualified,0.790158,0.473071,0.792118,0.317087,0.061646,0.0,0.0,0.410172,0.410172,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_fixed,completion_projected,0,structure,qualified,0.933778,0.576776,0.935986,0.357002,0.073568,0.074961,0.0,0.426935,0.426935,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_fixed,completion_projected,0,restore,qualified,0.861973,0.546399,0.864222,0.315574,0.076644,0.066375,0.0,0.402108,0.402108,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_sift,original,0,initial,qualified,4.29072,4.289418,4.297149,0.001302,0.091683,3.61132,0.0,0.584221,0.584221,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_sift,original,0,repeat,qualified,0.574462,0.56856,0.576596,0.005902,0.069,0.0,0.0,0.497957,0.497957,False,
