profile,representation,phase,method,planned,qualified,failed,total_median_ms,kernel_median_ms,cpu_median_ms,conversion_median_ms,key_check_median_ms,construction_median_ms,update_median_ms,query_including_update_median_ms,inference_median_ms,reconstructed_records,over_ours_direct,pairs_ours_direct,over_ours_prepared,pairs_ours_prepared
deathstarbench_social_network,original,masks,ours_prepared,54,54,0,0.419454,0.418688,0.421437,0.000742,0.0302015,0.0,0.0,0.370302,0.370302,0,0.38772245400647465,18,,0
deathstarbench_social_network,original,masks,cudd_fixed,54,54,0,0.495081,0.4942595,0.4970875,0.0007765000000000001,0.037070000000000006,0.0,0.0,0.445137,0.445137,0,0.4586220239113735,18,1.187676231826054,18
deathstarbench_social_network,original,masks,cudd_sift,54,54,0,0.508251,0.5074945,0.510653,0.0007465,0.0370895,0.0,0.0,0.45802149999999997,0.45802149999999997,0,0.46276872300209804,18,1.1798623991692185,18
deathstarbench_social_network,original,masks,agrum_conditioned,54,54,0,10.127221,10.1264045,10.1227135,0.0008014999999999999,0.036643499999999996,0.0,1.643287,10.0715,8.125055,0,7.727925321536848,18,23.149005244274115,18
deathstarbench_social_network,original,masks,agrum_joint,54,54,0,6.252756,6.2519849999999995,6.2553135,0.0007314999999999999,0.035001000000000004,0.0,1.6882065000000002,6.201304,4.2323815,0,5.107046274538379,18,13.029677121167543,18
deathstarbench_social_network,original,masks,storm_sparse,54,54,0,5.6165125,5.6153655,5.619146000000001,0.0007964999999999999,0.0394995,0.0,3.181978,5.5520465,2.387356,0,4.392788563950108,18,11.430930221177988,18
deathstarbench_social_network,original,masks,storm_compact,54,54,0,5.0362025,5.0353105,5.038562499999999,0.000792,0.036759,0.0,3.8461885000000002,4.981866,1.0994875,0,3.937421397386304,18,10.294514948992436,18
deathstarbench_social_network,original,metadata,ours_direct,54,54,0,1.41381,1.4130835,1.415867,0.000751,0.030417,0.0,0.0,1.3821910000000002,1.3821910000000002,0,,0,2.8050498475831707,18
deathstarbench_social_network,original,metadata,ours_prepared,54,54,0,0.4074165,0.40659049999999997,0.409289,0.000741,0.030738,0.0,0.0,0.357918,0.357918,0,0.37529482434862704,18,,0
deathstarbench_social_network,original,metadata,cudd_fixed,54,54,0,0.47833000000000003,0.47760400000000003,0.48031100000000004,0.000751,0.030597,0.0,0.0,0.42728849999999996,0.42728849999999996,0,0.43787686905266,18,1.1592966607224762,18
deathstarbench_social_network,original,metadata,cudd_sift,54,54,0,0.54783,0.5470885000000001,0.549841,0.000741,0.030442,0.0,0.0,0.485408,0.485408,0,0.44880228492685953,18,1.1687943844185154,18
deathstarbench_social_network,original,metadata,agrum_conditioned,54,54,0,7.5051120000000004,7.504251,7.507485000000001,0.000862,0.0358125,0.0,0.0021089999999999998,7.449547,7.447483,0,5.660655652815157,18,18.071543345193547,18
deathstarbench_social_network,original,metadata,agrum_joint,54,54,0,2.118054,2.1171474999999997,2.120467,0.000852,0.0354515,0.0,0.0020930000000000002,2.0645635,2.0624645,0,2.120965716375016,18,5.222479397719413,18
deathstarbench_social_network,original,metadata,storm_sparse,54,54,0,2.482185,2.481298,2.484501,0.0008665000000000001,0.0341345,0.0,0.002134,2.4305985,2.4285,0,1.5542163700140028,18,4.952521390300268,18
deathstarbench_social_network,original,metadata,storm_compact,54,54,0,1.0909575,1.090006,1.0934105,0.000862,0.0348605,0.0,0.0020435,1.0544835,1.05236,0,0.8965951217669833,18,2.2879185384206053,18
deathstarbench_social_network,original,structure,ours_direct,54,54,0,1.4724925,1.4717765,1.474652,0.000711,0.033473,0.000942,0.0,1.421827,1.421827,54,,0,0.8516676821961898,18
deathstarbench_social_network,original,structure,ours_prepared,54,54,0,1.6098335000000001,1.6091475,1.611968,0.0007115,0.0341445,1.124003,0.0,0.3819285,0.3819285,54,1.2322217555763018,18,,0
deathstarbench_social_network,original,structure,cudd_fixed,54,54,0,0.5649934999999999,0.5642974999999999,0.5671235,0.000727,0.034014,0.052102499999999996,0.0,0.4456485,0.4456485,54,0.46344628101850216,18,0.4061126868794318,18
deathstarbench_social_network,original,structure,cudd_sift,54,54,0,0.8524645,0.851798,0.8545745,0.0007214999999999999,0.033478,0.2793905,0.0,0.4618985,0.4618985,54,0.6773811100472368,18,0.5479518678788426,18
deathstarbench_social_network,original,structure,agrum_conditioned,54,54,0,14.8554905,14.854709499999998,14.854144999999999,0.000821,0.036768999999999996,5.3393180000000005,0.001954,7.994444,7.99251,54,11.334053157801836,18,9.493786512466166,18
deathstarbench_social_network,original,structure,agrum_joint,54,54,0,10.000705,9.999908000000001,9.9980875,0.000771,0.03454,5.39869,0.0019034999999999998,4.212509,4.2105855000000005,54,8.75238266060908,18,6.922647293989142,18
deathstarbench_social_network,original,structure,storm_sparse,54,54,0,4.6381115,4.6373155,4.640454,0.000771,0.036984500000000003,2.22479,0.0019039999999999999,2.3561430000000003,2.3542845000000003,54,2.9515905389391577,18,2.5530881499053324,18
deathstarbench_social_network,original,structure,storm_compact,54,54,0,3.5832094999999997,3.582463,3.5856715,0.0007815000000000001,0.036053,2.439909,0.001809,1.0537874999999999,1.0519395,54,2.6192854022649428,18,2.250575208785197,18
deathstarbench_social_network,original,restore,ours_direct,54,54,0,1.169986,1.169249,1.1721425,0.000741,0.029796000000000003,0.000902,0.0,1.1156085,1.1156085,54,,0,0.7765635990512914,18
deathstarbench_social_network,original,restore,ours_prepared,54,54,0,1.5814605,1.580664,1.576808,0.000772,0.02911,1.100249,0.0,0.36173,0.36173,54,1.3055045462690866,18,,0
deathstarbench_social_network,original,restore,cudd_fixed,54,54,0,0.5304625,0.5296460000000001,0.532449,0.000781,0.029871,0.043287,0.0,0.425375,0.425375,54,0.5878935877922105,18,0.39174692190553706,18
deathstarbench_social_network,original,restore,cudd_sift,54,54,0,0.816356,0.8156095,0.818357,0.000762,0.030352499999999998,0.272202,0.0,0.433255,0.433255,54,0.8765119467028466,18,0.5518014891517673,18
deathstarbench_social_network,original,restore,agrum_conditioned,54,54,0,14.673794000000001,14.672922,14.6761275,0.0008864999999999999,0.036513500000000004,5.375017,0.001924,7.962264,7.96037,54,13.035527804365682,18,10.461157957162694,18
deathstarbench_social_network,original,restore,agrum_joint,54,54,0,10.018584,10.017631999999999,10.021001,0.000867,0.034415,5.4392485,0.0019285,4.1752715,4.173363,54,11.48138516415321,18,6.763009449390118,18
deathstarbench_social_network,original,restore,storm_sparse,54,54,0,3.9387645000000004,3.9379334999999998,3.9411045,0.000821,0.0329725,1.9481140000000001,0.001844,1.933085,1.931327,54,3.1355844729442337,18,2.15645085737921,18
deathstarbench_social_network,original,restore,storm_compact,54,54,0,3.1053055,3.1044145,3.1025994999999997,0.000851,0.0641855,2.1758725,0.0019185,0.8113360000000001,0.8094375,54,2.4038651702180847,18,1.8188878160544255,18
deathstarbench_social_network,completion_projected,initial,ours_direct,54,54,0,1.309743,1.059928,1.3148285,0.2476755,0.048191,0.0023895,0.0,0.9934845,0.9934845,54,,0,0.7925494768442345,18
deathstarbench_social_network,completion_projected,initial,ours_prepared,54,54,0,1.8966020000000001,1.6410565,1.9042685,0.26262399999999997,0.0513315,1.0969585,0.0,0.426367,0.426367,54,1.266195445173321,18,,0
deathstarbench_social_network,completion_projected,initial,cudd_fixed,54,54,0,3.6053034999999998,3.371777,3.6126365,0.282436,0.056982,2.7751355,0.0,0.547004,0.547004,54,3.4222568268952904,18,2.1942648251864325,18
deathstarbench_social_network,completion_projected,initial,cudd_sift,54,54,0,3.8378050000000004,3.5521655,3.844048,0.2902315,0.055414,3.2677899999999998,0.0,0.547335,0.547335,54,3.251351878441673,18,2.190595725846393,18
deathstarbench_social_network,completion_projected,initial,agrum_conditioned,54,54,0,12.972320499999999,12.6471805,12.9705275,0.310364,0.073984,4.6141495,0.00245,7.820869999999999,7.81844,54,7.669259496349868,18,6.791224181567696,18
deathstarbench_social_network,completion_projected,initial,agrum_joint,54,54,0,9.291976,9.028459999999999,9.2974105,0.249725,0.077992,4.612341,0.0024495000000000003,4.314001,4.3114865,54,6.729306436011818,18,5.289228292777304,18
deathstarbench_social_network,completion_projected,initial,storm_sparse,54,54,0,4.5873695,4.3167355,4.5924,0.268144,0.051472000000000004,2.543165,0.0022890000000000002,1.67973,1.6774710000000002,54,3.1560996742682788,18,2.5408593017777457,18
deathstarbench_social_network,completion_projected,initial,storm_compact,54,54,0,4.2540925,4.004783,4.259058,0.24492599999999998,0.051121,2.8434095,0.0023095,1.077613,1.0753235,54,3.0114433842682518,18,2.395985122343718,18
deathstarbench_social_network,completion_projected,repeat,ours_direct,54,54,0,1.274618,1.0367405,1.276878,0.237396,0.0334175,0.0,0.0,0.9883545,0.9883545,0,,0,1.632920916438501,18
deathstarbench_social_network,completion_projected,repeat,ours_prepared,54,54,0,0.6818075,0.4411345,0.6840615,0.222749,0.033513,0.0,0.0,0.3885505,0.3885505,0,0.6192473292301405,18,,0
deathstarbench_social_network,completion_projected,repeat,cudd_fixed,54,54,0,0.7104165,0.46375350000000004,0.7133210000000001,0.2404925,0.035943,0.0,0.0,0.4116795,0.4116795,0,0.6884158396223328,18,1.0857304719000365,18
deathstarbench_social_network,completion_projected,repeat,cudd_sift,54,54,0,0.718146,0.468872,0.7204245,0.241484,0.0354665,0.0,0.0,0.4164685,0.4164685,0,0.6845430548332428,18,1.0871731228742385,18
deathstarbench_social_network,completion_projected,repeat,agrum_conditioned,54,54,0,7.2367315,6.9809345,7.239264499999999,0.26258400000000004,0.0362335,0.0,0.0022890000000000002,6.929228,6.927013499999999,0,4.809691928668382,18,10.625764708325164,18
deathstarbench_social_network,completion_projected,repeat,agrum_joint,54,54,0,2.417407,2.164346,2.419775,0.2538375,0.0361375,0.0,0.0022595000000000002,2.1139115,2.1115865,0,2.083338864324414,18,3.5301221814087915,18
deathstarbench_social_network,completion_projected,repeat,storm_sparse,54,54,0,1.738385,1.494478,1.7410839999999999,0.228134,0.036489,0.0,0.002835,1.4325645,1.429454,0,1.3169534072644091,18,2.47831402530721,18
deathstarbench_social_network,completion_projected,repeat,storm_compact,54,54,0,1.104554,0.8621935,1.107121,0.243007,0.037115,0.0,0.002846,0.8109915,0.808071,0,0.879551253412863,18,1.4574451499728012,18
deathstarbench_social_network,completion_projected,counts,ours_direct,54,54,0,1.1483,0.9186529999999999,1.1503565,0.228359,0.031725,0.0,0.0,0.871885,0.871885,0,,0,1.6057793556705975,18
deathstarbench_social_network,completion_projected,counts,ours_prepared,54,54,0,0.6514905,0.4109685,0.653605,0.2406735,0.030928,0.0,0.0,0.36462,0.36462,0,0.6341298126730261,18,,0
deathstarbench_social_network,completion_projected,counts,cudd_fixed,54,54,0,0.675125,0.43782350000000003,0.6772545,0.2320565,0.032947000000000004,0.0,0.0,0.3905305,0.3905305,0,0.6619887718327104,18,1.061713075280291,18
deathstarbench_social_network,completion_projected,counts,cudd_sift,54,54,0,0.6899934999999999,0.4525715,0.6921215000000001,0.23126999999999998,0.031835,0.0,0.0,0.407497,0.407497,0,0.6869950524402427,18,1.0759316441099736,18
deathstarbench_social_network,completion_projected,counts,agrum_conditioned,54,54,0,7.131928,6.8926324999999995,7.1344935,0.2387795,0.0357925,0.0,0.0020135,6.8427545,6.8408555,0,4.855022715517233,18,10.693779872587001,18
deathstarbench_social_network,completion_projected,counts,agrum_joint,54,54,0,2.3784140000000003,2.141929,2.3808985,0.23138950000000003,0.034009,0.0,0.001924,2.094295,2.0924769999999997,0,2.115034882225963,18,3.5366237540505754,18
deathstarbench_social_network,completion_projected,counts,storm_sparse,54,54,0,1.8283495,1.5898565,1.8307665000000002,0.233885,0.034214499999999995,0.0,0.13777450000000002,1.5423974999999999,1.3988255,0,1.4177614318766798,18,2.6732421032930285,18
deathstarbench_social_network,completion_projected,counts,storm_compact,54,54,0,1.2048765,0.973061,1.2073485000000002,0.24592799999999998,0.0340245,0.0,0.130576,0.925936,0.79748,0,0.9626416549046781,18,1.6624508589598885,18
deathstarbench_social_network,completion_projected,masks,ours_direct,54,54,0,1.448194,1.2175655,1.4504569999999999,0.235979,0.031679,0.0,0.0,1.1846640000000002,1.1846640000000002,0,,0,2.069788202521323,18
deathstarbench_social_network,completion_projected,masks,ours_prepared,54,54,0,0.6609529999999999,0.418697,0.662872,0.2346365,0.030738,0.0,0.0,0.3629475,0.3629475,0,0.49530477584029636,18,,0
deathstarbench_social_network,completion_projected,masks,cudd_fixed,54,54,0,0.6863705,0.4487895,0.68848,0.23965,0.034009,0.0,0.0,0.402422,0.402422,0,0.5311281409029734,18,1.0596344395802917,18
deathstarbench_social_network,completion_projected,masks,cudd_sift,54,54,0,0.6809255,0.44180050000000004,0.6828945,0.22739750000000003,0.0339335,0.0,0.0,0.396987,0.396987,0,0.5217722109681427,18,1.031512865972402,18
deathstarbench_social_network,completion_projected,masks,agrum_conditioned,54,54,0,8.710569,8.4464175,8.702555,0.24071800000000002,0.035642,0.0,1.011168,8.396608500000001,7.358871,0,4.657663922281264,18,12.909602929496796,18
deathstarbench_social_network,completion_projected,masks,agrum_joint,54,54,0,5.3225705,5.0729310000000005,5.325077,0.237166,0.034324499999999994,0.0,1.0054465,5.0189245,4.031602,0,4.794646218233734,18,8.072294543168857,18
deathstarbench_social_network,completion_projected,masks,storm_sparse,54,54,0,4.603051,4.36353,4.605409,0.2400515,0.034353999999999996,0.0,2.532936,4.3127545,1.7796889999999999,0,3.3623670155731693,18,6.664061580197103,18
deathstarbench_social_network,completion_projected,masks,storm_compact,54,54,0,4.0513034999999995,3.7941475,4.0536645,0.261091,0.034545,0.0,2.796329,3.7458055000000003,0.9618389999999999,0,3.328266782573408,18,6.025206811361717,18
deathstarbench_social_network,completion_projected,metadata,ours_direct,54,54,0,1.4602564999999998,1.217746,1.4623495,0.246769,0.0299865,0.0,0.0,1.1874295,1.1874295,0,,0,2.1073371345917407,18
deathstarbench_social_network,completion_projected,metadata,ours_prepared,54,54,0,0.640145,0.4049875,0.6433355000000001,0.2383125,0.029665999999999998,0.0,0.0,0.35980650000000003,0.35980650000000003,0,0.4887560661839384,18,,0
deathstarbench_social_network,completion_projected,metadata,cudd_fixed,54,54,0,0.6698205,0.431101,0.6719984999999999,0.232933,0.029596,0.0,0.0,0.3849095,0.3849095,0,0.5198046498983087,18,1.0414740446101391,18
deathstarbench_social_network,completion_projected,metadata,cudd_sift,54,54,0,0.669996,0.432429,0.672029,0.2357285,0.029095,0.0,0.0,0.386187,0.386187,0,0.5308847721646963,18,1.0319164014603874,18
deathstarbench_social_network,completion_projected,metadata,agrum_conditioned,54,54,0,7.247064999999999,6.996303,7.1481145,0.24497549999999998,0.034089499999999995,0.0,0.0020334999999999997,6.930564499999999,6.9283855,0,3.448825472479826,18,9.871068386688066,18
deathstarbench_social_network,completion_projected,metadata,agrum_joint,54,54,0,2.3701689999999997,2.1310445,2.372703,0.241319,0.0338735,0.0,0.001964,2.0835245000000002,2.081626,0,1.764777652283954,18,3.330653098792637,18
