profile,case_id,phase,representation,method,baseline,paired_rounds,other_over_ours,kernel_other_over_ours,min_ratio,max_ratio
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,initial,completion_projected,storm_compact,ours_prepared,3,2.587619421929883,2.8837876571873498,2.5266269764010287,2.6571917128278435
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,original,ours_direct,ours_prepared,3,3.6216079183037206,3.6569724467168427,3.5743154251719287,3.627878038631066
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,original,ours_prepared,ours_direct,3,0.2761204477563594,0.2734502418517755,0.27564322431779914,0.2797738534650726
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,original,cudd_fixed,ours_direct,3,0.3035921895462685,0.30104585607934903,0.30018496384997123,0.3119719000515309
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,original,cudd_fixed,ours_prepared,3,1.1013954371548274,1.1009164008804635,1.087152242034772,1.1150859745743822
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,original,cudd_sift,ours_direct,3,0.31635628113327235,0.3138727314401676,0.30646132696327133,0.31986489616649
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,original,cudd_sift,ours_prepared,3,1.1307571355046826,1.1320677693511694,1.1098827683840489,1.1604308321314152
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,original,agrum_conditioned,ours_direct,3,4.93222591695101,4.942737830218546,4.897412866873792,5.053721423432912
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,original,agrum_conditioned,ours_prepared,3,17.893514085673537,18.075456056454215,17.73650921787265,18.063594438298097
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,original,agrum_joint,ours_direct,3,1.3326118960863096,1.3330217708474668,1.3217141191268214,1.3400690140358018
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,original,agrum_joint,ours_prepared,3,4.789829347663105,4.840460503110935,4.786730319563523,4.8345534318300265
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,original,storm_sparse,ours_direct,3,1.6613188993915204,1.6624354471005425,1.6476359050573806,1.7116716714219873
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,original,storm_sparse,ours_prepared,3,6.02706235026523,6.07948062449208,5.967091240237327,6.118054457993427
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,original,storm_compact,ours_direct,3,0.6355286778265788,0.6321658673804686,0.6095286304165337,0.6585670318805843
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,original,storm_compact,ours_prepared,3,2.3056205332072834,2.3118131587652275,2.207473714349341,2.353926300560466
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,completion_projected,ours_direct,ours_prepared,3,2.1028962221828085,2.87612623080345,2.0904180581575305,2.1404962964499865
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,completion_projected,ours_prepared,ours_direct,3,0.4755346409638793,0.34768988554464403,0.46718137361811846,0.4783732115677321
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,completion_projected,cudd_fixed,ours_direct,3,0.5077558599695586,0.3909483378793888,0.505887384833108,0.5221223900516222
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,completion_projected,cudd_fixed,ours_prepared,3,1.0828500736560367,1.1230201337878944,1.0614220188156716,1.0979692015566151
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,completion_projected,cudd_sift,ours_direct,3,0.516865903785712,0.396244324813445,0.514221687482734,0.5186441400304413
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,completion_projected,cudd_sift,ours_prepared,3,1.0869153564460767,1.154308744322543,1.0841830760772175,1.1006896176110545
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,completion_projected,agrum_conditioned,ours_direct,3,4.9828943683409435,5.931996250998425,4.979867906422205,4.990535099883162
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,completion_projected,agrum_conditioned,ours_prepared,3,10.494577408215005,17.172363265207782,10.41633236947137,10.659388810506877
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,completion_projected,agrum_joint,ours_direct,3,1.6901808219178083,1.830031121930176,1.6461880425142126,1.693521920217503
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,completion_projected,agrum_joint,ours_prepared,3,3.5331845116885234,5.286469295479142,3.523659408261925,3.561300848209162
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,completion_projected,storm_sparse,ours_direct,3,1.439779604261796,1.539157941728864,1.3956203866602692,1.4834435566492443
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,completion_projected,storm_sparse,ours_prepared,3,3.009741284515761,4.48564588585484,2.9873202688964042,3.1195278510991247
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,completion_projected,storm_compact,ours_direct,3,0.8543622526636225,0.8147159156243212,0.8354094876678735,0.9152748182307545
