profile,case_id,phase,functional,lower_exact,upper_exact,status
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,metadata,without_deadline,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,metadata,without_deadline_minus_execution,0,68/945,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,metadata,without_selection,0,877/945,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,metadata,without_selection_minus_execution,0,1/1890,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,execution,143/150,143/150,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,reachability,143/150,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,reachability_minus_execution,0,7/150,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,selected,143/150,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,selected_minus_execution,0,7/150,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,without_completion,143/150,229/240,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,without_completion_minus_execution,0,1/1200,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,without_deadline,143/150,1199/1200,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,without_deadline_minus_execution,0,11/240,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,without_selection,143/150,143/150,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,execution,143/150,143/150,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,reachability,143/150,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,reachability_minus_execution,0,7/150,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,selected,143/150,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,selected_minus_execution,0,7/150,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,without_completion,143/150,229/240,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,without_completion_minus_execution,0,1/1200,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,without_deadline,143/150,1199/1200,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,without_deadline_minus_execution,0,11/240,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,without_selection,143/150,143/150,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,restore,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,structure,execution,0,877/945,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,structure,reachability,1753/1890,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,structure,reachability_minus_execution,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,structure,selected,1753/1890,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,structure,selected_minus_execution,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,structure,without_completion,1753/1890,877/945,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,structure,without_completion_minus_execution,0,877/945,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,structure,without_deadline,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,structure,without_deadline_minus_execution,0,68/945,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,structure,without_selection,0,877/945,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,structure,without_selection_minus_execution,0,1/1890,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,counts,execution,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,counts,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,counts,reachability_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,counts,selected,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,counts,selected_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,counts,without_completion,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,counts,without_completion_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,counts,without_deadline,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,counts,without_deadline_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,counts,without_selection,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,counts,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,initial,execution,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,initial,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,initial,reachability_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,initial,selected,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,initial,selected_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,initial,without_completion,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,initial,without_completion_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,initial,without_deadline,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,initial,without_deadline_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,initial,without_selection,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,initial,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,masks,execution,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,masks,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,masks,reachability_minus_execution,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,masks,selected,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,masks,selected_minus_execution,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,masks,without_completion,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,masks,without_completion_minus_execution,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,masks,without_deadline,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,masks,without_deadline_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,masks,without_selection,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,masks,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,metadata,execution,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,metadata,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,metadata,reachability_minus_execution,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,metadata,selected,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,metadata,selected_minus_execution,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,metadata,without_completion,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,metadata,without_completion_minus_execution,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,metadata,without_deadline,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,metadata,without_deadline_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,metadata,without_selection,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,metadata,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,repeat,execution,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,repeat,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,repeat,reachability_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,repeat,selected,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,repeat,selected_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,repeat,without_completion,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,repeat,without_completion_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,repeat,without_deadline,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,repeat,without_deadline_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,repeat,without_selection,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,repeat,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,restore,execution,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,restore,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,restore,reachability_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,restore,selected,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,restore,selected_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,restore,without_completion,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,restore,without_completion_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,restore,without_deadline,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,restore,without_deadline_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,restore,without_selection,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,restore,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,structure,execution,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,structure,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,structure,reachability_minus_execution,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,structure,selected,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,structure,selected_minus_execution,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,structure,without_completion,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,structure,without_completion_minus_execution,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,structure,without_deadline,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,structure,without_deadline_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,structure,without_selection,0,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_home_timeline,structure,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,counts,execution,246/257,246/257,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,counts,reachability,246/257,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,counts,reachability_minus_execution,0,11/257,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,counts,selected,246/257,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,counts,selected_minus_execution,0,11/257,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,counts,without_completion,246/257,246/257,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,counts,without_completion_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,counts,without_deadline,246/257,1,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,counts,without_deadline_minus_execution,0,11/257,ambiguous
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,counts,without_selection,246/257,246/257,singleton_given_empirical_observation_law
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,counts,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
