profile,case_id,method,representation,round,returncode,timed_out,wall_seconds,cpu_seconds,peak_rss_mib
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,cudd_fixed,completion_projected,0,0,False,0.24,0.23,61.203125
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,cudd_sift,original,0,0,False,0.24,0.23,61.24609375
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,cudd_sift,completion_projected,0,0,False,0.24,0.24000000000000002,61.40625
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,agrum_conditioned,original,0,0,False,0.19,0.19,47.80078125
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,agrum_conditioned,completion_projected,0,0,False,0.19,0.19,47.8125
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,agrum_joint,original,0,0,False,0.17,0.16999999999999998,47.9453125
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,agrum_joint,completion_projected,0,0,False,0.17,0.16,47.9453125
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,storm_sparse,original,0,0,False,0.24,0.23,94.55859375
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,storm_sparse,completion_projected,0,0,False,0.23,0.23,94.4765625
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,storm_compact,original,0,0,False,0.23,0.22,94.5625
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,storm_compact,completion_projected,0,0,False,0.24,0.23,94.60546875
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,ours_direct,original,0,0,False,0.12,0.11,36.015625
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/read_user_timeline,ours_direct,completion_projected,0,0,False,0.12,0.11,36.1015625
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/1/compose_post,ours_prepared,completion_projected,0,0,False,0.12,0.12,36.1328125
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/1/compose_post,cudd_fixed,original,0,0,False,0.24,0.23,61.26953125
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/1/compose_post,cudd_fixed,completion_projected,0,0,False,0.24,0.24000000000000002,61.4765625
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/1/compose_post,cudd_sift,original,0,0,False,0.24,0.23,61.3359375
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/1/compose_post,cudd_sift,completion_projected,0,0,False,0.24,0.23,61.36328125
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/1/compose_post,agrum_conditioned,original,0,0,False,0.23,0.22999999999999998,48.328125
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/1/compose_post,agrum_conditioned,completion_projected,0,0,False,0.21,0.21,47.9609375
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/1/compose_post,agrum_joint,original,0,0,False,0.19,0.19,48.28125
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/1/compose_post,agrum_joint,completion_projected,0,0,False,0.17,0.16999999999999998,48.05859375
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/1/compose_post,storm_sparse,original,0,0,False,0.25,0.25,94.98828125
