job_id,name,conclusion,started_at,completed_at,runner_seconds
101732051885,main / split / ND / r14,success,2026-09-07T13:02:25Z,2026-09-07T13:36:49Z,2064.0
101732052187,main / colocated / N / r15,success,2026-09-07T13:36:02Z,2026-09-07T14:10:45Z,2083.0
101732052427,main / split / N / r15,success,2026-09-07T13:36:03Z,2026-09-07T14:10:36Z,2073.0
101732052458,main / colocated / ND / r15,success,2026-09-07T13:36:03Z,2026-09-07T14:10:36Z,2073.0
101732052548,main / split / ND / r15,success,2026-09-07T13:36:05Z,2026-09-07T14:11:02Z,2097.0
101732052556,main / colocated / ND / r16,success,2026-09-07T13:36:06Z,2026-09-07T14:10:29Z,2063.0
101732052658,main / colocated / N / r16,success,2026-09-07T13:36:06Z,2026-09-07T14:10:40Z,2074.0
101732052663,main / split / N / r16,success,2026-09-07T13:36:13Z,2026-09-07T14:10:43Z,2070.0
101732053101,main / split / ND / r16,success,2026-09-07T13:36:15Z,2026-09-07T14:10:32Z,2057.0
101732053235,main / colocated / N / r17,success,2026-09-07T13:36:16Z,2026-09-07T14:10:52Z,2076.0
101732053338,main / colocated / ND / r17,success,2026-09-07T13:36:17Z,2026-09-07T14:10:52Z,2075.0
101732053571,main / split / ND / r17,success,2026-09-07T13:36:24Z,2026-09-07T14:10:44Z,2060.0
101732053584,main / split / N / r17,success,2026-09-07T13:36:19Z,2026-09-07T14:10:50Z,2071.0
101732053794,main / colocated / N / r18,success,2026-09-07T13:36:31Z,2026-09-07T14:10:56Z,2065.0
101732053861,main / colocated / ND / r18,success,2026-09-07T13:36:32Z,2026-09-07T14:10:54Z,2062.0
101732053889,main / split / ND / r18,success,2026-09-07T13:37:16Z,2026-09-07T14:11:35Z,2059.0
101732053919,main / split / N / r18,success,2026-09-07T13:36:40Z,2026-09-07T14:11:05Z,2065.0
101732054055,main / colocated / N / r19,success,2026-09-07T13:36:41Z,2026-09-07T14:11:06Z,2065.0
101732054279,main / colocated / ND / r19,success,2026-09-07T13:36:49Z,2026-09-07T14:11:11Z,2062.0
101732054576,main / split / ND / r19,success,2026-09-07T13:36:59Z,2026-09-07T14:11:38Z,2079.0
101732054604,main / split / N / r19,success,2026-09-07T13:37:27Z,2026-09-07T14:12:05Z,2078.0
101732054947,main / colocated / ND / r20,success,2026-09-07T14:10:34Z,2026-09-07T14:45:05Z,2071.0
101732054952,main / split / N / r20,success,2026-09-07T14:10:38Z,2026-09-07T14:45:14Z,2076.0
101732054958,main / colocated / N / r20,success,2026-09-07T14:10:31Z,2026-09-07T14:44:51Z,2060.0
101732054989,main / split / ND / r20,success,2026-09-07T14:10:38Z,2026-09-07T14:45:45Z,2107.0
101732055071,main / colocated / N / r21,success,2026-09-07T14:10:42Z,2026-09-07T14:45:00Z,2058.0
101732055136,main / colocated / ND / r21,success,2026-09-07T14:10:45Z,2026-09-07T14:45:08Z,2063.0
101732055228,main / split / N / r21,success,2026-09-07T14:10:47Z,2026-09-07T14:45:20Z,2073.0
101732055654,main / split / ND / r21,success,2026-09-07T14:10:47Z,2026-09-07T14:45:10Z,2063.0
101732055761,main / colocated / ND / r22,success,2026-09-07T14:10:54Z,2026-09-07T14:45:13Z,2059.0
101732055782,main / colocated / N / r22,success,2026-09-07T14:10:52Z,2026-09-07T14:45:08Z,2056.0
101732056078,main / split / N / r22,success,2026-09-07T14:10:54Z,2026-09-07T14:45:18Z,2064.0
101732056136,main / split / ND / r22,success,2026-09-07T14:10:56Z,2026-09-07T14:45:16Z,2060.0
101732056148,main / colocated / N / r23,success,2026-09-07T14:10:59Z,2026-09-07T14:45:28Z,2069.0
101732056183,main / split / N / r23,success,2026-09-07T14:11:08Z,2026-09-07T14:45:39Z,2071.0
101732056189,main / colocated / ND / r23,success,2026-09-07T14:11:04Z,2026-09-07T14:45:32Z,2068.0
101732056299,main / split / ND / r23,success,2026-09-07T14:11:08Z,2026-09-07T14:45:30Z,2062.0
101732056520,main / colocated / N / r24,success,2026-09-07T14:11:13Z,2026-09-07T14:45:46Z,2073.0
101732057030,main / colocated / ND / r24,success,2026-09-07T14:11:36Z,2026-09-07T14:46:03Z,2067.0
101732057081,main / split / N / r24,success,2026-09-07T14:11:40Z,2026-09-07T14:46:34Z,2094.0
101732057230,main / split / ND / r24,success,2026-09-07T14:12:07Z,2026-09-07T14:46:25Z,2058.0
101732057297,main / colocated / N / r25,success,2026-09-07T14:44:53Z,2026-09-07T15:19:15Z,2062.0
101732057341,main / colocated / ND / r25,success,2026-09-07T14:45:02Z,2026-09-07T15:20:18Z,2116.0
101732057489,main / colocated / N / r26,success,2026-09-07T14:45:10Z,2026-09-07T15:19:45Z,2075.0
101732057493,main / split / ND / r25,success,2026-09-07T14:45:10Z,2026-09-07T15:19:31Z,2061.0
101732057538,main / colocated / ND / r26,success,2026-09-07T14:45:12Z,2026-09-07T15:20:11Z,2099.0
101732057769,main / split / N / r25,success,2026-09-07T14:45:07Z,2026-09-07T15:19:41Z,2074.0
101732057922,main / split / N / r26,success,2026-09-07T14:45:15Z,2026-09-07T15:19:40Z,2065.0
101732058200,main / split / ND / r26,success,2026-09-07T14:45:15Z,2026-09-07T15:19:39Z,2064.0
101732058362,main / split / N / r27,success,2026-09-07T14:45:23Z,2026-09-07T15:19:57Z,2074.0
101732058438,main / split / ND / r27,success,2026-09-07T14:45:30Z,2026-09-07T15:19:53Z,2063.0
101732058443,main / colocated / N / r27,success,2026-09-07T14:45:18Z,2026-09-07T15:19:32Z,2054.0
101732058482,main / colocated / ND / r27,success,2026-09-07T14:45:21Z,2026-09-07T15:19:38Z,2057.0
101732058596,main / colocated / N / r28,success,2026-09-07T14:45:31Z,2026-09-07T15:20:07Z,2076.0
101732058609,main / colocated / ND / r28,success,2026-09-07T14:45:34Z,2026-09-07T15:19:58Z,2064.0
101732058672,main / split / N / r28,success,2026-09-07T14:45:41Z,2026-09-07T15:20:10Z,2069.0
101732059224,main / colocated / N / r29,success,2026-09-07T14:45:48Z,2026-09-07T15:20:27Z,2079.0
101732059262,main / split / ND / r28,success,2026-09-07T14:45:47Z,2026-09-07T15:20:14Z,2067.0
101732059356,main / colocated / ND / r29,success,2026-09-07T14:46:05Z,2026-09-07T15:20:22Z,2057.0
101732059387,main / split / N / r29,success,2026-09-07T14:46:27Z,2026-09-07T15:20:54Z,2067.0
101732059495,main / split / ND / r29,success,2026-09-07T14:46:36Z,2026-09-07T15:21:04Z,2068.0
101792869223,Freeze all predictions on learner-only artifacts,success,2026-09-07T15:21:06Z,2026-09-07T15:23:39Z,153.0
101793568761,Score untouched evaluation and all three frozen quantities,success,2026-09-07T15:23:41Z,2026-09-07T15:24:36Z,55.0
