profile,placement,failure_law,repetition,method,shared_test_parse_selection_seconds,method_scoring_seconds,test_request_bytes,test_health_bytes
opentelemetry_demo,colocated,N,7,temporal_logit_midpoint,0.19167845799998418,0.0003270519999887256,786134,159736
opentelemetry_demo,colocated,N,7,temporal_logit_upper,0.19167845799998418,0.00032108500002436813,786134,159736
opentelemetry_demo,colocated,N,7,source_500ms_failover,0.19167845799998418,0.00020468299999265582,786134,159736
opentelemetry_demo,colocated,N,7,matched_stable_endpoint,0.19167845799998418,0.00012704399998142435,786134,159736
opentelemetry_demo,colocated,N,7,all_calibration_endpoint,0.19167845799998418,0.00011638800000923766,786134,159736
opentelemetry_demo,colocated,N,8,learner_state_only,0.19028661400000146,0.00029310600001508647,786134,159580
opentelemetry_demo,colocated,N,8,temporal_logit_lower,0.19028661400000146,0.0003478410000070653,786134,159580
opentelemetry_demo,colocated,N,8,temporal_logit_midpoint,0.19028661400000146,0.00031968599998322134,786134,159580
opentelemetry_demo,colocated,N,8,temporal_logit_upper,0.19028661400000146,0.0003277540000112822,786134,159580
opentelemetry_demo,colocated,N,8,source_500ms_failover,0.19028661400000146,0.00021188900001334332,786134,159580
opentelemetry_demo,colocated,N,8,matched_stable_endpoint,0.19028661400000146,0.00013280900000722795,786134,159580
opentelemetry_demo,colocated,N,8,all_calibration_endpoint,0.19028661400000146,0.00012258600000336628,786134,159580
opentelemetry_demo,colocated,N,9,learner_state_only,0.19076208900000324,0.00029130500001883775,786134,159559
opentelemetry_demo,colocated,N,9,temporal_logit_lower,0.19076208900000324,0.00034863600001244777,786134,159559
opentelemetry_demo,colocated,N,9,temporal_logit_midpoint,0.19076208900000324,0.0003048259999900438,786134,159559
opentelemetry_demo,colocated,N,9,temporal_logit_upper,0.19076208900000324,0.00030080799999154806,786134,159559
opentelemetry_demo,colocated,N,9,source_500ms_failover,0.19076208900000324,0.0002194799999983843,786134,159559
opentelemetry_demo,colocated,N,9,matched_stable_endpoint,0.19076208900000324,0.00013157099999716593,786134,159559
opentelemetry_demo,colocated,N,9,all_calibration_endpoint,0.19076208900000324,0.00012081599999191894,786134,159559
opentelemetry_demo,colocated,N,10,learner_state_only,0.1920629070000075,0.0002826749999940148,793334,160247
opentelemetry_demo,colocated,N,10,temporal_logit_lower,0.1920629070000075,0.00032180499999867607,793334,160247
opentelemetry_demo,colocated,N,10,temporal_logit_midpoint,0.1920629070000075,0.0002912239999943722,793334,160247
opentelemetry_demo,colocated,N,10,temporal_logit_upper,0.1920629070000075,0.0002886510000053022,793334,160247
opentelemetry_demo,colocated,N,10,source_500ms_failover,0.1920629070000075,0.0002180429999896205,793334,160247
opentelemetry_demo,colocated,N,10,matched_stable_endpoint,0.1920629070000075,0.00013397200001463716,793334,160247
opentelemetry_demo,colocated,N,10,all_calibration_endpoint,0.1920629070000075,0.00012342299999090756,793334,160247
opentelemetry_demo,colocated,N,11,learner_state_only,0.19270053999997572,0.0002885440000000017,793334,160499
opentelemetry_demo,colocated,N,11,temporal_logit_lower,0.19270053999997572,0.0003367589999925258,793334,160499
opentelemetry_demo,colocated,N,11,temporal_logit_midpoint,0.19270053999997572,0.0003292819999956009,793334,160499
opentelemetry_demo,colocated,N,11,temporal_logit_upper,0.19270053999997572,0.00031757400000742564,793334,160499
opentelemetry_demo,colocated,N,11,source_500ms_failover,0.19270053999997572,0.0002077380000002904,793334,160499
opentelemetry_demo,colocated,N,11,matched_stable_endpoint,0.19270053999997572,0.00013196199998333213,793334,160499
opentelemetry_demo,colocated,N,11,all_calibration_endpoint,0.19270053999997572,0.00012771400000133326,793334,160499
opentelemetry_demo,colocated,N,12,learner_state_only,0.1913820520000229,0.00027625500001704495,793334,160447
opentelemetry_demo,colocated,N,12,temporal_logit_lower,0.1913820520000229,0.0003525159999924199,793334,160447
opentelemetry_demo,colocated,N,12,temporal_logit_midpoint,0.1913820520000229,0.0003121879999810062,793334,160447
opentelemetry_demo,colocated,N,12,temporal_logit_upper,0.1913820520000229,0.00032091799999989234,793334,160447
opentelemetry_demo,colocated,N,12,source_500ms_failover,0.1913820520000229,0.00022393199998305136,793334,160447
opentelemetry_demo,colocated,N,12,matched_stable_endpoint,0.1913820520000229,0.00013100500001428372,793334,160447
opentelemetry_demo,colocated,N,12,all_calibration_endpoint,0.1913820520000229,0.00012235400001259222,793334,160447
opentelemetry_demo,colocated,N,13,learner_state_only,0.19120285500000023,0.00027745500000264656,793335,160247
opentelemetry_demo,colocated,N,13,temporal_logit_lower,0.19120285500000023,0.0003219669999907637,793335,160247
opentelemetry_demo,colocated,N,13,temporal_logit_midpoint,0.19120285500000023,0.0003024469999957091,793335,160247
opentelemetry_demo,colocated,N,13,temporal_logit_upper,0.19120285500000023,0.00031757299998957933,793335,160247
opentelemetry_demo,colocated,N,13,source_500ms_failover,0.19120285500000023,0.00021725599998489997,793335,160247
opentelemetry_demo,colocated,N,13,matched_stable_endpoint,0.19120285500000023,0.00013959000000340893,793335,160247
opentelemetry_demo,colocated,N,13,all_calibration_endpoint,0.19120285500000023,0.00012976100001083068,793335,160247
opentelemetry_demo,colocated,N,14,learner_state_only,0.19697272199999816,0.00027710200001251906,793334,161077
opentelemetry_demo,colocated,N,14,temporal_logit_lower,0.19697272199999816,0.0003424520000123721,793334,161077
opentelemetry_demo,colocated,N,14,temporal_logit_midpoint,0.19697272199999816,0.00029925699999466815,793334,161077
opentelemetry_demo,colocated,N,14,temporal_logit_upper,0.19697272199999816,0.000305179000008593,793334,161077
opentelemetry_demo,colocated,N,14,source_500ms_failover,0.19697272199999816,0.00020844200000169621,793334,161077
opentelemetry_demo,colocated,N,14,matched_stable_endpoint,0.19697272199999816,0.00012877100002128827,793334,161077
opentelemetry_demo,colocated,N,14,all_calibration_endpoint,0.19697272199999816,0.00012159199999928205,793334,161077
opentelemetry_demo,colocated,N,15,learner_state_only,0.19284895399999868,0.00028683700000442514,793334,160536
opentelemetry_demo,colocated,N,15,temporal_logit_lower,0.19284895399999868,0.0003441180000152144,793334,160536
opentelemetry_demo,colocated,N,15,temporal_logit_midpoint,0.19284895399999868,0.00030822799999441486,793334,160536
opentelemetry_demo,colocated,N,15,temporal_logit_upper,0.19284895399999868,0.0003062429999829419,793334,160536
opentelemetry_demo,colocated,N,15,source_500ms_failover,0.19284895399999868,0.0002167339999914475,793334,160536
opentelemetry_demo,colocated,N,15,matched_stable_endpoint,0.19284895399999868,0.00012818900000866051,793334,160536
opentelemetry_demo,colocated,N,15,all_calibration_endpoint,0.19284895399999868,0.0001179840000133936,793334,160536
opentelemetry_demo,colocated,N,16,learner_state_only,0.19238259699997684,0.00029545500001404434,793334,161093
opentelemetry_demo,colocated,N,16,temporal_logit_lower,0.19238259699997684,0.0003568199999790522,793334,161093
opentelemetry_demo,colocated,N,16,temporal_logit_midpoint,0.19238259699997684,0.0003356349999990016,793334,161093
opentelemetry_demo,colocated,N,16,temporal_logit_upper,0.19238259699997684,0.0003477019999991171,793334,161093
