profile,placement,failure_law,repetition,method,test_requests,test_success_rate,mean_conditional_probability,brier_score,uses_heldout_health
opentelemetry_demo,colocated,N,0,learner_state_only,1026,0.8440545808966862,0.8467561116376643,0.031945876005014626,True
opentelemetry_demo,colocated,N,0,temporal_logit_lower,1026,0.8440545808966862,0.8492764501441112,0.022282695854302,True
opentelemetry_demo,colocated,N,0,temporal_logit_midpoint,1026,0.8440545808966862,0.8493012452200087,0.022246732684245107,True
opentelemetry_demo,colocated,N,0,temporal_logit_upper,1026,0.8440545808966862,0.8493212112294574,0.022217434580118153,True
opentelemetry_demo,colocated,N,0,source_500ms_failover,1026,0.8440545808966862,0.9725170264481505,0.1348169658680733,True
opentelemetry_demo,colocated,N,0,matched_stable_endpoint,1026,0.8440545808966862,0.8328402366863905,0.13175220688007264,False
opentelemetry_demo,colocated,N,0,all_calibration_endpoint,1026,0.8440545808966862,0.7972522897585346,0.13381689981978592,False
opentelemetry_demo,colocated,N,1,learner_state_only,996,0.7771084337349398,0.7889463036674992,0.049971287643784536,True
opentelemetry_demo,colocated,N,1,temporal_logit_lower,996,0.7771084337349398,0.7941023949822783,0.04001931377713943,True
opentelemetry_demo,colocated,N,1,temporal_logit_midpoint,996,0.7771084337349398,0.7940660302359833,0.03994314422419612,True
opentelemetry_demo,colocated,N,1,temporal_logit_upper,996,0.7771084337349398,0.7940352011407655,0.03988177809576321,True
opentelemetry_demo,colocated,N,1,source_500ms_failover,996,0.7771084337349398,0.9778620655461351,0.2122939249759287,True
opentelemetry_demo,colocated,N,1,matched_stable_endpoint,996,0.7771084337349398,0.8527093596059113,0.17892641594551664,False
opentelemetry_demo,colocated,N,1,all_calibration_endpoint,996,0.7771084337349398,0.805578684429642,0.17402147112758767,False
opentelemetry_demo,colocated,N,2,learner_state_only,944,0.8146186440677966,0.8026638217825375,0.047926172219790265,True
opentelemetry_demo,colocated,N,2,temporal_logit_lower,944,0.8146186440677966,0.7971316835574336,0.0339240933568438,True
opentelemetry_demo,colocated,N,2,temporal_logit_midpoint,944,0.8146186440677966,0.7975360099032893,0.034210566808387625,True
opentelemetry_demo,colocated,N,2,temporal_logit_upper,944,0.8146186440677966,0.7979727909432771,0.034564001376913796,True
opentelemetry_demo,colocated,N,2,source_500ms_failover,944,0.8146186440677966,0.9759298493408662,0.16955509927692916,True
opentelemetry_demo,colocated,N,2,matched_stable_endpoint,944,0.8146186440677966,0.8126873126873126,0.15101883884584236,False
opentelemetry_demo,colocated,N,2,all_calibration_endpoint,944,0.8146186440677966,0.7772689425478768,0.15241010900856822,False
opentelemetry_demo,colocated,N,3,learner_state_only,979,0.822267620020429,0.8077151010360847,0.051122420264185675,True
opentelemetry_demo,colocated,N,3,temporal_logit_lower,979,0.822267620020429,0.8056878877159065,0.0339104934494215,True
opentelemetry_demo,colocated,N,3,temporal_logit_midpoint,979,0.822267620020429,0.805676953339922,0.033902147238340404,True
opentelemetry_demo,colocated,N,3,temporal_logit_upper,979,0.822267620020429,0.8056691999272467,0.033901118770898284,True
opentelemetry_demo,colocated,N,3,source_500ms_failover,979,0.822267620020429,0.9725091110858901,0.16251096218266886,True
opentelemetry_demo,colocated,N,3,matched_stable_endpoint,979,0.822267620020429,0.8063063063063063,0.14639834462184903,False
opentelemetry_demo,colocated,N,3,all_calibration_endpoint,979,0.822267620020429,0.7756036636136553,0.14832110591390166,False
opentelemetry_demo,colocated,N,4,learner_state_only,989,0.8109201213346815,0.8056143217151274,0.05126439190079202,True
opentelemetry_demo,colocated,N,4,temporal_logit_lower,989,0.8109201213346815,0.8182738788253792,0.038925029232765807,True
opentelemetry_demo,colocated,N,4,temporal_logit_midpoint,989,0.8109201213346815,0.8182387161581,0.03886221394447954,True
opentelemetry_demo,colocated,N,4,temporal_logit_upper,989,0.8109201213346815,0.8182050361957628,0.03881193434614746,True
opentelemetry_demo,colocated,N,4,source_500ms_failover,989,0.8109201213346815,0.9847832328452483,0.18181508558786183,True
opentelemetry_demo,colocated,N,4,matched_stable_endpoint,989,0.8109201213346815,0.8366633366633367,0.15399139128468445,False
opentelemetry_demo,colocated,N,4,all_calibration_endpoint,989,0.8109201213346815,0.795587010824313,0.1535637824271501,False
opentelemetry_demo,colocated,N,5,learner_state_only,998,0.8256513026052105,0.8294609106613108,0.04654441051975527,True
opentelemetry_demo,colocated,N,5,temporal_logit_lower,998,0.8256513026052105,0.8289743405398998,0.035677180111294525,True
opentelemetry_demo,colocated,N,5,temporal_logit_midpoint,998,0.8256513026052105,0.8289620629204573,0.0356488311513142,True
opentelemetry_demo,colocated,N,5,temporal_logit_upper,998,0.8256513026052105,0.8289499862881848,0.0356263664466482,True
opentelemetry_demo,colocated,N,5,source_500ms_failover,998,0.8256513026052105,0.9848647913110171,0.1693022151603924,True
opentelemetry_demo,colocated,N,5,matched_stable_endpoint,998,0.8256513026052105,0.8581943081452404,0.14501027632110808,False
opentelemetry_demo,colocated,N,5,all_calibration_endpoint,998,0.8256513026052105,0.8072439633638634,0.1442900592494757,False
opentelemetry_demo,colocated,N,6,learner_state_only,1007,0.82025819265144,0.823947398507365,0.03957347044019516,True
opentelemetry_demo,colocated,N,6,temporal_logit_lower,1007,0.82025819265144,0.8196231057790692,0.025891589011692893,True
opentelemetry_demo,colocated,N,6,temporal_logit_midpoint,1007,0.82025819265144,0.8195992439969392,0.025857660605655954,True
opentelemetry_demo,colocated,N,6,temporal_logit_upper,1007,0.82025819265144,0.8195797863243294,0.025833614578185674,True
opentelemetry_demo,colocated,N,6,source_500ms_failover,1007,0.82025819265144,0.9898794855762747,0.17561140754241722,True
opentelemetry_demo,colocated,N,6,matched_stable_endpoint,1007,0.82025819265144,0.7673575129533678,0.15023317195215122,False
opentelemetry_demo,colocated,N,6,all_calibration_endpoint,1007,0.82025819265144,0.7289758534554538,0.15576715548872427,False
opentelemetry_demo,colocated,N,7,learner_state_only,938,0.7899786780383795,0.7827586747844831,0.05490903570601849,True
opentelemetry_demo,colocated,N,7,temporal_logit_lower,938,0.7899786780383795,0.794868058855554,0.04014090381304015,True
opentelemetry_demo,colocated,N,7,temporal_logit_midpoint,938,0.7899786780383795,0.7949373405612269,0.04005057840319227,True
opentelemetry_demo,colocated,N,7,temporal_logit_upper,938,0.7899786780383795,0.7946666565424575,0.03931549370348286,True
opentelemetry_demo,colocated,N,7,source_500ms_failover,938,0.7899786780383795,0.9673392297770407,0.19385635185493916,True
opentelemetry_demo,colocated,N,7,matched_stable_endpoint,938,0.7899786780383795,0.8339824732229796,0.16784870027376206,False
opentelemetry_demo,colocated,N,7,all_calibration_endpoint,938,0.7899786780383795,0.7872606161532056,0.16591975414352547,False
opentelemetry_demo,colocated,N,8,learner_state_only,983,0.8331637843336724,0.8152776051560355,0.049671705398338824,True
opentelemetry_demo,colocated,N,8,temporal_logit_lower,983,0.8331637843336724,0.8103817731759765,0.03497676653664883,True
opentelemetry_demo,colocated,N,8,temporal_logit_midpoint,983,0.8331637843336724,0.8103136155178343,0.03493523439162269,True
opentelemetry_demo,colocated,N,8,temporal_logit_upper,983,0.8331637843336724,0.8102581872427173,0.034904373904192106,True
opentelemetry_demo,colocated,N,8,source_500ms_failover,983,0.8331637843336724,0.9887720884669002,0.16585683180134533,True
opentelemetry_demo,colocated,N,8,matched_stable_endpoint,983,0.8331637843336724,0.8078491335372069,0.13964272435341318,False
opentelemetry_demo,colocated,N,8,all_calibration_endpoint,983,0.8331637843336724,0.7606161532056619,0.1442650515907521,False
opentelemetry_demo,colocated,N,9,learner_state_only,980,0.8418367346938775,0.8330491381991847,0.04432952433262969,True
opentelemetry_demo,colocated,N,9,temporal_logit_lower,980,0.8418367346938775,0.8321946567701957,0.03606879798094217,True
opentelemetry_demo,colocated,N,9,temporal_logit_midpoint,980,0.8418367346938775,0.8323311461219227,0.03583921395095879,True
opentelemetry_demo,colocated,N,9,temporal_logit_upper,980,0.8418367346938775,0.8326572604717958,0.03526354358043552,True
opentelemetry_demo,colocated,N,9,source_500ms_failover,980,0.8418367346938775,0.9694885361552028,0.13814500651655265,True
opentelemetry_demo,colocated,N,9,matched_stable_endpoint,980,0.8418367346938775,0.8406862745098039,0.1331489703724627,False
opentelemetry_demo,colocated,N,9,all_calibration_endpoint,980,0.8418367346938775,0.7997502081598667,0.1349189225295256,False
opentelemetry_demo,colocated,N,10,learner_state_only,1005,0.8567164179104477,0.8461726770349683,0.038030998501542713,True
opentelemetry_demo,colocated,N,10,temporal_logit_lower,1005,0.8567164179104477,0.8479929062244365,0.036896287234451854,True
opentelemetry_demo,colocated,N,10,temporal_logit_midpoint,1005,0.8567164179104477,0.8480034517140773,0.03690985947234955,True
opentelemetry_demo,colocated,N,10,temporal_logit_upper,1005,0.8567164179104477,0.8480105914493478,0.036919979270555375,True
opentelemetry_demo,colocated,N,10,source_500ms_failover,1005,0.8567164179104477,0.9641606780910262,0.12591375541132926,True
opentelemetry_demo,colocated,N,10,matched_stable_endpoint,1005,0.8567164179104477,0.829405737704918,0.12349927044642749,False
opentelemetry_demo,colocated,N,10,all_calibration_endpoint,1005,0.8567164179104477,0.7689425478767694,0.13045764945382785,False
opentelemetry_demo,colocated,N,11,learner_state_only,988,0.8269230769230769,0.8311935942829827,0.04177007379526765,True
opentelemetry_demo,colocated,N,11,temporal_logit_lower,988,0.8269230769230769,0.8330103980916954,0.030900738684488106,True
opentelemetry_demo,colocated,N,11,temporal_logit_midpoint,988,0.8269230769230769,0.833031288891851,0.030911819704642147,True
opentelemetry_demo,colocated,N,11,temporal_logit_upper,988,0.8269230769230769,0.8330500515172967,0.030921945281308382,True
opentelemetry_demo,colocated,N,11,source_500ms_failover,988,0.8269230769230769,0.9807504873294346,0.1620059136709559,True
opentelemetry_demo,colocated,N,11,matched_stable_endpoint,988,0.8269230769230769,0.8489736070381231,0.1436075276535025,False
opentelemetry_demo,colocated,N,11,all_calibration_endpoint,988,0.8269230769230769,0.7972522897585346,0.14400165738611148,False
opentelemetry_demo,colocated,N,12,learner_state_only,986,0.8255578093306288,0.8142346837850883,0.04546399469240102,True
opentelemetry_demo,colocated,N,12,temporal_logit_lower,986,0.8255578093306288,0.7976284040765107,0.02809754877381319,True
opentelemetry_demo,colocated,N,12,temporal_logit_midpoint,986,0.8255578093306288,0.798465067100101,0.02821442175944867,True
opentelemetry_demo,colocated,N,12,temporal_logit_upper,986,0.8255578093306288,0.7995823305653517,0.02847710939061709,True
opentelemetry_demo,colocated,N,12,source_500ms_failover,986,0.8255578093306288,0.9807239626374176,0.15930437340570144,True
opentelemetry_demo,colocated,N,12,matched_stable_endpoint,986,0.8255578093306288,0.7970195272353545,0.14482654632879138,False
opentelemetry_demo,colocated,N,12,all_calibration_endpoint,986,0.8255578093306288,0.7606161532056619,0.1482295314840954,False
opentelemetry_demo,colocated,N,13,learner_state_only,1042,0.8723608445297505,0.8646112326390496,0.032363529586842806,True
opentelemetry_demo,colocated,N,13,temporal_logit_lower,1042,0.8723608445297505,0.8622013600522177,0.02576932191196465,True
opentelemetry_demo,colocated,N,13,temporal_logit_midpoint,1042,0.8723608445297505,0.862176914511101,0.025823564035162738,True
opentelemetry_demo,colocated,N,13,temporal_logit_upper,1042,0.8723608445297505,0.8621573119061225,0.025867347916317025,True
opentelemetry_demo,colocated,N,13,source_500ms_failover,1042,0.8723608445297505,0.9814281652093553,0.11568654683450541,True
opentelemetry_demo,colocated,N,13,matched_stable_endpoint,1042,0.8723608445297505,0.7871134020618556,0.11861452790840803,False
opentelemetry_demo,colocated,N,13,all_calibration_endpoint,1042,0.8723608445297505,0.7439633638634471,0.12783331450254473,False
