profile,placement,failure_law,repetition,method,test_requests,test_success_rate,prediction,signed_error,absolute_error,brier_score
opentelemetry_demo,colocated,N,0,learner_state_only,1026,0.8440545808966862,0.8283792140145178,-0.015675366882168418,0.015675366882168418,0.13187216249089628
opentelemetry_demo,colocated,N,0,temporal_logit_lower,1026,0.8440545808966862,0.8284112410146066,-0.015643339882079554,0.015643339882079554,0.13187115944667194
opentelemetry_demo,colocated,N,0,temporal_logit_midpoint,1026,0.8440545808966862,0.8284123507283966,-0.015642230168289584,0.015642230168289584,0.13187112472864337
opentelemetry_demo,colocated,N,0,temporal_logit_upper,1026,0.8440545808966862,0.828413260894393,-0.015641320002293124,0.015641320002293124,0.13187109625541982
opentelemetry_demo,colocated,N,0,source_500ms_failover,1026,0.8440545808966862,0.9859785748235896,0.14192399392690347,0.14192399392690347,0.1517688654161694
opentelemetry_demo,colocated,N,0,matched_stable_endpoint,1026,0.8440545808966862,0.8328402366863905,-0.011214344210295657,0.011214344210295657,0.1317522068800726
opentelemetry_demo,colocated,N,0,all_calibration_endpoint,1026,0.8440545808966862,0.7972522897585346,-0.0468022911381516,0.0468022911381516,0.13381689981978584
opentelemetry_demo,colocated,N,1,learner_state_only,996,0.7771084337349398,0.8442058165621152,0.06709738282717548,0.06709738282717548,0.17771297473522507
opentelemetry_demo,colocated,N,1,temporal_logit_lower,996,0.7771084337349398,0.8441986532624653,0.06709021952752559,0.06709021952752559,0.17771201350922017
opentelemetry_demo,colocated,N,1,temporal_logit_midpoint,996,0.7771084337349398,0.8441985003544018,0.06709006661946204,0.06709006661946204,0.17771199299197238
opentelemetry_demo,colocated,N,1,temporal_logit_upper,996,0.7771084337349398,0.8441983597061561,0.06708992597121632,0.06708992597121632,0.17771197411979178
opentelemetry_demo,colocated,N,1,source_500ms_failover,996,0.7771084337349398,0.978145469598461,0.20103703586352129,0.20103703586352129,0.21362680574175918
opentelemetry_demo,colocated,N,1,matched_stable_endpoint,996,0.7771084337349398,0.8527093596059113,0.07560092587097156,0.07560092587097156,0.17892641594551661
opentelemetry_demo,colocated,N,1,all_calibration_endpoint,996,0.7771084337349398,0.805578684429642,0.028470250694702215,0.028470250694702215,0.1740214711275877
opentelemetry_demo,colocated,N,2,learner_state_only,944,0.8146186440677966,0.8083580223117789,-0.006260621756017715,0.006260621756017715,0.151054304189713
opentelemetry_demo,colocated,N,2,temporal_logit_lower,944,0.8146186440677966,0.8090363066710949,-0.005582337396701664,0.005582337396701664,0.15104627129575177
opentelemetry_demo,colocated,N,2,temporal_logit_midpoint,944,0.8146186440677966,0.8094927081306068,-0.005125935937189796,0.005125935937189796,0.15104138402417322
opentelemetry_demo,colocated,N,2,temporal_logit_upper,944,0.8146186440677966,0.809858865995142,-0.004759778072654597,0.004759778072654597,0.15103776429224203
opentelemetry_demo,colocated,N,2,source_500ms_failover,944,0.8146186440677966,0.9928333333333332,0.17821468926553663,0.17821468926553663,0.18277558427495288
opentelemetry_demo,colocated,N,2,matched_stable_endpoint,944,0.8146186440677966,0.8126873126873126,-0.0019313313804839582,0.0019313313804839582,0.15101883884584244
opentelemetry_demo,colocated,N,2,all_calibration_endpoint,944,0.8146186440677966,0.7772689425478768,-0.03734970151991979,0.03734970151991979,0.15241010900856816
opentelemetry_demo,colocated,N,3,learner_state_only,979,0.822267620020429,0.8000136046375843,-0.02225401538284466,0.02225401538284466,0.14663882228702824
opentelemetry_demo,colocated,N,3,temporal_logit_lower,979,0.822267620020429,0.7999600078026454,-0.022307612217783546,0.022307612217783546,0.14664121064922747
