campaign_id,job_role,attempt_id,case_id,qualified,elapsed_seconds,startup_seconds,internal_watchdog_seconds,exit_code,started_at,finished_at,jar_sha256
v4-confirmation-771621/deathstarbench_social_network/split/N/0,pmx,1,campaign-fdfbf68397c13e74a827--compose_post,True,26.146076465999997,20,1800,0,2026-09-12T16:36:04.804967+00:00,2026-09-12T16:36:30.951042+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/deathstarbench_social_network/split/N/0,pmx,1,campaign-fdfbf68397c13e74a827--read_home_timeline,True,22.87582081100001,20,1800,0,2026-09-12T16:36:31.299008+00:00,2026-09-12T16:36:54.174829+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/deathstarbench_social_network/split/N/0,pmx,1,campaign-fdfbf68397c13e74a827--read_user_timeline,True,22.93146348000002,20,1800,0,2026-09-12T16:36:54.360702+00:00,2026-09-12T16:37:17.292165+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/deathstarbench_social_network/split/N/1,pmx,1,campaign-eb9ee9a37552d47fe9bb--compose_post,True,24.182397939000026,20,1800,0,2026-09-12T16:35:55.075290+00:00,2026-09-12T16:36:19.257687+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/deathstarbench_social_network/split/N/1,pmx,1,campaign-eb9ee9a37552d47fe9bb--read_home_timeline,True,21.676239547999984,20,1800,0,2026-09-12T16:36:19.464190+00:00,2026-09-12T16:36:41.140429+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/deathstarbench_social_network/split/N/1,pmx,1,campaign-eb9ee9a37552d47fe9bb--read_user_timeline,True,21.77851320100001,20,1800,0,2026-09-12T16:36:41.241467+00:00,2026-09-12T16:37:03.019981+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/deathstarbench_social_network/split/N/2,pmx,1,campaign-52dde14ff64a8441d44e--compose_post,True,25.744493394000003,20,1800,0,2026-09-12T16:36:03.068696+00:00,2026-09-12T16:36:28.813189+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/deathstarbench_social_network/split/N/2,pmx,1,campaign-52dde14ff64a8441d44e--read_home_timeline,True,22.375329140000005,20,1800,0,2026-09-12T16:36:29.117396+00:00,2026-09-12T16:36:51.492727+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/deathstarbench_social_network/split/N/2,pmx,1,campaign-52dde14ff64a8441d44e--read_user_timeline,True,22.430166166999996,20,1800,0,2026-09-12T16:36:51.637307+00:00,2026-09-12T16:37:14.067475+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/deathstarbench_social_network/split/NC/0,pmx,1,campaign-f5a8d50fb8a61a2d8b75--compose_post,True,26.454618425000007,20,1800,0,2026-09-12T16:36:08.911687+00:00,2026-09-12T16:36:35.366304+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/deathstarbench_social_network/split/NC/0,pmx,1,campaign-f5a8d50fb8a61a2d8b75--read_home_timeline,True,22.978604742000016,20,1800,0,2026-09-12T16:36:35.702212+00:00,2026-09-12T16:36:58.680816+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/deathstarbench_social_network/split/NC/0,pmx,1,campaign-f5a8d50fb8a61a2d8b75--read_user_timeline,True,22.932320637000004,20,1800,0,2026-09-12T16:36:58.871289+00:00,2026-09-12T16:37:21.803610+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/deathstarbench_social_network/split/NC/1,pmx,1,campaign-a9d7fa243d62cbf16c14--compose_post,True,26.70233301099998,20,1800,0,2026-09-12T16:36:05.397838+00:00,2026-09-12T16:36:32.100171+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/deathstarbench_social_network/split/NC/1,pmx,1,campaign-a9d7fa243d62cbf16c14--read_home_timeline,True,22.884270964999985,20,1800,0,2026-09-12T16:36:32.440528+00:00,2026-09-12T16:36:55.324799+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/deathstarbench_social_network/split/NC/1,pmx,1,campaign-a9d7fa243d62cbf16c14--read_user_timeline,True,22.889177912999997,20,1800,0,2026-09-12T16:36:55.521626+00:00,2026-09-12T16:37:18.410804+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/deathstarbench_social_network/split/NC/2,pmx,1,campaign-0569e14884676c2a2b9b--compose_post,True,25.346163889000024,20,1800,0,2026-09-12T16:35:56.152632+00:00,2026-09-12T16:36:21.498795+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/deathstarbench_social_network/split/NC/2,pmx,1,campaign-0569e14884676c2a2b9b--read_home_timeline,True,22.280202837000047,20,1800,0,2026-09-12T16:36:21.751156+00:00,2026-09-12T16:36:44.031359+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/deathstarbench_social_network/split/NC/2,pmx,1,campaign-0569e14884676c2a2b9b--read_user_timeline,True,22.229117118999966,20,1800,0,2026-09-12T16:36:44.170678+00:00,2026-09-12T16:37:06.399795+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/opentelemetry_demo/split/N/0,pmx,1,campaign-dd1055a12195c9690ad1--add_to_cart,True,26.389832258,20,1800,0,2026-09-12T16:36:30.304212+00:00,2026-09-12T16:36:56.694044+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/opentelemetry_demo/split/N/0,pmx,1,campaign-dd1055a12195c9690ad1--browse_product,True,22.578859473000023,20,1800,0,2026-09-12T16:36:56.911204+00:00,2026-09-12T16:37:19.490063+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/opentelemetry_demo/split/N/0,pmx,1,campaign-dd1055a12195c9690ad1--checkout,True,32.87613426599998,20,1800,0,2026-09-12T16:37:19.704559+00:00,2026-09-12T16:37:52.580723+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/opentelemetry_demo/split/N/1,pmx,1,campaign-17864228ae0430a6063c--add_to_cart,True,27.907818848999995,20,1800,0,2026-09-12T16:36:16.438626+00:00,2026-09-12T16:36:44.346445+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/opentelemetry_demo/split/N/1,pmx,1,campaign-17864228ae0430a6063c--browse_product,True,23.23920508100001,20,1800,0,2026-09-12T16:36:44.575565+00:00,2026-09-12T16:37:07.814771+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/opentelemetry_demo/split/N/1,pmx,1,campaign-17864228ae0430a6063c--checkout,True,42.969829807000025,20,1800,0,2026-09-12T16:37:08.065496+00:00,2026-09-12T16:37:51.035325+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/opentelemetry_demo/split/N/2,pmx,1,campaign-50d009ea41de0ecf5769--add_to_cart,True,26.246415744000004,20,1800,0,2026-09-12T16:36:20.517225+00:00,2026-09-12T16:36:46.763639+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/opentelemetry_demo/split/N/2,pmx,1,campaign-50d009ea41de0ecf5769--browse_product,True,22.784626572000008,20,1800,0,2026-09-12T16:36:46.972572+00:00,2026-09-12T16:37:09.757199+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/opentelemetry_demo/split/N/2,pmx,1,campaign-50d009ea41de0ecf5769--checkout,True,33.426210422,20,1800,0,2026-09-12T16:37:09.973878+00:00,2026-09-12T16:37:43.400088+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/opentelemetry_demo/split/NC/0,pmx,1,campaign-0d013734ec27df5cce66--add_to_cart,True,25.900224913999978,20,1800,0,2026-09-12T16:36:55.666683+00:00,2026-09-12T16:37:21.566907+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
v4-confirmation-771621/opentelemetry_demo/split/NC/0,pmx,1,campaign-0d013734ec27df5cce66--browse_product,True,23.233539092,20,1800,0,2026-09-12T16:37:21.846661+00:00,2026-09-12T16:37:45.080200+00:00,2322880b6447754528e201553bc4e2fac00334b7d6f3ac202cfe1e3742bbbcc6
