profile,case_id,phase,representation,method,baseline,paired_rounds,other_over_ours,kernel_other_over_ours,min_ratio,max_ratio
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,original,ours_prepared,ours_direct,3,0.5302946270509298,0.5279451603377514,0.5261374646873889,0.5709178780763233
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,original,cudd_fixed,ours_direct,3,0.6534137542301343,0.6512595062119377,0.6453193159471956,0.6650538188531789
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,original,cudd_fixed,ours_prepared,3,1.2265222670098588,1.226951772307439,1.1648852565171748,1.2321711759817244
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,original,cudd_sift,ours_direct,3,0.6598018874688558,0.6582256238701066,0.6469791619821669,0.6778902501727183
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,original,cudd_sift,ours_prepared,3,1.2296770433684618,1.2302931602474783,1.155686155234834,1.2783275854454648
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,original,agrum_conditioned,ours_direct,3,9.953104724230911,9.997116573869205,9.61456310481151,10.403836329742422
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,original,agrum_conditioned,ours_prepared,3,18.27386139575543,18.425485089178803,18.222999715471484,18.769009181899573
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,original,agrum_joint,ours_direct,3,2.5010182128634404,2.5077504782528686,2.399201147992036,2.6365782233056696
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,original,agrum_joint,ours_prepared,3,4.61813918350127,4.651617106555559,4.560027196347919,4.716280507634186
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,original,storm_sparse,ours_direct,3,2.2719091411350547,2.2781762623949877,2.0658010392435027,2.33046725160874
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,original,storm_sparse,ours_prepared,3,4.081965797710036,4.109920075409525,3.926352289835365,4.284239411908767
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,original,storm_compact,ours_direct,3,1.0467345333306366,1.0468217047628423,0.9995175816942694,1.0882308788470845
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,original,storm_compact,ours_prepared,3,1.9061075517792843,1.9142137448116345,1.89972706522267,1.9738735411137922
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,completion_projected,ours_direct,ours_prepared,3,1.429592586860636,1.667650320016687,1.383267518605445,1.508037496220139
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,repeat,completion_projected,ours_prepared,ours_direct,3,0.6994999898509442,0.5996460936666829,0.6631134852458753,0.7229259608496844
