profile,case_id,phase,method,paired_rounds,original_over_projected,kernel_original_over_projected
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,ours_prepared,3,1.1451840002620581,1.340295319275137
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,cudd_fixed,3,0.7779378604071605,1.1777376792363077
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,cudd_sift,3,0.978893402807572,1.3259513999286248
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,agrum_conditioned,3,1.461607785738922,1.4956934663292656
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,agrum_joint,3,1.4871754971113484,1.5330302754986267
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,storm_sparse,3,1.391378832757823,1.5539227914411824
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,structure,storm_compact,3,1.4129288743801014,1.6110088310870014
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,ours_direct,3,0.9100903816248391,1.243878428045582
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,ours_prepared,3,1.0930356729203756,1.294915230036125
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,cudd_fixed,3,0.7386528390770427,1.1327697104176615
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,cudd_sift,3,0.9167122048479701,1.290635960833937
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,agrum_conditioned,3,1.46481837192149,1.5009947452810204
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,agrum_joint,3,1.5095264168522016,1.5574985127196666
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,storm_sparse,3,1.3385718168257064,1.5008997975569742
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,restore,storm_compact,3,1.3706670103036052,1.5807390526008405
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,ours_direct,3,0.7488511806915401,1.3117119743458932
