profile,case_id,method,representation,round,returncode,timed_out,wall_seconds,cpu_seconds,peak_rss_mib
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,agrum_conditioned,completion_projected,0,0,False,0.2,0.2,47.8046875
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,agrum_joint,original,0,0,False,0.18,0.17,47.97265625
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,agrum_joint,completion_projected,0,0,False,0.18,0.17,47.8125
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,storm_sparse,original,0,0,False,0.25,0.25,95.08984375
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,storm_sparse,completion_projected,0,0,False,0.24,0.24,94.73828125
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,storm_compact,original,0,0,False,0.24,0.24,94.7421875
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,storm_compact,completion_projected,0,0,False,0.25,0.24,94.8828125
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,ours_direct,original,0,0,False,0.12,0.11,36.05078125
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,ours_direct,completion_projected,0,0,False,0.12,0.12000000000000001,36.06640625
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,ours_prepared,completion_projected,0,0,False,0.14,0.13,36.12109375
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,cudd_fixed,original,0,0,False,0.26,0.25,61.23828125
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,cudd_fixed,completion_projected,0,0,False,0.27,0.26,61.40625
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,cudd_sift,original,0,0,False,0.26,0.26,61.44140625
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,cudd_sift,completion_projected,0,0,False,0.26,0.26,61.2890625
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,agrum_conditioned,original,0,0,False,0.52,0.51,48.50390625
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,agrum_conditioned,completion_projected,0,0,False,0.4,0.4,48.0546875
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,agrum_joint,original,0,0,False,0.29,0.28,48.484375
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,agrum_joint,completion_projected,0,0,False,0.26,0.25,48.0625
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,storm_sparse,original,0,0,False,0.31,0.30000000000000004,95.13671875
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,storm_sparse,completion_projected,0,0,False,0.27,0.27,95.015625
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,storm_compact,original,0,0,False,0.27,0.26,95.734375
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,storm_compact,completion_projected,0,0,False,0.27,0.26,94.80078125
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,ours_direct,original,0,0,False,0.15,0.13999999999999999,36.125
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,ours_direct,completion_projected,0,0,False,0.15,0.15,36.234375
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,ours_prepared,original,0,0,False,0.14,0.13,36.22265625
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,cudd_fixed,original,0,0,False,0.26,0.25,61.25
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,cudd_fixed,completion_projected,0,0,False,0.25,0.24000000000000002,61.296875
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,cudd_sift,original,0,0,False,0.26,0.26,61.26953125
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,cudd_sift,completion_projected,0,0,False,0.27,0.26,61.2890625
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,agrum_conditioned,original,0,0,False,0.15,0.15,47.59765625
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,agrum_conditioned,completion_projected,0,0,False,0.15,0.13999999999999999,47.55859375
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,agrum_joint,original,0,0,False,0.15,0.15,47.6171875
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,agrum_joint,completion_projected,0,0,False,0.16,0.15,47.4453125
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,storm_sparse,original,0,0,False,0.26,0.25,93.31640625
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,storm_sparse,completion_projected,0,0,False,0.25,0.24,93.3671875
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,storm_compact,original,0,0,False,0.25,0.24,93.3828125
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,storm_compact,completion_projected,0,0,False,0.24,0.24,93.32421875
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,ours_direct,original,0,0,False,0.13,0.12,36.10546875
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,ours_direct,completion_projected,0,0,False,0.12,0.12,35.984375
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,ours_prepared,original,0,0,False,0.12,0.11,35.99609375
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,ours_prepared,completion_projected,0,0,False,0.12,0.12,35.99609375
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,cudd_fixed,completion_projected,0,0,False,0.28,0.27,61.4140625
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,cudd_sift,original,0,0,False,0.28,0.28,61.40625
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,cudd_sift,completion_projected,0,0,False,0.27,0.26,61.34375
