profile,models,original_absences,planned,qualified,failed
deathstarbench_social_network,22,2,7392,7392,0
opentelemetry_demo,24,0,8064,8064,0
spring_petclinic_microservices,32,0,10752,10752,0
synthetic,27,0,9072,8964,108
