profile,case_id,method,representation,round,phase,status,total_ms,kernel_ms,cpu_ms,conversion_ms,key_check_ms,construction_ms,update_ms,query_including_update_ms,inference_ms,reconstructed,error
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,ours_prepared,completion_projected,0,structure,qualified,1.831655,1.564544,1.833824,0.267111,0.064591,1.091777,0.0,0.406693,0.406693,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,ours_prepared,completion_projected,0,restore,qualified,1.891197,1.632142,1.893286,0.259055,0.103304,1.102588,0.0,0.424166,0.424166,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_fixed,original,0,initial,qualified,3.296031,3.294779,3.301845,0.001252,0.098274,2.553598,0.0,0.640451,0.640451,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_fixed,original,0,repeat,qualified,0.593643,0.588884,0.595873,0.004759,0.070112,0.0,0.0,0.5174,0.5174,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_fixed,original,0,counts,qualified,0.568656,0.564258,0.570706,0.004398,0.061756,0.0,0.0,0.50123,0.50123,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_fixed,original,0,masks,qualified,0.62567,0.624999,0.620083,0.000671,0.05829,0.0,0.0,0.565307,0.565307,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_fixed,original,0,metadata,qualified,0.683292,0.68249,0.625658,0.000802,0.087965,0.0,0.0,0.592931,0.592931,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_fixed,original,0,structure,qualified,0.68301,0.682269,0.68511,0.000741,0.065282,0.082004,0.0,0.533571,0.533571,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_fixed,original,0,restore,qualified,0.646011,0.64528,0.64801,0.000731,0.072766,0.073578,0.0,0.497703,0.497703,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_fixed,completion_projected,0,initial,qualified,4.228138,3.853485,4.234958,0.374653,0.083346,3.227411,0.0,0.540694,0.540694,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_fixed,completion_projected,0,repeat,qualified,0.810029,0.536436,0.812398,0.273593,0.06387,0.0,0.0,0.471204,0.471204,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_fixed,completion_projected,0,counts,qualified,0.785593,0.529022,0.787791,0.256571,0.055574,0.0,0.0,0.472025,0.472025,False,
