,mode,p_fail,seed,R_avg,R_model,R_live,rounds,samples,R_ep_home_timeline,R_ep_user_timeline,R_ep_compose_post,dirname,error,error_pct
55,norepl,0.5,6,0.04558,0.04558,0.0379,450,500000,0.0303,0.09133,0.0,norepl-0.5-seed6,0.007679999999999999,20.26385224274406
56,norepl,0.5,7,0.04539,0.04539,0.03739,450,500000,0.02998,0.09134,0.0,norepl-0.5-seed7,0.008,21.3960952126237
57,norepl,0.5,8,0.04551,0.04551,0.03779,450,500000,0.03034,0.09102,0.0,norepl-0.5-seed8,0.007720000000000005,20.428684837258547
58,norepl,0.5,9,0.0452,0.0452,0.03817,450,500000,0.03005,0.09056,0.0,norepl-0.5-seed9,0.007029999999999995,18.41760544930572
59,norepl,0.5,10,0.04504,0.04504,0.03797,450,500000,0.02996,0.09022,0.0,norepl-0.5-seed10,0.00707,18.619963128785884
60,norepl,0.5,11,0.04539,0.04539,0.03739,450,500000,0.03026,0.09079,0.0,norepl-0.5-seed11,0.008,21.3960952126237
61,norepl,0.5,12,0.04554,0.04554,0.03803,450,500000,0.03032,0.09118,0.0,norepl-0.5-seed12,0.007509999999999996,19.747567709702853
62,norepl,0.5,13,0.04566,0.04566,0.03791,450,500000,0.03044,0.09131,0.0,norepl-0.5-seed13,0.00775,20.443154840411502
63,norepl,0.5,14,0.04511,0.04511,0.03811,450,500000,0.02978,0.09081,0.0,norepl-0.5-seed14,0.006999999999999999,18.367882445552347
64,norepl,0.5,15,0.04548,0.04548,0.03792,450,500000,0.03033,0.09093,0.0,norepl-0.5-seed15,0.007559999999999997,19.936708860759484
65,norepl,0.5,16,0.04537,0.04537,0.03806,450,500000,0.03027,0.09068,0.0,norepl-0.5-seed16,0.007310000000000004,19.20651602732529
66,norepl,0.5,17,0.04527,0.04527,0.03802,450,500000,0.03,0.09091,0.0,norepl-0.5-seed17,0.0072499999999999995,19.068911099421356
67,norepl,0.5,18,0.04583,0.04583,0.03764,450,500000,0.03082,0.09112,0.0,norepl-0.5-seed18,0.008190000000000003,21.75876726886292
68,norepl,0.5,19,0.04528,0.04528,0.03782,450,500000,0.03017,0.09059,0.0,norepl-0.5-seed19,0.007460000000000001,19.725013220518246
69,norepl,0.5,20,0.04567,0.04567,0.03663,450,500000,0.03051,0.09121,0.0,norepl-0.5-seed20,0.00904,24.679224679224674
70,norepl,0.5,21,0.04548,0.04548,0.03686,450,500000,0.03036,0.09087,0.0,norepl-0.5-seed21,0.008620000000000003,23.385784047748245
71,norepl,0.5,22,0.04558,0.04558,0.03669,450,500000,0.03019,0.09154,0.0,norepl-0.5-seed22,0.008890000000000002,24.230035431997827
72,norepl,0.5,23,0.04528,0.04528,0.03637,450,500000,0.03033,0.09029,0.0,norepl-0.5-seed23,0.008910000000000001,24.49821281275777
73,norepl,0.5,24,0.04549,0.04549,0.03638,450,500000,0.03013,0.09138,0.0,norepl-0.5-seed24,0.00911,25.041231445849366
74,norepl,0.5,25,0.04562,0.04562,0.03653,450,500000,0.03023,0.0916,0.0,norepl-0.5-seed25,0.00909,24.883657267998906
75,norepl,0.7,1,0.00138,0.00138,0.00675,450,500000,0.0,0.00459,0.0,norepl-0.7-seed1,-0.00537,-79.55555555555556
76,norepl,0.7,2,0.00141,0.00141,0.00669,450,500000,0.0,0.00469,0.0,norepl-0.7-seed2,-0.00528,-78.9237668161435
77,norepl,0.7,3,0.00135,0.00135,0.00676,450,500000,0.0,0.0045,0.0,norepl-0.7-seed3,-0.00541,-80.02958579881656
78,norepl,0.7,4,0.00138,0.00138,0.00665,450,500000,0.0,0.00461,0.0,norepl-0.7-seed4,-0.0052699999999999995,-79.24812030075188
79,norepl,0.7,5,0.00137,0.00137,0.00673,450,500000,0.0,0.00455,0.0,norepl-0.7-seed5,-0.00536,-79.64338781575037
80,norepl,0.7,6,0.00136,0.00136,0.00672,450,500000,0.0,0.00453,0.0,norepl-0.7-seed6,-0.00536,-79.76190476190476
81,norepl,0.7,7,0.00137,0.00137,0.00668,450,500000,0.0,0.00457,0.0,norepl-0.7-seed7,-0.0053100000000000005,-79.49101796407186
82,norepl,0.7,8,0.00137,0.00137,0.00672,450,500000,0.0,0.00457,0.0,norepl-0.7-seed8,-0.005350000000000001,-79.61309523809524
83,norepl,0.7,9,0.00138,0.00138,0.00677,450,500000,0.0,0.00459,0.0,norepl-0.7-seed9,-0.00539,-79.61595273264402
84,norepl,0.7,10,0.00131,0.00131,0.00672,450,500000,0.0,0.00438,0.0,norepl-0.7-seed10,-0.00541,-80.50595238095238
85,norepl,0.7,11,0.00136,0.00136,0.00676,450,500000,0.0,0.00453,0.0,norepl-0.7-seed11,-0.0054,-79.88165680473372
86,norepl,0.7,12,0.00134,0.00134,0.00671,450,500000,0.0,0.00446,0.0,norepl-0.7-seed12,-0.00537,-80.02980625931446
87,norepl,0.7,13,0.00136,0.00136,0.00668,450,500000,0.0,0.00454,0.0,norepl-0.7-seed13,-0.00532,-79.64071856287424
88,norepl,0.7,14,0.00136,0.00136,0.00671,450,500000,0.0,0.00454,0.0,norepl-0.7-seed14,-0.00535,-79.73174366616989
89,norepl,0.7,15,0.00135,0.00135,0.0067,450,500000,0.0,0.0045,0.0,norepl-0.7-seed15,-0.005350000000000001,-79.85074626865672
90,norepl,0.7,16,0.00136,0.00136,0.0067,450,500000,0.0,0.00452,0.0,norepl-0.7-seed16,-0.00534,-79.70149253731343
91,norepl,0.7,17,0.00139,0.00139,0.00667,450,500000,0.0,0.00462,0.0,norepl-0.7-seed17,-0.00528,-79.16041979010495
92,norepl,0.7,18,0.00139,0.00139,0.00667,450,500000,0.0,0.00463,0.0,norepl-0.7-seed18,-0.00528,-79.16041979010495
93,norepl,0.7,19,0.00137,0.00137,0.00674,450,500000,0.0,0.00456,0.0,norepl-0.7-seed19,-0.005370000000000001,-79.67359050445104
94,norepl,0.7,20,0.00138,0.00138,0.00675,450,500000,0.0,0.00461,0.0,norepl-0.7-seed20,-0.00537,-79.55555555555556
95,norepl,0.7,21,0.00133,0.00133,0.00673,450,500000,0.0,0.00444,0.0,norepl-0.7-seed21,-0.0054,-80.23774145616642
96,norepl,0.7,22,0.00135,0.00135,0.00677,450,500000,0.0,0.00448,0.0,norepl-0.7-seed22,-0.0054199999999999995,-80.05908419497784
97,norepl,0.7,23,0.00134,0.00134,0.00674,450,500000,0.0,0.00446,0.0,norepl-0.7-seed23,-0.0054,-80.1186943620178
98,norepl,0.7,24,0.00133,0.00133,0.00671,450,500000,0.0,0.00442,0.0,norepl-0.7-seed24,-0.005379999999999999,-80.17883755588673
99,norepl,0.7,25,0.00135,0.00135,0.00667,450,500000,0.0,0.0045,0.0,norepl-0.7-seed25,-0.00532,-79.76011994003
100,norepl,0.9,1,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed1,0.0,
101,norepl,0.9,2,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed2,0.0,
102,norepl,0.9,3,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed3,0.0,
103,norepl,0.9,4,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed4,0.0,
104,norepl,0.9,5,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed5,0.0,
105,norepl,0.9,6,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed6,0.0,
106,norepl,0.9,7,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed7,0.0,
107,norepl,0.9,8,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed8,0.0,
108,norepl,0.9,9,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed9,0.0,
109,norepl,0.9,10,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed10,0.0,
110,norepl,0.9,11,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed11,0.0,
111,norepl,0.9,12,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed12,0.0,
112,norepl,0.9,13,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed13,0.0,
113,norepl,0.9,14,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed14,0.0,
114,norepl,0.9,15,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed15,0.0,
115,norepl,0.9,16,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed16,0.0,
116,norepl,0.9,17,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed17,0.0,
117,norepl,0.9,18,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed18,0.0,
118,norepl,0.9,19,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed19,0.0,
119,norepl,0.9,20,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed20,0.0,
120,norepl,0.9,21,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed21,0.0,
121,norepl,0.9,22,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed22,0.0,
122,norepl,0.9,23,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed23,0.0,
123,norepl,0.9,24,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed24,0.0,
124,norepl,0.9,25,0.0,0.0,0.0,450,500000,0.0,0.0,0.0,norepl-0.9-seed25,0.0,
125,repl,0.1,1,0.62802,0.62802,0.69409,450,500000,0.62813,0.7397,0.29233,repl-0.1-seed1,-0.06606999999999996,-9.51893846619314
126,repl,0.1,2,0.62881,0.62881,0.69587,450,500000,0.62907,0.74043,0.29238,repl-0.1-seed2,-0.06706000000000001,-9.63685745900815
127,repl,0.1,3,0.62799,0.62799,0.69467,450,500000,0.62828,0.73952,0.29165,repl-0.1-seed3,-0.06667999999999996,-9.598802309010027
128,repl,0.1,4,0.62839,0.62839,0.69238,450,500000,0.62868,0.7398,0.29235,repl-0.1-seed4,-0.06398999999999999,-9.242034720818047
129,repl,0.1,5,0.62841,0.62841,0.69555,450,500000,0.62861,0.74008,0.29213,repl-0.1-seed5,-0.06713999999999998,-9.652792753935731
130,repl,0.1,6,0.62825,0.62825,0.69684,450,500000,0.6286,0.73964,0.29193,repl-0.1-seed6,-0.06859000000000004,-9.843005567992657
131,repl,0.1,7,0.62785,0.62785,0.69773,450,500000,0.62818,0.73897,0.29249,repl-0.1-seed7,-0.06987999999999994,-10.01533544494288
132,repl,0.1,8,0.62788,0.62788,0.69795,450,500000,0.62824,0.73935,0.29129,repl-0.1-seed8,-0.07006999999999997,-10.039401103230885
133,repl,0.1,9,0.62807,0.62807,0.69885,450,500000,0.62815,0.73992,0.29208,repl-0.1-seed9,-0.07077999999999995,-10.128067539529221
134,repl,0.1,10,0.62945,0.62945,0.70004,450,500000,0.63019,0.74033,0.29236,repl-0.1-seed10,-0.07059000000000004,-10.08370950231416
135,repl,0.1,11,0.62836,0.62836,0.69941,450,500000,0.62876,0.73969,0.29202,repl-0.1-seed11,-0.07104999999999995,-10.158562216725517
136,repl,0.1,12,0.62826,0.62826,0.69961,450,500000,0.62853,0.73992,0.29166,repl-0.1-seed12,-0.07134999999999991,-10.198539186117968
137,repl,0.1,13,0.62937,0.62937,0.70167,450,500000,0.62994,0.74054,0.29247,repl-0.1-seed13,-0.07230000000000003,-10.30398905468383
138,repl,0.1,14,0.62833,0.62833,0.7016,450,500000,0.62843,0.74004,0.29262,repl-0.1-seed14,-0.07326999999999995,-10.443272519954382
139,repl,0.1,15,0.6275,0.6275,0.70127,450,500000,0.62773,0.73891,0.2919,repl-0.1-seed15,-0.07377,-10.519486075263451
140,repl,0.1,16,0.62809,0.62809,0.69841,450,500000,0.62824,0.73985,0.29191,repl-0.1-seed16,-0.07031999999999994,-10.068584355894092
141,repl,0.1,17,0.62758,0.62758,0.69692,450,500000,0.62768,0.73912,0.29234,repl-0.1-seed17,-0.06933999999999996,-9.949492050737526
142,repl,0.1,18,0.62719,0.62719,0.69529,450,500000,0.62724,0.7389,0.29176,repl-0.1-seed18,-0.06809999999999994,-9.794474248155439
143,repl,0.1,19,0.6275,0.6275,0.69436,450,500000,0.62758,0.73932,0.29156,repl-0.1-seed19,-0.06686000000000003,-9.629010887723952
144,repl,0.1,20,0.6279,0.6279,0.69649,450,500000,0.62807,0.73957,0.29185,repl-0.1-seed20,-0.06859000000000004,-9.847951872963005
145,repl,0.1,21,0.62849,0.62849,0.69591,450,500000,0.62868,0.73991,0.29311,repl-0.1-seed21,-0.06742000000000004,-9.688034372260786
146,repl,0.1,22,0.62843,0.62843,0.69419,450,500000,0.62877,0.73995,0.29179,repl-0.1-seed22,-0.06575999999999993,-9.472910874544423
147,repl,0.1,23,0.62806,0.62806,0.69355,450,500000,0.62843,0.73933,0.29207,repl-0.1-seed23,-0.06549000000000005,-9.442722226227387
148,repl,0.1,24,0.62786,0.62786,0.69441,450,500000,0.62821,0.73912,0.29202,repl-0.1-seed24,-0.06655,-9.583675350297375
149,repl,0.1,25,0.62758,0.62758,0.69578,450,500000,0.6279,0.73885,0.29182,repl-0.1-seed25,-0.06819999999999993,-9.801948891891104
150,repl,0.3,1,0.30523,0.30523,0.3071,450,500000,0.28454,0.44045,0.02373,repl-0.3-seed1,-0.0018699999999999828,-0.6089221751872298
151,repl,0.3,2,0.30645,0.30645,0.31042,450,500000,0.28602,0.4414,0.02424,repl-0.3-seed2,-0.0039699999999999736,-1.2789124412086768
152,repl,0.3,3,0.30536,0.30536,0.30623,450,500000,0.28483,0.44029,0.02376,repl-0.3-seed3,-0.0008699999999999819,-0.2841001861345988
153,repl,0.3,4,0.30488,0.30488,0.30754,450,500000,0.28392,0.44057,0.02356,repl-0.3-seed4,-0.0026599999999999957,-0.8649281394290159
154,repl,0.3,5,0.30575,0.30575,0.30494,450,500000,0.28526,0.44082,0.02351,repl-0.3-seed5,0.0008100000000000329,0.2656260247917731
155,repl,0.3,6,0.30593,0.30593,0.30354,450,500000,0.28521,0.44145,0.02371,repl-0.3-seed6,0.0023900000000000032,0.7873756341833049
156,repl,0.3,7,0.30511,0.30511,0.30726,450,500000,0.28404,0.44105,0.02365,repl-0.3-seed7,-0.0021499999999999853,-0.6997331250406774
157,repl,0.3,8,0.30642,0.30642,0.30383,450,500000,0.28583,0.44181,0.02384,repl-0.3-seed8,0.0025900000000000367,0.852450383438119
158,repl,0.3,9,0.30574,0.30574,0.30734,450,500000,0.2851,0.4411,0.02351,repl-0.3-seed9,-0.0015999999999999903,-0.5205960825144759
159,repl,0.3,10,0.30506,0.30506,0.30577,450,500000,0.28427,0.44038,0.02379,repl-0.3-seed10,-0.0007099999999999884,-0.23220067370899317
160,repl,0.3,11,0.30537,0.30537,0.30454,450,500000,0.28433,0.44117,0.02424,repl-0.3-seed11,0.0008299999999999974,0.27254219478557745
161,repl,0.3,12,0.30605,0.30605,0.30402,450,500000,0.28536,0.44141,0.0241,repl-0.3-seed12,0.0020299999999999763,0.6677192289980844
162,repl,0.3,13,0.30618,0.30618,0.30422,450,500000,0.28573,0.44113,0.02402,repl-0.3-seed13,0.0019600000000000173,0.6442705936493385
163,repl,0.3,14,0.30455,0.30455,0.30429,450,500000,0.28371,0.43988,0.02358,repl-0.3-seed14,0.00025999999999998247,0.0854448059416946
164,repl,0.3,15,0.30591,0.30591,0.30574,450,500000,0.28532,0.44109,0.0239,repl-0.3-seed15,0.00017000000000000348,0.055602799764506924
165,repl,0.3,16,0.3039,0.3039,0.30609,450,500000,0.28297,0.43909,0.02385,repl-0.3-seed16,-0.0021899999999999697,-0.7154758404390767
166,repl,0.3,17,0.30574,0.30574,0.30554,450,500000,0.28516,0.44089,0.02375,repl-0.3-seed17,0.00020000000000003348,0.06545787785561089
167,repl,0.3,18,0.30568,0.30568,0.304,450,500000,0.28505,0.44078,0.02412,repl-0.3-seed18,0.0016800000000000148,0.5526315789473734
168,repl,0.3,19,0.30427,0.30427,0.30672,450,500000,0.28345,0.43946,0.02359,repl-0.3-seed19,-0.0024500000000000077,-0.7987741262389176
169,repl,0.3,20,0.30503,0.30503,0.30255,450,500000,0.28428,0.44033,0.02363,repl-0.3-seed20,0.0024800000000000377,0.8196992232688938
170,repl,0.3,21,0.30649,0.30649,0.30343,450,500000,0.28614,0.44146,0.02366,repl-0.3-seed21,0.003060000000000007,1.0084698282964792
171,repl,0.3,22,0.30471,0.30471,0.30573,450,500000,0.28406,0.43979,0.02341,repl-0.3-seed22,-0.0010200000000000209,-0.33362771072515646
172,repl,0.3,23,0.30542,0.30542,0.30445,450,500000,0.28481,0.44058,0.02353,repl-0.3-seed23,0.0009700000000000264,0.3186073246838648
173,repl,0.3,24,0.30475,0.30475,0.30448,450,500000,0.28419,0.43961,0.02353,repl-0.3-seed24,0.000270000000000048,0.08867577509197583
174,repl,0.3,25,0.30499,0.30499,0.30551,450,500000,0.28412,0.44048,0.02374,repl-0.3-seed25,-0.0005200000000000204,-0.17020719452719074
175,repl,0.5,1,0.11459,0.11459,0.09603,450,500000,0.08883,0.20429,0.0,repl-0.5-seed1,0.018559999999999993,19.32729355409767
176,repl,0.5,2,0.11477,0.11477,0.09667,450,500000,0.0893,0.20397,0.0,repl-0.5-seed2,0.01809999999999999,18.723492293369183
177,repl,0.5,3,0.11505,0.11505,0.09691,450,500000,0.08957,0.20438,0.0,repl-0.5-seed3,0.018140000000000003,18.718398514085237
178,repl,0.5,4,0.11479,0.11479,0.09584,450,500000,0.08954,0.20353,0.0,repl-0.5-seed4,0.01895000000000001,19.77253756260435
179,repl,0.5,5,0.11455,0.11455,0.09445,450,500000,0.0891,0.20363,0.0,repl-0.5-seed5,0.020099999999999993,21.281101111699304
180,repl,0.5,6,0.11503,0.11503,0.09527,450,500000,0.08936,0.2047,0.0,repl-0.5-seed6,0.01976,20.74105174766453
181,repl,0.5,7,0.11462,0.11462,0.09452,450,500000,0.08917,0.20374,0.0,repl-0.5-seed7,0.020099999999999993,21.265340668641546
182,repl,0.5,8,0.11453,0.11453,0.09485,450,500000,0.0889,0.20397,0.0,repl-0.5-seed8,0.019680000000000003,20.748550342646286
183,repl,0.5,9,0.11441,0.11441,0.09571,450,500000,0.08898,0.2034,0.0,repl-0.5-seed9,0.018699999999999994,19.538188277087027
184,repl,0.5,10,0.11445,0.11445,0.09618,450,500000,0.08879,0.20393,0.0,repl-0.5-seed10,0.018269999999999995,18.99563318777292
185,repl,0.5,11,0.11448,0.11448,0.09568,450,500000,0.08901,0.20359,0.0,repl-0.5-seed11,0.018799999999999997,19.648829431438124
186,repl,0.5,12,0.11475,0.11475,0.09373,450,500000,0.08934,0.20381,0.0,repl-0.5-seed12,0.02102000000000001,22.42611757174865
187,repl,0.5,13,0.11481,0.11481,0.09835,450,500000,0.08933,0.20405,0.0,repl-0.5-seed13,0.01645999999999999,16.736146415861704
188,repl,0.5,14,0.11422,0.11422,0.0956,450,500000,0.08886,0.203,0.0,repl-0.5-seed14,0.018619999999999998,19.47698744769874
189,repl,0.5,15,0.11492,0.11492,0.09689,450,500000,0.08955,0.20398,0.0,repl-0.5-seed15,0.01802999999999999,18.608731551243668
190,repl,0.5,16,0.11404,0.11404,0.09483,450,500000,0.08825,0.20363,0.0,repl-0.5-seed16,0.019210000000000005,20.25730254138986
191,repl,0.5,17,0.11426,0.11426,0.09492,450,500000,0.08876,0.20335,0.0,repl-0.5-seed17,0.019339999999999996,20.375052675937628
192,repl,0.5,18,0.11399,0.11399,0.09673,450,500000,0.08828,0.20341,0.0,repl-0.5-seed18,0.017259999999999998,17.843481856714565
193,repl,0.5,19,0.11499,0.11499,0.09682,450,500000,0.08932,0.20468,0.0,repl-0.5-seed19,0.01816999999999999,18.766783722371404
194,repl,0.5,20,0.1148,0.1148,0.09551,450,500000,0.08893,0.20481,0.0,repl-0.5-seed20,0.01929,20.196838027431685
195,repl,0.5,21,0.11449,0.11449,0.09572,450,500000,0.08911,0.20343,0.0,repl-0.5-seed21,0.018769999999999995,19.60927705808608
196,repl,0.5,22,0.11433,0.11433,0.09666,450,500000,0.08918,0.20275,0.0,repl-0.5-seed22,0.017670000000000005,18.28057107386717
197,repl,0.5,23,0.11365,0.11365,0.09432,450,500000,0.08805,0.20273,0.0,repl-0.5-seed23,0.01933,20.494062765055133
198,repl,0.5,24,0.11385,0.11385,0.09794,450,500000,0.08796,0.20358,0.0,repl-0.5-seed24,0.015910000000000007,16.24463957525016
199,repl,0.5,25,0.11462,0.11462,0.09517,450,500000,0.08906,0.20395,0.0,repl-0.5-seed25,0.019449999999999995,20.437112535462852
200,repl,0.7,1,0.01332,0.01332,0.01556,450,500000,0.00559,0.03322,0.0,repl-0.7-seed1,-0.002239999999999999,-14.395886889460149
201,repl,0.7,2,0.01344,0.01344,0.01557,450,500000,0.00555,0.0337,0.0,repl-0.7-seed2,-0.00213,-13.680154142581888
202,repl,0.7,3,0.01314,0.01314,0.01554,450,500000,0.00524,0.03333,0.0,repl-0.7-seed3,-0.0023999999999999994,-15.444015444015442
203,repl,0.7,4,0.01329,0.01329,0.0153,450,500000,0.00557,0.03315,0.0,repl-0.7-seed4,-0.0020099999999999996,-13.137254901960782
204,repl,0.7,5,0.01327,0.01327,0.01548,450,500000,0.00558,0.03307,0.0,repl-0.7-seed5,-0.00221,-14.276485788113696
205,repl,0.7,6,0.01334,0.01334,0.01561,450,500000,0.00569,0.03308,0.0,repl-0.7-seed6,-0.002270000000000001,-14.541960281870603
206,repl,0.7,7,0.01325,0.01325,0.01558,450,500000,0.00563,0.03291,0.0,repl-0.7-seed7,-0.0023300000000000005,-14.955070603337614
207,repl,0.7,8,0.01326,0.01326,0.01575,450,500000,0.00549,0.03322,0.0,repl-0.7-seed8,-0.002490000000000001,-15.809523809523816
208,repl,0.7,9,0.01328,0.01328,0.01582,450,500000,0.00552,0.03323,0.0,repl-0.7-seed9,-0.0025400000000000006,-16.055625790139068
209,repl,0.7,10,0.0132,0.0132,0.01579,450,500000,0.00547,0.03305,0.0,repl-0.7-seed10,-0.0025899999999999986,-16.402786573780865
