application,left,right,estimate_pp,interval_pp,status,common_cells,complete_common_campaigns,planned_cells,planned_conditions,retained_conditions,confidence_level,bootstrap_draws,bootstrap_seed,complete_support_is_conditioned_on_not_imputed,coverage_uncertainty_included,finite_sample_family_coverage_guaranteed
deathstarbench_social_network,Gstar,G0,-5.0092592592592595,"[-5.773148148148147, -3.907407407407409]",estimable_on_reported_complete_common_support,18,6,18,2,2,0.9916666666666667,10000,771602,True,False,False
deathstarbench_social_network,Gstar,PMX,-1.8503717077085944e-15,"[-3.700743415417189e-15, 1.2335811384723961e-15]",estimable_on_reported_complete_common_support,18,6,18,2,2,0.9916666666666667,10000,771603,True,False,False
opentelemetry_demo,Gstar,G0,-13.657407407407407,,point_only_insufficient_independent_common_campaigns,12,4,18,2,2,0.9916666666666667,10000,771604,True,False,False
opentelemetry_demo,Gstar,PMX,-0.08169808707876071,"[-0.41899294342781684, 0.46691914356917036]",estimable_on_reported_complete_common_support,9,3,18,2,1,0.9916666666666667,10000,771605,True,False,False
spring_petclinic_microservices,Gstar,G0,-2.1990740740740726,"[-2.4305555555555562, -1.9768518518518496]",estimable_on_reported_complete_common_support,24,6,24,2,2,0.9916666666666667,10000,771606,True,False,False
spring_petclinic_microservices,Gstar,PMX,0.003949595972938906,"[-0.003263969171483916, 0.009019905755933144]",estimable_on_reported_complete_common_support,24,6,24,2,2,0.9916666666666667,10000,771607,True,False,False
