median_seconds,method,observations,p90_seconds,stage,sum_seconds
0.005962727999989426,B0,18,0.006168809499997962,identification,0.09546880599994267
0.0011042390000284286,G0,59,0.002607310399997687,identification,0.0800929489999973
6.601300000141919e-05,G0,59,0.00010210999998889748,solve,0.004201913999970941
7.57,PMX_shared_variants,18,9.628,derived_binary_build,136.72
23.431834764499996,PMX_shared_variants,60,28.864417197900014,independent_pmx_extraction_process,1505.183225161
11.375359225499999,PMX_shared_variants,18,19.904360074899984,input_and_projection_process_total,237.39676671100003
2.3419510629999962,PMX_shared_variants,60,7.032176956899998,native_projection,222.33975497399993
2096.921747599,shared_acquisition,18,2210.8915911138,acquisition_and_export_process_total,38180.604685703
0.2033267649999999,shared_graph_family,59,0.6968356473999934,extraction,21.800296815999936
0.0030934560000162037,shared_graph_family,59,0.00635948039999903,identification,0.20548618299998367
0.0011955989999705707,shared_graph_family,59,0.003565240599978381,solve,0.08858557100001008
3.348456091500111,shared_native_pool,18,9.2501174456002,native_parse,82.70243256100002
